UPPERTRACED_RFNONE_MULTI_VSM_MAX.csv,Associated
0.22,NO
0.2,NO
0.1144,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.1689,NO
0.44,YES
0.0616,NO
0.33799999999999997,YES
0.26,NO
0.29,NO
0.2223,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.25,YES
0.44,YES
0.25,YES
0.24,YES
0.19,NO
0.48,YES
0.39,NO
0.35,YES
0.36,YES
0.3362,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.0957,YES
0.61,NO
0.5,NO
0.0981,NO
0.65,NO
0.45,NO
0.26,NO
0.1551,NO
0.2811,YES
0.44,NO
0.19,YES
0.0341,NO
0.3399,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.22,NO
0.48,NO
0.26,NO
0.22,NO
0.2,NO
0.1331,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.27,YES
0.26,NO
0.29,NO
0.2136,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.4465,YES
0.44,YES
0.3653,YES
0.2,YES
0.19,NO
0.48,YES
0.39,NO
0.35,YES
0.36,YES
0.3356,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.1243,YES
0.61,NO
0.5,NO
0.1364,NO
0.65,NO
0.45,NO
0.26,NO
0.2075,NO
0.1923,YES
0.44,NO
0.19,YES
0.0311,NO
0.3081,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.2201,NO
0.48,NO
0.26,NO
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.2937,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.15,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.1417,NO
0.41,YES
0.14,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.16,YES
0.22,NO
0.2,NO
0.1975,NO
0.43,NO
0.1977,NO
0.31,NO
0.32,NO
0.7,NO
0.15,NO
0.44,YES
0.1577,NO
0.2904,YES
