NONETRACED_RFUNDER_SINGLE_VSM_SUM.csv,Associated
0.04980126256722001,NO
0.04317668147455381,NO
0.08152131556386877,NO
0.1921907879354688,NO
0.04465747018938509,NO
0.0629724885044034,NO
0.038266697841165924,NO
0.045280960174577195,NO
0.12399657080508146,NO
0.2081677188060167,YES
0.04037097654118931,NO
0.7311978801340503,YES
0.18151352193905385,NO
0.220793391006157,NO
0.21237627620606345,NO
0.08136544306757074,NO
0.047385238874600576,NO
0.07879354687865327,NO
0.05058062504871016,NO
0.16218533239809835,NO
0.0817551243083158,NO
0.06086820980438001,YES
0.05502299119320395,YES
0.12235990959395217,YES
0.6937884810225236,YES
0.11495596601979581,NO
0.048164601356090714,YES
0.08627542670095863,NO
0.13825890421635104,YES
0.6114878029771647,YES
0.25438391395838206,NO
0.1154235835086899,NO
0.08183306055646482,NO
0.0790273556231003,NO
0.5337853635725975,YES
0.12150261086431301,YES
0.09866729015665186,NO
0.07466292572675552,NO
0.0921985815602837,NO
0.07481879822305355,NO
0.13241368560517497,NO
0.3217208323591303,NO
0.14441586782012314,NO
0.6011222819733458,YES
0.06764866339334426,NO
0.29054633309952466,YES
0.018938508300210426,NO
0.3352038032889097,YES
0.02447198191879043,NO
0.10240823006780454,NO
0.05229522250798846,NO
0.10420076377523187,NO
0.05486711869690592,NO
0.14846855272387188,NO
0.09516015898994623,NO
0.14106460914971553,NO
0.06141376354142312,NO
0.11191645234198427,NO
0.0960953939677344,NO
0.22344322344322343,NO
0.12578910451250874,NO
0.12999766191255552,NO
0.10653885121970229,NO
0.04761904761904762,NO
0.1706024471981919,NO
0.9411581326474944,YES
0.21081755124308316,NO
0.1727846621463643,YES
0.15213155638687553,NO
0.1613280336684592,NO
0.15883407372769076,NO
0.1419219078793547,NO
0.15080664016834228,NO
0.0911854103343465,NO
0.14410412282752708,NO
0.12914036318291636,NO
0.1717714909204271,NO
0.8625204582651391,YES
0.8926817862988076,YES
0.4796976073571818,YES
0.16935546722780767,YES
0.12165848336061101,NO
0.19710077156885672,YES
0.18338399189463017,NO
0.093913179019562,YES
0.35975372145584916,YES
0.253916296469488,NO
0.13747954173486085,NO
0.14098667290156652,NO
0.1280492557088302,NO
0.6107863767438236,YES
0.08923700413062116,YES
0.21299976619125557,NO
0.06655755591925806,NO
0.16880991349076455,NO
0.06928532460447355,NO
0.20193281895409554,NO
0.2330293819655522,NO
0.19304808666510795,NO
0.3916296469487959,YES
0.16592627230925103,NO
0.05634790741173721,YES
0.016600420855740004,NO
0.47408619749045283,YES
0.03179798924479776,NO
0.08986049411581326,NO
0.11783960720130933,NO
0.09212064531213468,NO
0.09780999142701272,NO
0.17948717948717946,NO
0.1054477437456161,NO
0.127036084482893,NO
0.048788091341282834,NO
0.011378692229756062,NO
0.10178474008261243,YES
0.6507676720442678,YES
0.6732912477593328,YES
0.15057283142389527,YES
0.06453121346738369,NO
0.002493959940768453,NO
0.15626217753877328,YES
0.10108331384927131,NO
0.09562777647884033,YES
0.104824253760424,NO
0.16888784973891358,NO
0.18205907567609694,NO
0.1586782012313927,NO
0.03694178162263269,NO
0.7107785831190087,YES
0.035694801652248455,NO
0.3359831657703998,YES
0.13397241056815523,NO
0.6898916686150729,YES
0.033044969215181984,NO
0.05291871249318057,NO
0.1746551321019406,NO
0.030862754267009587,NO
0.1260229132569558,YES
0.09087366534175047,NO
0.11261787857532539,YES
0.11269581482347442,NO
0.04941158132647495,NO
0.1462863377756995,NO
0.27152988855116517,NO
0.18541033434650453,NO
0.33535967578520776,NO
0.12360688956433637,NO
0.0878341516639389,NO
0.15275504637206766,NO
0.8596368170836256,YES
0.1230613358272933,NO
0.7174811004598238,YES
0.14722157275348763,NO
0.1292182994310654,NO
0.12399657080508146,NO
0.03444782168186424,NO
0.20037409399111528,NO
0.03499337541890733,NO
0.09227651780843271,NO
0.1575091575091575,NO
0.12430831579767752,NO
0.7091419219078793,YES
0.4998830956277765,YES
0.24105681552490063,YES
0.44392486945678433,YES
0.17364196087600342,NO
0.14457174031642117,YES
0.17777258202790117,NO
0.06912945210817552,NO
0.05268490374873353,NO
0.09126334658249552,YES
0.4870236146831892,YES
0.44680851063829785,YES
0.0960953939677344,YES
0.0613358272932741,NO
0.03943574156340114,NO
0.1535344088535578,YES
0.20263424518743667,NO
0.07497467071935157,YES
0.13724573299041384,NO
0.35492167407061026,NO
0.2239108409321175,NO
0.20084171148000932,NO
0.10560361624191414,NO
0.5725976151508066,YES
0.10225235757150651,NO
0.2591380250954719,YES
0.11082534486789807,NO
0.253838360221339,YES
0.19881536902813501,NO
0.17987686072792455,NO
