UPPERTRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.6725500000000001,NO
0.21564999999999998,NO
0.67955,NO
0.9994,NO
0.597,NO
0.8316,NO
0.6949,NO
0.25305,NO
0.66235,NO
1.58785,YES
0.5404500000000001,NO
0.93625,YES
0.60865,NO
0.8379500000000001,NO
0.21760000000000002,NO
0.45854999999999996,NO
0.78605,NO
0.44375,NO
0.5709,NO
0.30835,NO
0.72295,NO
1.27435,YES
1.6452,YES
1.3828,YES
0.82645,YES
0.7162,NO
1.02095,YES
0.5337,NO
1.12135,YES
0.37495,YES
0.6131,NO
0.42515000000000003,NO
0.25029999999999997,NO
0.3696,NO
0.8815500000000001,YES
0.7877,YES
0.2523,NO
0.28525,NO
0.19340000000000002,NO
0.22825,NO
0.3635,NO
0.55825,NO
0.186,NO
0.81945,YES
0.3505,NO
1.0886500000000001,YES
0.1516,NO
0.9978499999999999,YES
0.23365,NO
0.22649999999999998,NO
0.38089999999999996,NO
0.2561,NO
0.191,NO
0.45225,NO
0.33815,NO
0.23905,NO
0.68,NO
0.25975,NO
0.6889,NO
1.03445,NO
0.63905,NO
0.8696,NO
0.7387,NO
0.24455,NO
0.6872499999999999,NO
1.6930999999999998,YES
0.5898000000000001,NO
0.868,YES
0.5898,NO
0.8348,NO
0.21325,NO
0.49739999999999995,NO
0.8274,NO
0.4517,NO
0.6309,NO
0.28715,NO
0.7757,NO
1.45865,YES
1.8176,YES
1.48205,YES
0.795,YES
0.7204999999999999,NO
1.0815,YES
0.536,NO
1.1329,YES
0.34345,YES
0.6128,NO
0.4293,NO
0.26825,NO
0.38605,NO
0.85595,YES
0.802,YES
0.27065,NO
0.28005,NO
0.21255000000000002,NO
0.2197,NO
0.3881,NO
0.58635,NO
0.2122,NO
0.7750499999999999,YES
0.35855,NO
1.0734000000000001,YES
0.1501,NO
0.98195,YES
0.23335,NO
0.22845,NO
0.38794999999999996,NO
0.25335,NO
0.20355,NO
0.46714999999999995,NO
0.34975,NO
0.25505,NO
0.7052,NO
0.21164999999999998,NO
0.8257500000000001,YES
1.72165,YES
1.5065499999999998,YES
1.03705,YES
0.72815,NO
0.17049999999999998,NO
0.9371999999999999,YES
0.6889,NO
0.7128,YES
0.44434999999999997,NO
0.7038,NO
0.96225,NO
0.39095,NO
0.37960000000000005,NO
1.4695999999999998,YES
0.3588,NO
1.77705,YES
0.38515,NO
1.5768499999999999,YES
0.5402,NO
0.9579500000000001,NO
0.89225,NO
0.3946,NO
0.9380499999999999,YES
0.8220500000000001,NO
0.68225,YES
0.7129000000000001,NO
0.21964999999999998,NO
0.7211,NO
1.0203,NO
0.6623,NO
0.87135,NO
0.7496499999999999,NO
0.28035,NO
0.6507999999999999,NO
1.6658,YES
0.5885,NO
0.91245,YES
0.58665,NO
0.8142,NO
0.19090000000000001,NO
0.42845,NO
0.8242,NO
0.41564999999999996,NO
0.58765,NO
0.30035,NO
0.73025,NO
1.43025,YES
1.7856,YES
1.4389500000000002,YES
0.8511500000000001,YES
0.7488499999999999,NO
1.0728,YES
0.5224,NO
0.71825,NO
0.23814999999999997,NO
0.809,YES
1.7366,YES
1.4862499999999998,YES
1.0321,YES
0.7311,NO
0.19419999999999998,NO
0.93545,YES
0.74905,NO
0.69955,YES
0.44515,NO
0.7081500000000001,NO
0.9941,NO
0.41300000000000003,NO
0.42365,NO
1.4659499999999999,YES
0.4015,NO
1.72775,YES
0.38530000000000003,NO
1.5771,YES
0.61655,NO
1.0344,NO
0.9317,NO
0.4215,NO
0.9253499999999999,YES
0.82965,NO
0.6814,YES
0.70645,NO
0.2203,NO
0.7414,NO
0.9862,NO
0.6408,NO
0.88615,NO
0.7481,NO
0.2959,NO
0.67785,NO
1.56385,YES
0.6119,NO
0.8896,YES
0.6132500000000001,NO
0.8282,NO
0.2081,NO
0.4281,NO
0.80325,NO
