LOWERTRACED_RFSMOTE_MULTI_VSM_SUM.csv,Associated
0.04437191861676273,NO
0.03846955072564405,NO
0.0726338448718839,NO
0.14346225956530795,NO
0.0397889035483647,NO
0.056107214776751624,NO
0.03409485452399139,NO
0.04034442052635234,NO
0.11047843899729186,NO
0.8520936046107909,YES
0.03596972432469968,NO
0.9153531004791333,YES
0.6686341226303729,NO
0.6550239566696757,NO
0.6544684396916881,NO
0.07249496562738698,NO
0.04221929032706062,NO
0.07020345809318798,NO
0.04506631483924728,NO
0.14450385389903478,NO
0.07284216373862926,NO
0.7347406430109021,YES
0.7364766335671135,YES
0.7964724671897786,YES
0.8473022706756476,YES
0.10242344281647107,NO
0.7303659468092493,YES
0.07686966182903965,NO
0.7620304145545448,YES
0.857301576279425,YES
0.226650927018957,NO
0.10284008054996183,NO
0.07291160336087772,NO
0.07041177695993334,NO
0.9616693285188529,YES
0.7540448579959724,YES
0.087910561766544,NO
0.06652315811401986,NO
0.06131518644538575,NO
0.06666203735851678,NO
0.11797791820012499,NO
0.0991597805707937,NO
0.10089577112700507,NO
0.882785917644608,YES
0.04638566766196792,NO
0.7657801541559615,YES
0.016873828206374557,NO
0.9236164155266996,YES
0.02180404138601486,NO
0.07735573918477884,NO
0.046593986528713285,NO
0.0789528504964933,NO
0.048885494062912295,NO
0.1253385181584612,NO
0.07089785431567253,NO
0.06319005624609403,NO
0.054718422331782514,NO
0.09971529754878135,NO
0.08561905423234498,NO
0.19213943476147488,NO
0.09818762585931533,NO
0.10888132768557739,NO
0.09492396361363793,NO
0.02853968474411499,NO
0.14505937087702242,NO
0.9357683494201792,YES
0.10450663148392472,NO
0.758072356086383,YES
0.13554614262898407,NO
0.14374001805430178,NO
0.14151795014235122,NO
0.12644955211443648,NO
0.09964585792653288,NO
0.08124435803069231,NO
0.12839386153739324,NO
0.11506145406568988,NO
0.14610096521074925,NO
0.9281994305950977,YES
0.9134087910561768,YES
0.8718144573293523,YES
0.7411290882577599,YES
0.1083952503298382,NO
0.7519616693285189,YES
0.08006388445246858,NO
0.09756266925907922,YES
0.1330463162280397,YES
0.2401222137351573,NO
0.12249149364627455,NO
0.11172835219776404,NO
0.10714533712936601,NO
0.24560794389278523,YES
0.09339629192417193,YES
0.12728282758141793,NO
0.059301437400180554,NO
0.10179848621623498,NO
0.05478786195403097,NO
0.15214221234636482,NO
0.1381848482744254,NO
0.13728213318519544,NO
0.1406152350531213,YES
0.07145337129366017,NO
0.06409277133532394,YES
0.0286785639886119,NO
0.22102631761683217,YES
0.03527532810221513,NO
0.08006388445246858,NO
0.05638497326574543,NO
0.07513367127282829,NO
0.0663148392472745,NO
0.15991945003819177,NO
0.08700784667731408,NO
0.0992986598152906,NO
0.043469203527532814,NO
0.010138184848274424,NO
0.5906534268453579,YES
0.788139712519964,YES
0.759600027775849,YES
0.5924588570238178,YES
0.050552044996875226,NO
0.0022220679119505605,NO
0.639191722797028,YES
0.0900631900562461,NO
0.58516769668773,YES
0.09339629192417194,NO
0.1574196236372474,NO
0.1413790708978543,NO
0.1413790708978543,NO
0.03291438094576766,NO
0.7166169016040553,YES
0.031803346989792376,NO
0.8062634539268108,YES
0.0915908617457121,NO
0.7327268939656968,YES
0.02944239983334491,NO
0.040205541281855425,NO
0.09311853343517812,NO
0.027498090410388167,NO
0.6122491493646275,YES
0.060134712867162,NO
0.5864176098882022,YES
0.10040969377126589,NO
0.044024720505520455,NO
0.13728213318519547,NO
0.1724880216651621,NO
0.13047705020484687,NO
0.11825567668911881,NO
0.11013124088604957,NO
0.07825845427400875,NO
0.10138184848274427,NO
0.8978543156725227,YES
0.10964516353031041,NO
0.8198041802652594,YES
0.13117144642733142,NO
0.11513089368793834,NO
0.11047843899729186,NO
0.030692313033817097,NO
0.09520172210263177,NO
0.03117839038955628,NO
0.06832858829247969,NO
0.13339351433928198,NO
0.08298034858690369,NO
0.8887577251579752,YES
0.8689674328171656,YES
0.811957502951184,YES
0.8191097840427749,YES
0.15471147836955765,NO
0.7398791750572877,YES
0.06812026942573432,NO
0.06159294493437956,NO
0.04694118463995556,NO
0.06742587320324978,YES
0.4200402749809041,YES
0.34254565655162833,YES
0.08561905423234498,YES
0.05464898270953406,NO
0.03513644885771822,NO
0.13679605582945628,YES
0.1735990556211374,NO
0.06680091660301368,YES
0.09450732588014722,NO
0.149572946323172,NO
0.17172418582042911,NO
0.15811401985973195,NO
0.0940906881466565,NO
0.32268592458857026,YES
0.09110478438997291,NO
0.3489341017984862,YES
0.09179918061245747,NO
0.34421220748559134,YES
0.13547670300673564,NO
0.14637872369974306,NO
0.14790639538920908,NO
0.06485660718005694,NO
0.09464620512464413,YES
0.07068953544892717,NO
0.0852718561211027,YES
0.09145198250121518,NO
0.04492743559475037,NO
0.16547461981806819,NO
0.12513019929171584,NO
0.10061801263801126,NO
0.13880980487466146,NO
0.10797861259634749,NO
0.09985417679327824,NO
0.1389486841191584,NO
0.8118186237066871,YES
0.1421429067425873,NO
0.8436219706964794,YES
0.1820012499132005,NO
0.14846191236719672,NO
0.14825359350045134,NO
0.030206235678077908,NO
0.06610652038052912,NO
0.0320811054787862,NO
0.07048121658218179,NO
0.1498507048121658,NO
0.06187070342337338,NO
0.804180265259357,YES
0.7740434692035276,YES
0.805707936948823,YES
