UPPERTRACED_RFSMOTE_RAW_VSM_MAX.csv,Associated
0.0737,NO
0.85,NO
0.14,NO
0.37,NO
0.0671,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.2469,YES
0.18,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.17,NO
0.61,NO
0.15,NO
0.0747,NO
0.93,NO
0.7,NO
0.0779,YES
0.0804,YES
0.1668,YES
0.67,YES
0.71,NO
0.09,YES
0.19,NO
0.1072,YES
0.26,YES
0.3362,NO
0.96,NO
0.1148,NO
0.92,NO
0.3947,YES
0.83,YES
0.1364,NO
0.47,NO
0.0981,NO
0.1058,NO
0.53,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.9,NO
0.1126,YES
0.0341,NO
0.95,YES
0.51,NO
0.1212,NO
0.97,NO
0.2,NO
0.0802,NO
0.97,NO
0.75,NO
0.1008,NO
0.0886,NO
0.85,NO
0.14,NO
0.37,NO
0.1512,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.4574,YES
0.18,NO
0.21,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.61,NO
0.15,NO
0.1947,NO
0.93,NO
0.7,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.67,YES
0.71,NO
0.1927,YES
0.19,NO
0.1303,YES
0.26,YES
0.3356,NO
0.96,NO
0.1507,NO
0.92,NO
0.3435,YES
0.83,YES
0.1731,NO
0.47,NO
0.1364,NO
0.0887,NO
0.53,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.9,NO
0.0821,YES
0.0311,NO
0.95,YES
0.51,NO
0.1251,NO
0.97,NO
0.2,NO
0.1053,NO
0.97,NO
0.75,NO
0.1328,NO
0.0724,NO
0.5,NO
0.21,YES
0.3348,YES
1.0,YES
0.58,YES
0.0826,NO
0.81,NO
0.85,YES
0.1395,NO
0.52,YES
0.1443,NO
0.2165,NO
0.66,NO
0.23,NO
0.29,NO
1.0,YES
0.36,NO
0.3609,YES
0.27,NO
0.255,YES
0.0522,NO
0.82,NO
0.88,NO
0.11,NO
0.18,YES
0.37,NO
0.47,YES
0.1544,NO
0.85,NO
0.1975,NO
0.37,NO
0.1977,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.4028,YES
0.18,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.21,NO
0.17,NO
0.61,NO
0.15,NO
0.1082,NO
0.93,NO
0.7,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.67,YES
0.71,NO
0.1753,YES
0.19,NO
0.0985,NO
0.5,NO
0.21,YES
0.3647,YES
1.0,YES
0.58,YES
0.0885,NO
0.81,NO
0.85,YES
0.2598,NO
0.52,YES
0.1459,NO
0.2252,NO
0.66,NO
0.2375,NO
0.29,NO
1.0,YES
0.36,NO
0.2623,YES
0.27,NO
0.2555,YES
0.2049,NO
0.82,NO
0.88,NO
0.11,NO
0.18,YES
0.37,NO
0.47,YES
0.1415,NO
