LOWERTRACED_SUM_RAW_VSM_MAX.csv,Associated
0.4406,NO
0.4406,NO
0.7848,NO
0.6747,NO
0.6747,NO
0.7848,NO
0.4406,NO
0.4406,NO
0.7848,NO
0.9346,YES
0.7848,NO
0.9346,YES
0.3975,NO
0.3975,NO
0.3975,NO
0.4406,NO
0.6747,NO
0.4406,NO
0.6747,NO
0.4406,NO
0.6747,NO
0.9346,YES
0.9346,YES
0.9346,YES
0.9346,YES
0.7848,NO
0.9346,YES
0.7848,NO
0.7122,YES
0.7122,YES
0.9594,NO
0.5707,NO
0.5707,NO
0.9594,NO
0.7122,YES
0.7122,YES
0.9594,NO
0.4344,NO
0.9594,NO
0.4344,NO
0.3601,NO
0.3601,NO
0.3601,NO
0.7122,YES
0.5707,NO
0.7122,YES
0.5707,NO
0.7122,YES
0.5707,NO
0.4344,NO
0.4344,NO
0.4344,NO
0.4344,NO
0.9594,NO
0.4344,NO
0.9594,NO
0.3411,NO
0.3411,NO
1.0958,NO
0.8354,NO
0.8354,NO
1.0958,NO
0.3411,NO
0.3411,NO
1.0958,NO
1.7366,YES
1.0958,NO
1.7366,YES
0.3109,NO
0.3109,NO
0.3109,NO
0.3411,NO
0.8354,NO
0.3411,NO
0.8354,NO
0.3411,NO
0.8354,NO
1.7366,YES
1.7366,YES
1.7366,YES
1.7366,YES
1.0958,NO
1.7366,YES
1.0958,NO
0.6322,YES
0.6322,YES
1.0447,NO
0.5855,NO
0.5855,NO
1.0447,NO
0.6322,YES
0.6322,YES
1.0447,NO
0.498,NO
1.0447,NO
0.498,NO
0.4277,NO
0.4277,NO
0.4277,NO
0.6322,YES
0.5855,NO
0.6322,YES
0.5855,NO
0.6322,YES
0.5855,NO
0.498,NO
0.498,NO
0.498,NO
0.498,NO
1.0447,NO
0.498,NO
1.0447,NO
0.3863,NO
0.3863,NO
1.5644,YES
1.8882,YES
1.8882,YES
1.5644,YES
0.3863,NO
0.3863,NO
1.5644,YES
0.4989,NO
1.5644,YES
0.4989,NO
0.4236,NO
0.4236,NO
0.4236,NO
0.3863,NO
1.8882,YES
0.3863,NO
1.8882,YES
0.3863,NO
1.8882,YES
0.4989,NO
0.4989,NO
0.4989,NO
0.4989,NO
1.5644,YES
0.4989,NO
1.5644,YES
0.5241,NO
0.5241,NO
1.1479,NO
0.8315,NO
0.8315,NO
1.1479,NO
0.5241,NO
0.5241,NO
1.1479,NO
1.6869,YES
1.1479,NO
1.6869,YES
0.3657,NO
0.3657,NO
0.3657,NO
0.5241,NO
0.8315,NO
0.5241,NO
0.8315,NO
0.5241,NO
0.8315,NO
1.6869,YES
1.6869,YES
1.6869,YES
1.6869,YES
1.1479,NO
1.6869,YES
1.1479,NO
0.3078,NO
0.3078,NO
0.9617,YES
1.3748,YES
1.3748,YES
0.9617,YES
0.3078,NO
0.3078,NO
0.9617,YES
0.8758,NO
0.9617,YES
0.8758,NO
0.3743,NO
0.3743,NO
0.3743,NO
0.3078,NO
1.3748,YES
0.3078,NO
1.3748,YES
0.3078,NO
1.3748,YES
0.8758,NO
0.8758,NO
0.8758,NO
0.8758,NO
0.9617,YES
0.8758,NO
0.9617,YES
0.5233,NO
0.5233,NO
1.3909,NO
0.7743,NO
0.7743,NO
1.3909,NO
0.5233,NO
0.5233,NO
1.3909,NO
1.0932,YES
1.3909,NO
1.0932,YES
0.4687,NO
0.4687,NO
0.4687,NO
0.5233,NO
0.7743,NO
0.5233,NO
0.7743,NO
0.5233,NO
0.7743,NO
1.0932,YES
1.0932,YES
1.0932,YES
1.0932,YES
1.3909,NO
1.0932,YES
1.3909,NO
0.27699999999999997,NO
0.27699999999999997,NO
1.381,NO
0.7524,NO
0.7524,NO
1.381,NO
0.27699999999999997,NO
0.27699999999999997,NO
1.381,NO
1.5377,YES
1.381,NO
1.5377,YES
0.1331,NO
0.1177,NO
0.1177,NO
0.27699999999999997,NO
0.7524,NO
0.27699999999999997,NO
0.7524,NO
0.27699999999999997,NO
0.7524,NO
1.5377,YES
1.5377,YES
1.5377,YES
1.5377,YES
1.381,NO
1.5377,YES
1.381,NO
0.4854,NO
0.4854,NO
1.2674,NO
0.8474,NO
0.8474,NO
1.2674,NO
0.4854,NO
0.4854,NO
1.2674,NO
1.5806,YES
1.2674,NO
1.5806,YES
0.4119,NO
0.4119,NO
0.4119,NO
0.4854,NO
0.8474,NO
0.4854,NO
0.8474,NO
0.4854,NO
0.8474,NO
1.5806,YES
1.5806,YES
1.5806,YES
1.5806,YES
1.2674,NO
1.5806,YES
1.2674,NO
0.4008,NO
0.4008,NO
0.8079999999999999,NO
0.8279,NO
0.8279,NO
0.8079999999999999,NO
0.4008,NO
0.4008,NO
0.8079999999999999,NO
1.5502,YES
0.8079999999999999,NO
1.5502,YES
0.3849,NO
0.3849,NO
0.3849,NO
0.4008,NO
0.8279,NO
0.4008,NO
0.8279,NO
0.4008,NO
0.8279,NO
1.5502,YES
1.5502,YES
1.5502,YES
1.5502,YES
0.8079999999999999,NO
1.5502,YES
0.8079999999999999,NO
0.4652,NO
0.4652,NO
2.2144,YES
0.9359,YES
0.9359,YES
2.2144,YES
0.4652,NO
0.4652,NO
2.2144,YES
0.6464,NO
2.2144,YES
0.6464,NO
0.4037,NO
0.4037,NO
0.4037,NO
0.4652,NO
0.9359,YES
0.4652,NO
0.9359,YES
0.4652,NO
0.9359,YES
0.6464,NO
0.6464,NO
0.6464,NO
0.6464,NO
2.2144,YES
0.6464,NO
2.2144,YES
0.2109,NO
0.2109,NO
2.5426,YES
1.0226,NO
1.0226,NO
2.5426,YES
0.2109,NO
0.2109,NO
2.5426,YES
0.6068,NO
2.5426,YES
0.6068,NO
0.4919,NO
0.4919,NO
0.4919,NO
0.2109,NO
1.0226,NO
0.2109,NO
1.0226,NO
0.2109,NO
1.0226,NO
0.6068,NO
0.6068,NO
0.6068,NO
0.6068,NO
2.5426,YES
0.6068,NO
2.5426,YES
0.4728,NO
0.4728,NO
2.2634,YES
1.5948,YES
1.5948,YES
2.2634,YES
0.4728,NO
0.4728,NO
2.2634,YES
1.2494,NO
2.2634,YES
1.2494,NO
0.4999,NO
0.4999,NO
0.4999,NO
0.4728,NO
1.5948,YES
0.4728,NO
1.5948,YES
0.4728,NO
1.5948,YES
1.2494,NO
1.2494,NO
1.2494,NO
1.2494,NO
2.2634,YES
1.2494,NO
2.2634,YES
0.1636,NO
0.1646,NO
2.4318,YES
0.8177,NO
0.8177,NO
2.4318,YES
0.1681,NO
0.153,NO
2.4318,YES
0.5997,NO
2.4318,YES
0.5997,NO
0.2597,NO
0.2597,NO
0.2597,NO
0.1775,NO
0.8177,NO
0.1654,NO
0.8177,NO
0.0953,NO
0.8177,NO
0.5997,NO
0.5997,NO
0.5997,NO
0.5997,NO
2.4318,YES
0.5997,NO
2.4318,YES
0.2545,NO
0.2545,NO
0.6334,YES
0.9241,YES
0.9241,YES
0.6334,YES
0.2545,NO
0.2545,NO
0.6334,YES
0.3483,NO
0.6334,YES
0.3483,NO
0.3387,NO
0.3387,NO
0.3387,NO
0.2545,NO
0.9241,YES
0.2545,NO
0.9241,YES
0.2545,NO
0.9241,YES
0.3483,NO
0.3483,NO
0.3483,NO
0.3483,NO
0.6334,YES
0.3483,NO
0.6334,YES
0.8415,YES
0.8415,YES
1.0656,NO
0.5302,NO
0.5302,NO
1.0656,NO
0.8415,YES
0.8415,YES
1.0656,NO
0.4968,NO
1.0656,NO
0.4968,NO
0.4648,NO
0.4648,NO
0.4648,NO
0.8415,YES
0.5302,NO
0.8415,YES
0.5302,NO
0.8415,YES
0.5302,NO
0.4968,NO
0.4968,NO
0.4968,NO
0.4968,NO
1.0656,NO
0.4968,NO
1.0656,NO
0.2047,NO
0.2047,NO
2.7576,YES
0.9339,YES
0.9339,YES
2.7576,YES
0.2047,NO
0.2047,NO
2.7576,YES
0.6025,NO
2.7576,YES
0.6025,NO
0.5138,NO
0.5138,NO
0.5138,NO
0.2047,NO
0.9339,YES
0.2047,NO
0.9339,YES
0.2047,NO
0.9339,YES
0.6025,NO
0.6025,NO
0.6025,NO
0.6025,NO
2.7576,YES
0.6025,NO
2.7576,YES
0.4892,NO
0.4892,NO
1.9997,YES
1.1119,YES
1.1119,YES
1.9997,YES
0.4892,NO
0.4892,NO
1.9997,YES
1.0288,NO
1.9997,YES
1.0288,NO
0.4077,NO
0.4077,NO
0.4077,NO
0.4892,NO
1.1119,YES
0.4892,NO
1.1119,YES
0.4892,NO
1.1119,YES
1.0288,NO
1.0288,NO
1.0288,NO
1.0288,NO
1.9997,YES
1.0288,NO
1.9997,YES
0.3151,NO
0.3151,NO
2.1552,YES
0.9029,YES
0.9029,YES
2.1552,YES
0.3151,NO
0.3151,NO
2.1552,YES
0.713,NO
2.1552,YES
0.713,NO
0.2137,NO
0.2137,NO
0.2137,NO
0.3151,NO
0.9029,YES
0.3151,NO
0.9029,YES
0.3151,NO
0.9029,YES
0.713,NO
0.713,NO
0.713,NO
0.713,NO
2.1552,YES
0.713,NO
2.1552,YES
0.1331,NO
0.1331,NO
2.7364,YES
0.8871,YES
0.8871,YES
2.7364,YES
0.1331,NO
0.1331,NO
2.7364,YES
0.5245,NO
2.7364,YES
0.5245,NO
0.4471,NO
0.4471,NO
0.4471,NO
0.1331,NO
0.8871,YES
0.1331,NO
0.8871,YES
0.1331,NO
0.8871,YES
0.5245,NO
0.5245,NO
0.5245,NO
0.5245,NO
2.7364,YES
0.5245,NO
2.7364,YES
0.3479,NO
