UPPERTRACED_MAX_MULTI_VSM_MAX.csv,Associated
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2223,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2179,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.9589,YES
0.408,YES
0.3362,NO
0.2576,NO
0.1473,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1364,NO
0.1616,NO
0.1276,NO
0.1216,NO
0.196,NO
0.3413,NO
0.1551,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3496,NO
0.1534,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2136,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.1755,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.9589,YES
0.408,YES
0.3356,NO
0.2576,NO
0.1507,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1731,NO
0.1616,NO
0.1364,NO
0.1216,NO
0.2289,NO
0.3413,NO
0.2075,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.1934,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1225,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.1689,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2019,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.2375,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1536,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2033,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2256,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.1078,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.1656,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1204,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2007,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.1912,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2045,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.1702,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.3618,NO
0.1531,NO
0.7838,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.4093,NO
0.1358,NO
0.9273,YES
0.3027,NO
0.6707,YES
0.1713,NO
0.534,NO
0.474,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
0.6036,YES
0.308,NO
0.4542,YES
0.3369,NO
0.462,NO
0.6069,NO
0.242,NO
0.7476,YES
0.578,NO
0.6773,YES
0.3618,NO
0.1547,NO
0.5022,YES
0.2789,NO
0.2278,NO
0.8451,YES
0.4093,NO
0.1329,NO
0.9273,YES
0.2378,NO
0.606,YES
0.1713,NO
0.4524,NO
0.474,NO
0.2648,NO
0.184,NO
0.4049,NO
0.1411,NO
0.4591,NO
0.1451,NO
0.3831,NO
0.256,NO
0.3547,NO
0.518,NO
0.24,NO
0.6869,YES
0.5562,NO
0.6631,YES
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.2048,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3133,NO
0.1646,NO
0.5831,YES
0.2856,NO
0.2302,NO
0.6327,YES
0.3433,NO
0.153,NO
0.8116,YES
0.1689,NO
0.6707,YES
0.1456,NO
0.534,NO
0.3856,NO
0.21600000000000003,NO
0.1775,NO
0.3273,NO
0.1654,NO
0.516,NO
0.13,NO
0.3351,NO
0.2462,NO
0.2702,NO
0.5289,NO
0.242,NO
0.5544,YES
0.5169,NO
0.6773,YES
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.1785,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.9589,YES
0.408,YES
0.3634,NO
0.2576,NO
0.1473,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1404,NO
0.1616,NO
0.1517,NO
0.1216,NO
0.2131,NO
0.3413,NO
0.1446,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1193,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3618,NO
0.1531,NO
0.7838,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.4093,NO
0.1358,NO
0.9273,YES
0.3027,NO
0.6707,YES
0.1713,NO
0.534,NO
0.474,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
0.6036,YES
0.308,NO
0.4542,YES
0.3369,NO
0.462,NO
0.6069,NO
0.242,NO
0.7476,YES
0.578,NO
0.6773,YES
0.3618,NO
0.1531,NO
0.7838,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.4093,NO
0.1358,NO
0.9273,YES
0.3027,NO
0.6707,YES
0.1713,NO
0.534,NO
0.474,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
0.6036,YES
0.308,NO
0.4542,YES
0.3369,NO
0.462,NO
0.6069,NO
0.242,NO
0.7476,YES
0.578,NO
0.6773,YES
0.3618,NO
0.1531,NO
0.7838,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.4093,NO
0.1622,NO
0.9273,YES
0.3027,NO
0.6707,YES
0.1713,NO
0.534,NO
0.474,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
0.6036,YES
0.308,NO
0.4542,YES
0.3369,NO
0.462,NO
0.6069,NO
0.242,NO
0.7476,YES
0.578,NO
0.6773,YES
0.3618,NO
0.1531,NO
0.7838,YES
0.6407,YES
0.5589,YES
0.8451,YES
0.4093,NO
0.1358,NO
0.9273,YES
0.3027,NO
0.6707,YES
0.1713,NO
0.534,NO
0.474,NO
0.21600000000000003,NO
0.2771,NO
0.4942,YES
0.2682,NO
0.6036,YES
0.308,NO
0.4542,YES
0.3369,NO
0.462,NO
0.6069,NO
0.242,NO
0.7476,YES
0.578,NO
0.6773,YES
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.2523,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.1762,NO
0.1825,NO
0.594,YES
0.1772,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.4042,NO
0.19,NO
0.3578,NO
0.3949,NO
0.2507,NO
0.4627,NO
0.4356,NO
0.1364,NO
0.6384,NO
0.2736,NO
0.3096,NO
0.2082,NO
0.8209,YES
0.758,YES
0.622,YES
0.1649,NO
0.386,NO
0.1593,NO
0.2564,NO
0.2378,NO
0.2533,NO
0.1707,NO
0.3778,NO
0.3189,NO
0.2158,NO
0.3647,NO
0.3398,NO
0.4784,NO
0.9589,YES
0.408,YES
0.3151,NO
0.2576,NO
0.1473,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1287,NO
0.1616,NO
0.1276,NO
0.1784,NO
0.196,NO
0.3413,NO
0.1562,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3229,NO
0.11599999999999999,NO
0.5033,YES
0.7909,YES
0.6940000000000001,YES
0.6382,YES
0.344,NO
0.1327,NO
0.5227,YES
0.3816,NO
0.4491,YES
0.2022,NO
0.3031,NO
0.42,NO
0.1805,NO
0.1729,NO
0.594,YES
0.1669,NO
0.7959999999999999,YES
0.304,NO
0.7878,YES
0.3369,NO
0.5347,NO
0.4856,NO
0.2229,NO
0.5820000000000001,YES
0.4444,NO
0.4367,YES
0.9589,YES
0.408,YES
0.3473,NO
0.2576,NO
0.1473,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1287,NO
0.1616,NO
0.1276,NO
0.1216,NO
0.196,NO
0.3413,NO
0.132,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2504,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2072,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
0.9589,YES
0.408,YES
0.3151,NO
0.2576,NO
0.1473,NO
0.2387,NO
0.7571,YES
0.7333,YES
0.1287,NO
0.1616,NO
0.1276,NO
0.1216,NO
0.196,NO
0.3413,NO
0.1463,NO
0.8269,YES
0.2278,NO
0.904,YES
0.1029,NO
0.5838,YES
0.1607,NO
0.1769,NO
0.2456,NO
0.1522,NO
0.1107,NO
0.2673,NO
0.2142,NO
0.1469,NO
0.3496,NO
0.1493,NO
0.5722,NO
0.5644,NO
0.31,NO
0.6333,NO
0.4164,NO
0.1187,NO
0.4753,NO
0.9462,YES
0.4964,NO
0.5949,YES
0.3104,NO
0.3824,NO
0.2176,NO
0.3282,NO
0.4327,NO
0.318,NO
0.3844,NO
0.2286,NO
0.4378,NO
0.83,YES
1.0,YES
0.8236,YES
0.5193,YES
0.4758,NO
0.7756,YES
0.3251,NO
