UPPERTRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.29185,NO
0.31260000000000004,NO
0.1872,NO
0.4882,NO
0.36355000000000004,NO
0.4003,NO
0.38444999999999996,NO
0.43895,NO
0.33445,NO
0.47845,YES
0.2108,NO
0.499,YES
0.56635,NO
0.59155,NO
0.11115,NO
0.4971,NO
0.5303,NO
0.51545,NO
0.47235,NO
0.50895,NO
0.49735,NO
0.39394999999999997,YES
0.3952,YES
0.4384,YES
0.3,YES
0.32865,NO
0.3908,YES
0.52025,NO
0.40859999999999996,YES
0.3722,YES
0.4931,NO
0.48895,NO
0.5324,NO
0.4856,NO
0.49234999999999995,YES
0.44785,YES
0.5132,NO
0.4978,NO
0.24905000000000002,NO
0.4729,NO
0.56485,NO
0.36629999999999996,NO
0.09255,NO
0.31055,YES
0.4633,NO
0.4113,YES
0.03705,NO
0.52495,YES
0.4956,NO
0.3756,NO
0.44345,NO
0.52675,NO
0.4001,NO
0.50515,NO
0.5359499999999999,NO
0.5304,NO
0.2993,NO
0.3567,NO
0.19655,NO
0.52325,NO
0.4056,NO
0.43829999999999997,NO
0.42824999999999996,NO
0.43045,NO
0.35935,NO
0.5837,YES
0.26015,NO
0.43075,YES
0.5475,NO
0.5884,NO
0.1068,NO
0.53595,NO
0.57165,NO
0.5234,NO
0.53235,NO
0.48775,NO
0.5501,NO
0.5782499999999999,YES
0.5676,YES
0.53765,YES
0.26855,YES
0.33294999999999997,NO
0.45135,YES
0.5225500000000001,NO
0.42014999999999997,YES
0.3407,YES
0.4928,NO
0.4931,NO
0.55035,NO
0.50205,NO
0.46675,YES
0.46215,YES
0.53155,NO
0.49260000000000004,NO
0.2682,NO
0.46435,NO
0.58945,NO
0.3944,NO
0.11875,NO
0.26615,YES
0.47135,NO
0.39605,YES
0.03555,NO
0.50905,YES
0.49529999999999996,NO
0.37755,NO
0.4505,NO
0.524,NO
0.41264999999999996,NO
0.52005,NO
0.54755,NO
0.5464,NO
0.31620000000000004,NO
0.2772,NO
0.5402,YES
0.5224,YES
0.50185,YES
0.4265,YES
0.2963,NO
0.20650000000000002,NO
0.5751499999999999,YES
0.32975,NO
0.55625,YES
0.54215,NO
0.55325,NO
0.5367,NO
0.5166999999999999,NO
0.48860000000000003,NO
0.4709,YES
0.4828,NO
0.53545,YES
0.52585,NO
0.4825,YES
0.3161,NO
0.47885,NO
0.56695,NO
0.4947,NO
0.44075,YES
0.5432,NO
0.31715,YES
0.3322,NO
0.31660000000000005,NO
0.22875,NO
0.5091,NO
0.42885,NO
0.44005,NO
0.4392,NO
0.46625000000000005,NO
0.3229,NO
0.5564,YES
0.25885,NO
0.4752,YES
0.54435,NO
0.5678,NO
0.08445,NO
0.467,NO
0.56845,NO
0.48735,NO
0.4891,NO
0.50095,NO
0.50465,NO
0.54985,YES
0.5356,YES
0.49455,YES
0.3247,YES
0.3613,NO
0.44265,YES
0.50895,NO
0.32925000000000004,NO
0.3037,NO
0.52345,YES
0.53735,YES
0.48155,YES
0.42155,YES
0.29925,NO
0.23020000000000002,NO
0.5734,YES
0.3899,NO
0.543,YES
0.5429499999999999,NO
0.5576,NO
0.56855,NO
0.53875,NO
0.5326500000000001,NO
0.46725,YES
0.5255,NO
0.48614999999999997,YES
0.526,NO
0.48275,YES
0.39244999999999997,NO
0.5553,NO
0.6064,NO
0.5216,NO
0.42805,YES
0.5508,NO
0.3163,YES
0.32575,NO
0.31725000000000003,NO
0.24905,NO
0.475,NO
0.40735,NO
0.45485,NO
0.43765,NO
0.4818,NO
0.34995,NO
0.45444999999999997,YES
0.28225,NO
0.45235000000000003,YES
0.5709500000000001,NO
0.5818,NO
0.10165,NO
0.46665,NO
0.5475,NO
0.488,NO
0.49065,NO
