NONETRACED_RFNONE_MULTI_LSA_SUM.csv,Associated
0.04711033195001804,NO
0.17747524413460616,NO
0.07869831399887693,NO
0.5002670757262405,NO
0.06481494163139899,NO
0.06022671761649753,NO
0.058450778171923734,NO
0.15674377622249921,NO
0.23513164322335292,NO
0.364149763284164,YES
0.03771931025981674,NO
0.389200096786417,YES
0.20110117376357636,NO
0.16306228571167694,NO
0.16244139171563057,NO
0.07854309049986533,NO
0.04470436771533837,NO
0.19011682850999137,NO
0.23050233063518372,NO
0.2503344153324294,NO
0.12458511954492124,NO
0.14167796602431532,YES
0.05231031916690636,YES
0.11936687073991392,YES
0.19900565652691987,YES
0.1119937545368633,NO
0.045480485210396326,YES
0.08343263071873046,NO
0.07311026803445964,YES
0.2252475586539384,YES
0.2736681595514954,NO
0.40921023196782313,NO
0.14748971644319048,NO
0.14469569346098185,NO
0.4332059587562032,YES
0.06418491684129311,YES
0.14142686918767894,NO
0.3686192869762919,NO
0.1345285542757226,NO
0.3002935550290131,NO
0.19785974187245195,NO
0.1311729874588544,NO
0.22442122179155308,NO
0.23090408557380196,YES
0.1178420281319765,NO
0.21426321340035337,YES
0.3131268860796479,NO
0.5504636160683715,YES
0.6838690826747749,NO
0.22093782385785182,NO
0.2322097891243112,NO
0.6792625970717544,NO
0.211943991709239,NO
0.4800104091052278,NO
0.14523897570752242,NO
0.5703367893388849,NO
0.3097713192627797,NO
0.10896689630613729,NO
0.20734663690027805,NO
0.2579221051958784,NO
0.24422134870959053,NO
0.2561735581334831,NO
0.1949196261852912,NO
0.16637676395527737,NO
0.18247435388218539,NO
0.5275224959938641,YES
0.11432210702203718,NO
0.3289140290085327,YES
0.1490145590511279,NO
0.1581727454928118,NO
0.15568916950862635,NO
0.16167440501463212,NO
0.8165258241682988,NO
0.11114915608635907,NO
0.18667451914955785,NO
0.21742703354197196,NO
0.22929250042229923,NO
0.49623583014896894,YES
0.43405055720670743,YES
0.2734261935089185,YES
0.37845771757540897,YES
0.1643223352918887,NO
0.13946831386191502,YES
0.132656741493524,NO
0.11386556731906192,YES
0.17635215646528704,YES
0.2960294742032241,NO
0.27869009628422337,NO
0.17535233451577117,NO
0.1474029738996252,NO
0.302160802414182,YES
0.0863818771999507,YES
0.2840453070001233,NO
0.5431635462177969,NO
0.20990782463396931,NO
0.21854099041723168,NO
0.3501796483731207,NO
0.22044476097863855,NO
0.1966088230862997,NO
0.1619848520126553,YES
0.42708832673633457,NO
0.05362971890850489,YES
0.2651445632969471,NO
0.5257830797255284,YES
0.36382562009505154,NO
0.49788850387373934,NO
0.44859591214349953,NO
0.08149233698108557,NO
0.2085975556864303,NO
0.3433498144166107,NO
0.3458607827829747,NO
0.1842868165029972,NO
0.25154424554531385,NO
0.00884773944366072,NO
0.16735832431667422,YES
0.27258159505841423,YES
0.21785618086276876,YES
0.23785718525011532,YES
0.3051146142924319,NO
0.0,NO
0.198781952072462,YES
0.09817886312483168,NO
0.20688096640324327,YES
0.19321216769616373,NO
0.1579399102442944,NO
0.1400115961084556,NO
0.1400115961084556,NO
0.07995836357908868,NO
0.16981450791868116,YES
0.1471975310332863,NO
0.29283826167942695,YES
0.7162149206305728,NO
0.23347440410155273,YES
0.030423805806271947,NO
0.042453626979670284,NO
0.12442076525185014,NO
0.16521258771269043,NO
0.16866859326421327,YES
0.15603613968288754,NO
0.2311049630431111,YES
0.17822396924748563,NO
0.092376243500016,NO
0.14319367783819323,NO
0.39574687612708237,NO
0.48575367856865675,NO
0.7839106277877455,NO
0.18908961417829706,NO
0.15346582115513677,NO
0.1258953884924603,NO
0.5079734659124632,YES
0.1123042015348865,NO
0.37508388917042174,YES
0.7147996475513494,NO
0.19467766014271434,NO
0.16665068777706254,NO
0.03182081729737628,NO
0.10392213258826055,NO
0.05519108469268032,NO
0.1880213112733349,NO
0.2379165354115021,NO
0.7294180488406175,NO
0.9999999999999999,YES
0.31589808207670783,YES
0.4804486872200841,YES
0.21451887563401953,YES
0.5735599596418903,NO
0.12596386944790655,YES
0.13437333077671101,NO
0.11201201612498234,NO
0.04998196668173248,NO
0.07287743278594223,YES
0.387095448755701,YES
0.20917279571217914,YES
0.1160386963052242,YES
0.05859687087687582,NO
0.036787969265747206,NO
0.19606554083975916,YES
0.35133469382164817,NO
0.07217892704039007,YES
0.10314601509320259,NO
0.16469213245129866,NO
0.21227726569241095,NO
0.7449130063595981,NO
0.10268034459616783,NO
0.4380726719899196,YES
0.14499700966494553,NO
0.19348609151794888,YES
0.419696948945165,NO
0.18820849255155478,YES
0.21741790274791248,NO
0.32091088801537626,NO
0.16282945046315955,NO
0.13848675350051817,NO
0.1033012385922142,YES
0.07652518501271464,NO
0.09282365240893176,YES
0.09973109811494757,NO
0.07055821109482788,NO
0.19753103328630975,NO
0.34281566296412963,NO
0.2925917302398203,NO
0.21338209177361112,NO
0.11820269449732698,NO
0.10912211980514885,NO
0.1450563598263323,NO
0.32689612352138203,YES
0.14862650030359892,NO
0.33961531964627306,YES
0.619127187395852,NO
0.14792799455804675,NO
0.17052214445829283,NO
0.031277535050835706,NO
0.13988376499162253,NO
0.03337305228749218,NO
0.23608124580554152,NO
0.18782956459808528,NO
0.31776532946187663,NO
0.5009747122658522,YES
0.5129451832778638,YES
0.43420121530868927,YES
0.5963595524084753,YES
0.4733175370596103,NO
0.1413401266441136,YES
0.20734663690027805,NO
0.3146608594816448,NO
0.3221024566401417,NO
0.209414761754756,NO
0.14257278384214686,NO
0.26114984089591353,NO
0.15126529978679598,NO
0.09383260515250709,NO
0.6356356630554377,NO
0.45725190491191064,NO
0.3016175201676414,YES
0.2403133688521222,NO
0.17029844000383496,YES
0.09321171115646074,NO
0.04695510845100645,NO
0.15426020023831372,NO
0.23954638215112378,NO
0.09290126415843757,NO
0.1640118882938655,NO
0.5729116732636654,NO
0.7078328516839468,NO
0.3228329201649021,NO
0.691675911595652,YES
0.5424696058692745,YES
0.46469806746743736,YES
0.37938905856947847,YES
0.23100908970548625,NO
0.3343285898858194,YES
0.4434461442939385,NO
0.2613826761444309,NO
0.0495939079342035,NO
0.14148621934906572,NO
0.44560101169198174,NO
0.1487817238026105,NO
0.13139669191331224,NO
0.1434356438807701,NO
0.08335501896922466,NO
0.23994357169271227,NO
0.4502988052355973,YES
0.1546117358096047,NO
0.33419162797492685,YES
0.5070969096827506,NO
0.14831605330557573,NO
0.14567725382237867,NO
0.028561123818132843,NO
0.09973109811494757,NO
0.07553449385725831,NO
0.129241824515269,NO
0.16113112276809155,NO
0.46379868425257603,NO
0.32613370221741333,YES
0.9458954798004009,YES
0.5267235515136574,YES
0.24317587278977723,YES
0.48069978405672054,NO
0.14536680682435552,YES
0.17186893658206986,NO
0.04633421445496008,NO
0.045325261711384734,NO
0.073731162030506,NO
0.5106487885718982,NO
0.14631640940654406,NO
0.05626851839170195,NO
0.03686558101525299,NO
0.0311999233013299,NO
0.2599856646533266,NO
0.4453042608850478,YES
0.03702080451426458,NO
0.24054620410063962,YES
0.154292158017522,NO
0.1488593355521163,NO
0.14862650030359892,NO
0.055802847894667176,NO
0.6180862768730684,NO
0.05386255415702228,NO
0.33950575011755896,NO
0.7383342692397246,NO
0.1533790786115715,NO
0.2516172918977899,YES
0.7941097247522132,YES
0.2336113660124453,YES
0.1331224119905588,YES
0.09662662813471576,NO
0.10028351115554765,YES
0.08957308972374785,NO
0.07287743278594223,NO
0.024913371591360447,NO
0.5907852026351472,YES
0.23793479699962108,YES
0.29058295554672914,YES
0.23369810855601061,YES
0.23200891165500212,NO
0.07256698578791905,NO
0.24339044645017557,YES
0.33942813836805313,NO
0.3364834572838627,YES
0.5742949885636804,NO
0.17812809590986084,NO
0.28863353101502476,NO
0.14996416163331647,NO
0.08274325576723782,NO
0.08980592497226524,YES
0.1034747236793448,NO
0.44769652892863826,YES
0.4062427238984838,NO
0.18374353425645662,YES
0.15703596163240338,NO
0.44005861969786203,NO
0.31599395541433256,NO
0.08304457197120148,NO
0.3221937645807368,YES
0.2536625897671191,NO
0.33403640447591526,YES
0.12953400992517317,NO
0.24693775994229342,NO
0.2917516971863458,YES
0.2028953747962692,NO
0.17752546350193346,NO
0.3583517090563781,YES
0.20018809435762583,NO
0.12070453206963144,NO
0.4127392838718219,YES
0.20662986956660687,NO
0.3299275471491378,YES
0.24546313670168327,NO
0.24323522295116398,NO
0.26132789138007384,NO
0.3323882961481745,NO
0.12262656421915735,NO
