NONETRACED_MAX_SINGLE_LSA_MAX.csv,Associated
0.6261707615040044,NO
0.6819600923035156,NO
0.7320483236052666,NO
0.7320483236052666,NO
0.7320483236052666,NO
0.5019682367313696,NO
0.4275824623320213,NO
0.5486629564273109,NO
0.6607845798832632,NO
0.6990633907967965,YES
0.6734084430568752,NO
0.6770734355911496,YES
0.7320483236052666,NO
1.0,NO
0.7320483236052666,NO
0.6394733269987785,NO
1.0,NO
0.6420523958191937,NO
0.7320483236052666,NO
0.6990633907967965,NO
0.7320483236052666,NO
0.7320483236052666,YES
1.0,YES
0.7320483236052666,YES
0.6611918012759603,YES
0.7320483236052666,NO
0.5599294149585992,YES
0.7320483236052666,NO
0.34627392425682096,YES
0.8426768019546627,YES
0.9005022397176599,NO
0.9926700149314512,NO
0.9005022397176599,NO
0.461517578390118,NO
0.3947,YES
0.6887471155151351,YES
0.8182435183928329,NO
0.927514592099905,NO
0.8327677480656983,NO
1.0,NO
0.9005022397176599,NO
0.670557893307995,NO
0.9005022397176599,NO
0.7936744943667706,YES
0.4710194108863852,NO
0.7966607845798832,YES
0.9005022397176599,NO
0.8436269852042895,YES
0.9005022397176599,NO
0.9005022397176599,NO
0.7821365549070178,NO
0.9005022397176599,NO
0.8187864802497624,NO
0.9005022397176599,NO
0.7016424596172119,NO
0.9005022397176599,NO
0.3848242160988191,NO
0.8043979910411294,NO
0.15365820551106285,NO
0.5016967558029048,NO
0.6769376951269173,NO
0.3041943803447808,NO
0.2397176598343967,NO
0.8064340980046152,NO
0.2187,NO
0.4574,YES
0.2285869417673408,NO
0.2015,YES
0.205,NO
0.6013302565494776,NO
0.2136,NO
0.1919,NO
0.8285597936744944,NO
0.3082665942717525,NO
0.1947,NO
0.1755,NO
0.2926564408850278,NO
0.7475227365277588,YES
0.8293742364598886,YES
0.3653,YES
0.8140355640016288,YES
0.1659,NO
0.4159087824080358,YES
0.15365820551106285,NO
0.3924256820958328,YES
0.92154201167368,YES
0.9830324419709516,NO
0.9926700149314512,NO
0.9830324419709516,NO
0.5152708022261436,NO
0.408986018732184,YES
0.7574317904167231,YES
0.8954798425410615,NO
0.927514592099905,NO
0.9108185149993212,NO
1.0,NO
0.9830324419709516,NO
0.8109135333242841,NO
0.9830324419709516,NO
0.8691461924799782,YES
0.5253155965793403,NO
0.8724039636215557,YES
0.9830324419709516,NO
0.859237138591014,YES
0.9830324419709516,NO
0.9830324419709516,NO
0.8451201303108458,NO
0.9830324419709516,NO
0.8958870639337586,NO
0.9830324419709516,NO
0.7711415773041943,NO
0.9830324419709516,NO
0.6007872946925479,NO
0.6086602416180265,NO
0.6850821229808606,YES
0.6299714945025112,YES
0.6299714945025112,YES
0.7590606759875118,YES
0.8413193973123387,NO
0.4638251662820687,NO
0.5654947739921271,YES
0.274467218677888,NO
0.7590606759875118,YES
0.31315325098411834,NO
0.6299714945025112,NO
0.6068956155830054,NO
0.6299714945025112,NO
0.8654811999457039,NO
0.7818650739785531,YES
0.6740871453780373,NO
0.6299714945025112,YES
0.5149993212976789,NO
0.6299714945025112,YES
0.6299714945025112,NO
0.6964843219763812,NO
