NONETRACED_RFUNDER_MULTI_VSM_SUM.csv,Associated
0.09369709597603855,NO
0.05560619872379216,NO
0.08113035551504102,NO
0.15405651777575205,NO
0.03730954551373877,NO
0.05261101705951296,NO
0.07754916004688112,NO
0.10945435603594218,NO
0.16870686287276992,NO
0.2911186352389634,YES
0.06628467248339628,NO
0.3829925771584842,YES
0.2428050527412424,NO
0.32120067717150674,NO
0.33370230498762865,NO
0.26331553587706735,NO
0.04609975257194947,NO
0.13094152884490168,NO
0.05528063549941399,NO
0.16805573642401356,NO
0.06830316447454096,NO
0.18107826539914051,YES
0.24130746190910274,YES
0.31709858054434176,YES
0.43638494595650473,YES
0.10255241567912489,NO
0.040239614533142336,YES
0.07207969787732778,NO
0.1610886834223206,YES
0.17879932282849328,YES
0.23206146633676258,NO
0.12247688501106915,NO
0.1074358640447975,NO
0.06602422190389373,NO
0.3482875374397708,YES
0.09499934887355126,YES
0.08243260841255372,NO
0.19911446802969138,NO
0.06400572991274905,NO
0.06901940356817295,NO
0.1887615574944654,NO
0.1776272952207319,NO
0.12065373095455137,NO
0.42407865607500983,YES
0.05000651126448756,NO
0.2036723531709858,YES
0.022333637192342753,NO
0.21493684073447064,YES
0.026956634978512826,NO
0.22880583409298083,NO
0.05020184919911446,NO
0.08705560619872378,NO
0.04583930199244693,NO
0.1175283240005209,NO
0.10554759734340409,NO
0.07227503581195469,NO
0.25315796327646833,NO
0.10001302252897515,NO
0.29515561922125283,NO
0.4080609454356036,NO
0.28089594999348877,NO
0.14767547857793983,NO
0.25179059773407997,NO
0.026761297043885926,NO
0.22066675348352652,NO
0.6756088032295872,YES
0.2737986717020446,NO
0.42433910665451235,YES
0.12709988279723922,NO
0.2650084646438339,NO
0.3605938273212658,NO
0.2487954160698008,NO
0.2692407865607501,NO
0.10873811694231021,NO
0.16597213178799328,NO
0.1274254460216174,NO
0.234665972131788,NO
0.694556582888397,YES
0.6741763250423232,YES
0.6351738507618181,YES
0.2977601250162782,YES
0.1862872769891913,NO
0.43814298736814694,YES
0.07507487954160698,NO
0.20868602682640972,YES
0.12475582758171638,YES
0.21213699700481836,NO
0.10834744107305638,NO
0.1829014194556583,NO
0.0939575465555411,NO
0.28890480531319185,YES
0.1592004167209272,YES
0.12586274254460217,NO
0.12071884359942703,NO
0.12150019533793463,NO
0.07090767026956635,NO
0.27939835916134914,NO
0.3053783044667275,NO
0.25244172418283634,NO
0.41834874332595395,YES
0.060489647089464776,NO
0.1838129964839172,YES
0.020380257846073706,NO
0.2528324000520902,YES
0.020054694621695533,NO
0.21832269826800363,NO
0.0528714676390155,NO
0.07045188175543692,NO
0.1012501627816122,NO
0.13693189217346008,NO
0.08809740851673396,NO
0.08008855319703087,NO
0.04076051569214742,NO
0.00950644615184269,NO
0.1696835525459044,YES
0.5306680557364241,YES
0.49739549420497464,YES
0.39275947388982946,YES
0.0799583279072796,NO
0.20393280375048836,NO
0.22170855580153667,YES
0.11700742284151583,NO
0.2361635629639276,YES
0.1266440942831098,NO
0.19970048183357209,NO
0.19117072535486393,NO
0.17814819637973694,NO
0.06341971610886835,NO
0.40500065112644884,YES
0.09493423622867563,NO
0.4825498111733299,YES
0.08588357859096236,NO
0.4656856361505405,YES
0.04714155488995963,NO
0.26559447844771455,NO
0.230563875504623,NO
0.03229587185831489,NO
0.10528714676390157,YES
0.19312410470113298,NO
0.0810652428701654,YES
0.24391196770412818,NO
0.047792681338715975,NO
0.13523896340669359,NO
0.31801015757260065,NO
0.1874593045969527,NO
0.16297695012371402,NO
0.20744888657377264,NO
0.294764943351999,NO
0.16017710639406174,NO
0.6530798281026176,YES
0.1158353952337544,NO
0.39757780961062644,YES
0.18811043104570907,NO
0.26422711290532624,NO
0.5138038807136346,NO
0.07435864044797501,NO
0.19344966792551113,NO
0.08783695793723141,NO
0.11616095845813258,NO
0.17717150670660242,NO
0.1429222555020185,NO
0.7031514520119807,YES
0.61948170334679,YES
0.5074228415158224,YES
0.22763380648521944,YES
0.26878499804662065,NO
0.35518947779658816,YES
0.0573642401354343,NO
0.06426618049225159,NO
0.05703867691105613,NO
0.18042713895038417,YES
0.48502409167860405,YES
0.40584711550983205,YES
0.11284021356947518,YES
0.0577549160046881,NO
0.032946998307071235,NO
0.18687329079307202,YES
0.3711420757911187,NO
0.06263836437036073,YES
0.12768589660111995,NO
0.19885401745018885,NO
0.20660242219038938,NO
0.3110431045709077,NO
0.2510092459955724,NO
0.19839822893605938,YES
0.15705169944003125,NO
0.3011459825498112,YES
0.09259018101315275,NO
0.335785909623649,YES
0.25074879541606987,NO
0.3651517124625603,NO
0.24938142987368148,NO
0.11290532621435083,NO
0.21897382471676002,YES
0.1444198463341581,NO
0.0799583279072796,YES
0.28109128792811566,NO
0.06166167469722621,NO
0.16818596171376482,NO
0.28011459825498114,NO
0.1008594869123584,NO
0.1887615574944654,NO
0.13380648521942962,NO
0.3996614142466467,NO
0.18238051829665322,NO
0.2989321526240396,YES
0.2504883448365673,NO
0.19201718973824716,YES
0.2943742674827452,NO
0.3019924469331945,NO
0.3799322828493294,NO
0.08692538090897252,NO
0.06198723792160438,NO
0.10821721578330512,NO
0.06608933454876938,NO
0.22515952597994532,NO
0.06452663107175413,NO
0.2982810261752833,YES
0.3286235186873291,YES
0.1304206276858966,YES
0.2480791769761688,YES
0.16323740070321657,NO
0.11453314233624169,YES
0.11284021356947518,NO
