NONETRACED_RFNONE_MULTI_VSM_SUM.csv,Associated
0.10748113661903998,NO
0.060523358484507954,NO
0.08396211269866753,NO
0.18189115427837538,NO
0.04599454165997754,NO
0.07288489324129073,NO
0.09560122009953445,NO
0.08677155241611817,NO
0.27219457376786005,NO
0.3187510033713277,YES
0.04960667843955691,NO
0.3517418526248194,YES
0.2511639107400867,NO
0.3718895488842511,NO
0.28295071440038533,NO
0.12393642639267942,NO
0.08893883448386579,NO
0.10523358484507947,NO
0.052095039332156055,NO
0.17506822925028098,NO
0.08420292181730615,NO
0.13493337614384335,YES
0.1289131481778777,YES
0.2865628511799647,YES
0.4255899823406647,YES
0.118397816663991,NO
0.05763364906084444,YES
0.09688553539894044,NO
0.1584524000642158,YES
0.22042061326055548,YES
0.26200032107882487,NO
0.15901428800770595,NO
0.10033713276609409,NO
0.08942045272114303,NO
0.33303901107721945,YES
0.15724835447102264,YES
0.10162144806550008,NO
0.11703323165837215,NO
0.07087815058596886,NO
0.08508588858564778,NO
0.19256702520468777,NO
0.29121849414031153,NO
0.19690158934018304,NO
0.31409536041098096,YES
0.053620163750200685,NO
0.1708139348209986,YES
0.019505538609728687,NO
0.2729972708299888,YES
0.033231658372130365,NO
0.1937710707978809,NO
0.053860972868839306,NO
0.12337453844918929,NO
0.05650987317386418,NO
0.14488681971423986,NO
0.12209022314978328,NO
0.09712634451757907,NO
0.2237919409214963,NO
0.13132123936426396,NO
0.29161984267137586,NO
0.3264568951677637,NO
0.2499598651468936,NO
0.15797078182693855,NO
0.21407930646973833,NO
0.03299084925349174,NO
0.22387221062770915,NO
0.7766896773157812,YES
0.28134532027612785,NO
0.4428479691764329,YES
0.15668646652753251,NO
0.23037405683095205,NO
0.38031786803660306,NO
0.24249478246909617,NO
0.1713758227644887,NO
0.09391555626906406,NO
0.22066142237919412,NO
0.14906084443730935,NO
0.16888746187188958,NO
0.8321560443088779,YES
0.8311125381281105,YES
0.7428961310001606,YES
0.42326216086049134,YES
0.181489805747311,NO
0.24313694011879916,YES
0.11663188312730775,NO
0.16896773157810244,YES
0.14576978648258151,YES
0.26151870284154766,NO
0.1255418205169369,NO
0.14520789853909138,NO
0.1318831273077541,NO
0.2919409214962274,YES
0.13204366672017984,YES
0.2354310483223632,NO
0.11671215283352064,NO
0.15781024241451277,NO
0.14360250441483388,NO
0.23205972066142241,NO
0.28816824530422225,NO
0.2469898860170172,NO
0.29900465564296036,YES
0.06654358645047359,NO
0.14633167442607162,YES
0.025124418044629962,NO
0.2876063573607321,YES
0.02472306951356558,NO
0.26914432493177076,NO
0.08925991330871728,NO
0.08685182212233104,NO
0.18903515813132127,NO
0.17683416278696423,NO
0.10057794188473271,NO
0.09873173864183658,NO
0.050248836089259924,NO
0.01171937710707979,NO
0.17707497190560284,YES
0.6060362819072083,YES
0.32420934339380325,YES
0.3397013966928881,YES
0.12265211109327341,NO
0.2594316904800129,NO
0.2733183496548403,YES
0.1281907208219618,NO
0.3071921656766737,YES
0.12401669609889228,NO
0.17394445336330072,NO
0.20356397495585166,NO
0.20356397495585166,NO
0.09423663509391557,NO
0.25846845400545837,YES
0.08492534917322203,NO
0.6992294108203565,YES
0.10587574249478247,NO
0.36538770268100823,YES
0.04206132605554665,NO
0.15885374859528018,NO
0.29226200032107885,NO
0.03981377428158613,NO
0.14585005618879437,YES
0.1899181248996629,NO
0.0999357842350297,YES
0.25252849574570563,NO
0.05089099373896292,NO
0.15869320918285443,NO
0.24755177396050732,NO
0.20701557232300533,NO
0.1366993096805266,NO
0.2477123133729331,NO
