LOWERTRACED_MAX_SINGLE_LSA_MAX.csv,Associated
0.7041572671608122,NO
0.7041572671608122,NO
0.7879471479213664,NO
0.7879471479213664,NO
0.7879471479213664,NO
0.7879471479213664,NO
0.7041572671608122,NO
0.7041572671608122,NO
0.7879471479213664,NO
1.0,YES
0.7879471479213664,NO
1.0,YES
0.7190890536040392,NO
0.7190890536040392,NO
0.7190890536040392,NO
0.7041572671608122,NO
0.7879471479213664,NO
0.7041572671608122,NO
0.7879471479213664,NO
0.7041572671608122,NO
0.7879471479213664,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.7879471479213664,NO
1.0,YES
0.7879471479213664,NO
0.2602857449779783,YES
0.2602857449779783,YES
0.9212589966698892,NO
1.0,NO
1.0,NO
0.9212589966698892,NO
0.3947,YES
0.2602857449779783,YES
0.9212589966698892,NO
0.1675797615211086,NO
0.9212589966698892,NO
0.1675797615211086,NO
0.33720055859920506,NO
0.33720055859920506,NO
0.33720055859920506,NO
0.2811,YES
1.0,NO
0.2602857449779783,YES
1.0,NO
0.3399,YES
1.0,NO
0.1675797615211086,NO
0.1675797615211086,NO
0.1675797615211086,NO
0.1675797615211086,NO
0.9212589966698892,NO
0.1675797615211086,NO
0.9212589966698892,NO
0.85283059404877,NO
0.85283059404877,NO
0.3302180685358255,NO
0.3354817918143732,NO
0.3354817918143732,NO
0.3302180685358255,NO
0.85283059404877,NO
0.85283059404877,NO
0.3302180685358255,NO
1.0,YES
0.3302180685358255,NO
1.0,YES
0.205,NO
0.2168,NO
0.2136,NO
0.85283059404877,NO
0.3354817918143732,NO
0.85283059404877,NO
0.3354817918143732,NO
0.85283059404877,NO
0.3354817918143732,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3302180685358255,NO
1.0,YES
0.3302180685358255,NO
0.2755398001933613,YES
0.2755398001933613,YES
0.986572134493501,NO
1.0,NO
1.0,NO
0.986572134493501,NO
0.3435,YES
0.2755398001933613,YES
0.986572134493501,NO
0.30830379202921904,NO
0.986572134493501,NO
0.30830379202921904,NO
0.4678268342464282,NO
0.4678268342464282,NO
0.4678268342464282,NO
0.2755398001933613,YES
1.0,NO
0.2755398001933613,YES
1.0,NO
0.3081,YES
1.0,NO
0.30830379202921904,NO
0.30830379202921904,NO
0.30830379202921904,NO
0.30830379202921904,NO
0.986572134493501,NO
0.30830379202921904,NO
0.986572134493501,NO
0.0724,NO
0.032012031367493816,NO
0.8774304436566763,YES
0.707165109034268,YES
0.707165109034268,YES
0.8774304436566763,YES
0.0826,NO
0.032012031367493816,NO
0.8774304436566763,YES
1.0,NO
0.8774304436566763,YES
1.0,NO
0.3382747878397249,NO
0.3382747878397249,NO
0.3382747878397249,NO
0.0572,NO
0.707165109034268,YES
0.0556,NO
0.707165109034268,YES
0.1417,NO
0.707165109034268,YES
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.8774304436566763,YES
1.0,NO
0.8774304436566763,YES
0.4610591900311527,NO
0.4610591900311527,NO
0.6103770544634225,NO
1.0,NO
1.0,NO
0.6103770544634225,NO
0.4610591900311527,NO
0.4610591900311527,NO
0.6103770544634225,NO
0.6809539155655816,YES
0.6103770544634225,NO
0.6809539155655816,YES
0.4843699645504351,NO
0.4843699645504351,NO
0.4843699645504351,NO
0.4610591900311527,NO
1.0,NO
0.4610591900311527,NO
1.0,NO
0.4610591900311527,NO
1.0,NO
0.6809539155655816,YES
0.6809539155655816,YES
0.6809539155655816,YES
0.6809539155655816,YES
0.6103770544634225,NO
0.6809539155655816,YES
0.6103770544634225,NO
0.5012353636265978,NO
0.5012353636265978,NO
0.7619508003007842,YES
0.6779460736921259,YES
0.6779460736921259,YES
0.7619508003007842,YES
0.5012353636265978,NO
0.5012353636265978,NO
0.7619508003007842,YES
1.0,NO
0.7619508003007842,YES
1.0,NO
0.4099258781824041,NO
0.4099258781824041,NO
0.4099258781824041,NO
0.5012353636265978,NO
0.6779460736921259,YES
0.5012353636265978,NO
0.6779460736921259,YES
0.5012353636265978,NO
0.6779460736921259,YES
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.7619508003007842,YES
1.0,NO
0.7619508003007842,YES
0.294768503598668,NO
0.294768503598668,NO
0.6786980341604898,NO
1.0,NO
1.0,NO
0.6786980341604898,NO
0.294768503598668,NO
0.294768503598668,NO
0.6786980341604898,NO
0.7094209904393598,YES
0.6786980341604898,NO
0.7094209904393598,YES
0.4436566763347298,NO
0.4436566763347298,NO
0.4436566763347298,NO
0.294768503598668,NO
1.0,NO
0.294768503598668,NO
1.0,NO
0.294768503598668,NO
1.0,NO
0.7094209904393598,YES
0.7094209904393598,YES
0.7094209904393598,YES
0.7094209904393598,YES
0.6786980341604898,NO
0.7094209904393598,YES
