LOWERTRACED_RFUNDER_SINGLE_VSM_SUM.csv,Associated
0.041146168705730846,NO
0.03567289117836445,NO
0.06735350933676755,NO
0.13303283966516422,NO
0.03689632968448166,NO
0.05202833226014167,NO
0.031616226658081135,NO
0.037411461687057314,NO
0.10244687701223439,NO
0.7965872504829363,YES
0.03335479716677399,NO
0.8552479072762397,YES
0.14996780424983905,NO
0.13734707018673536,NO
0.1368319381841597,NO
0.06722472633612363,NO
0.03915003219575016,NO
0.06509980682549903,NO
0.041790083708950425,NO
0.1339987121699936,NO
0.06754668383773342,NO
0.6877656149388282,YES
0.6893754024468771,YES
0.7450096587250483,YES
0.7921442369607212,YES
0.09497746297488731,NO
0.6837089504185448,YES
0.07128139085640695,NO
0.7066323245331616,YES
0.7949774629748874,YES
0.2101738570508693,NO
0.09536381197681906,NO
0.06761107533805538,NO
0.0652929813264649,NO
0.8917578879587895,YES
0.6992273019961365,YES
0.0815196394075982,NO
0.06168705730843529,NO
0.05685769478428849,NO
0.06181584030907921,NO
0.1094011590470058,NO
0.09195106245975532,NO
0.09356084996780424,NO
0.8186091435930457,YES
0.043013522215067615,NO
0.7101094655505474,YES
0.015647134578235675,NO
0.8564713457823568,YES
0.02021893110109466,NO
0.07173213135866066,NO
0.043206696716033485,NO
0.07321313586606568,NO
0.04533161622665808,NO
0.11622665808113329,NO
0.06574372182871861,NO
0.058596265292981335,NO
0.05074050225370252,NO
0.09246619446233098,NO
0.0793947198969736,NO
0.17817128139085642,NO
0.09104958145524791,NO
0.10096587250482936,NO
0.0880231809401159,NO
0.026464906632324536,NO
0.13451384417256923,NO
0.9321313586606569,YES
0.09690920798454604,NO
0.7673535093367676,YES
0.12569220862846106,NO
0.13329040566645203,NO
0.1312298776561494,NO
0.1172569220862846,NO
0.092401802962009,NO
0.07533805537669028,NO
0.11905988409529943,NO
0.10669671603348357,NO
0.1354797166773986,NO
0.9251126851255634,YES
0.9113972955569866,YES
0.872826786864134,YES
0.75164198325821,YES
0.10051513200257566,NO
0.7616870573084353,YES
0.07424339987121699,NO
0.7215067611075339,YES
0.7544108177720541,YES
0.20978750804893756,NO
0.10070830650354153,NO
0.09072762395363812,NO
0.08647778493238893,NO
0.8587894397939473,YES
0.7176432710882165,YES
