LOWERTRACED_MAX_RAW_VSM_MAX.csv,Associated
0.1687,NO
0.1687,NO
0.1423,NO
0.2164,NO
0.1663,NO
0.1423,NO
0.1687,NO
0.1687,NO
0.1689,NO
0.4096,YES
0.1423,NO
0.4096,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1687,NO
0.1663,NO
0.1687,NO
0.1663,NO
0.2179,NO
0.1663,NO
0.4096,YES
0.4096,YES
0.4096,YES
0.4096,YES
0.1573,NO
0.4096,YES
0.1423,NO
0.3715,YES
0.3715,YES
0.3362,NO
0.1659,NO
0.1659,NO
0.1778,NO
0.3947,YES
0.3715,YES
0.1778,NO
0.1474,NO
0.1778,NO
0.1474,NO
0.1835,NO
0.1835,NO
0.1835,NO
0.3715,YES
0.1659,NO
0.3715,YES
0.1659,NO
0.3715,YES
0.1659,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1474,NO
0.1903,NO
0.1474,NO
0.1778,NO
0.1731,NO
0.1731,NO
0.2137,NO
0.2865,NO
0.2143,NO
0.2137,NO
0.1731,NO
0.1731,NO
0.2187,NO
0.5256,YES
0.2137,NO
0.5256,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.2143,NO
0.1731,NO
0.2143,NO
0.1755,NO
0.2202,NO
0.5256,YES
0.5256,YES
0.5256,YES
0.5256,YES
0.2137,NO
0.5256,YES
0.2137,NO
0.284,YES
0.284,YES
0.3356,NO
0.204,NO
0.204,NO
0.204,NO
0.3435,YES
0.284,YES
0.204,NO
0.1841,NO
0.204,NO
0.1841,NO
0.2289,NO
0.2183,NO
0.2183,NO
0.284,YES
0.204,NO
0.284,YES
0.204,NO
0.3081,YES
0.204,NO
0.1841,NO
0.1841,NO
0.1841,NO
0.1841,NO
0.2201,NO
0.1841,NO
0.204,NO
0.1508,NO
0.1508,NO
0.3354,YES
0.4216,YES
0.4216,YES
0.3354,YES
0.1508,NO
0.1508,NO
0.3354,YES
0.1531,NO
0.3354,YES
0.1531,NO
0.2199,NO
0.2199,NO
0.2199,NO
0.1508,NO
0.4216,YES
0.1508,NO
0.4216,YES
0.1508,NO
0.4216,YES
0.1531,NO
0.1531,NO
0.1531,NO
0.1531,NO
0.3354,YES
0.1531,NO
0.3354,YES
0.1926,NO
0.1926,NO
0.2524,NO
0.2582,NO
0.2524,NO
0.2524,NO
0.1926,NO
0.1926,NO
0.2524,NO
0.4997,YES
0.2524,NO
0.4997,YES
0.1987,NO
0.1844,NO
0.1844,NO
0.1926,NO
0.2524,NO
0.1926,NO
0.2524,NO
0.2019,NO
0.2524,NO
0.4997,YES
0.4997,YES
0.4997,YES
0.4997,YES
0.2524,NO
0.4997,YES
0.2524,NO
0.1132,NO
0.1132,NO
0.2886,YES
0.3647,YES
0.3316,YES
0.2886,YES
0.1132,NO
0.1132,NO
0.2886,YES
0.2598,NO
0.2886,YES
0.2564,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.3316,YES
0.141,NO
0.3316,YES
0.142,NO
0.3316,YES
0.2564,NO
0.2564,NO
0.2564,NO
0.2564,NO
0.2886,YES
0.2564,NO
0.2886,YES
0.1809,NO
0.1809,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.2395,NO
0.1809,NO
0.1809,NO
0.2395,NO
0.4061,YES
0.2395,NO
0.4061,YES
0.2519,NO
0.2418,NO
0.2418,NO
0.1809,NO
0.2395,NO
0.1809,NO
0.2395,NO
0.2256,NO
0.2395,NO
0.4061,YES
0.4061,YES
0.4061,YES
0.4061,YES
0.2405,NO
0.4061,YES
0.2395,NO
0.1197,NO
0.1339,NO
0.22399999999999998,NO
0.2338,NO
0.2338,NO
0.2213,NO
0.1339,NO
0.1197,NO
0.2213,NO
0.4856,YES
0.2344,NO
0.4856,YES
0.1331,NO
0.0797,NO
0.0797,NO
0.204,NO
0.2338,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4856,YES
0.4856,YES
0.4941,YES
0.4856,YES
0.2213,NO
0.4856,YES
0.2213,NO
0.1796,NO
0.1796,NO
0.2664,NO
0.2664,NO
0.2664,NO
0.2664,NO
0.1796,NO
0.1796,NO
0.2664,NO
0.4754,YES
0.2664,NO
0.4754,YES
0.2252,NO
0.2085,NO
0.2085,NO
0.1796,NO
0.2664,NO
0.1796,NO
0.2664,NO
0.1912,NO
0.2664,NO
0.4754,YES
0.4754,YES
0.4754,YES
0.4754,YES
0.2664,NO
0.4754,YES
0.2664,NO
0.1542,NO
0.1542,NO
0.2085,NO
0.2886,NO
0.2184,NO
0.2085,NO
0.1542,NO
0.1542,NO
0.2085,NO
0.4994,YES
0.2085,NO
0.4994,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.1542,NO
0.2184,NO
0.1542,NO
0.2184,NO
0.1702,NO
0.2184,NO
0.4994,YES
0.4994,YES
0.4994,YES
0.4994,YES
0.2085,NO
0.4994,YES
0.2085,NO
0.1628,NO
0.1628,NO
0.5095,YES
0.27899999999999997,YES
0.27899999999999997,YES
0.3653,YES
0.2237,NO
0.1628,NO
0.3653,YES
0.2938,NO
0.3653,YES
0.2938,NO
0.2203,NO
0.2203,NO
0.2203,NO
0.1628,NO
0.27899999999999997,YES
0.1628,NO
0.27899999999999997,YES
0.2129,NO
0.27899999999999997,YES
0.2938,NO
0.2938,NO
0.3025,NO
0.2938,NO
0.3653,YES
0.2938,NO
0.3653,YES
0.1799,NO
0.1547,NO
0.47700000000000004,YES
0.3456,NO
0.3456,NO
0.47700000000000004,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.2742,NO
0.47700000000000004,YES
0.2742,NO
0.3264,NO
0.3203,NO
0.2875,NO
0.171,NO
0.3456,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.3456,NO
0.2742,NO
0.2742,NO
0.3767,NO
0.2742,NO
0.47700000000000004,YES
0.3359,NO
0.47700000000000004,YES
0.1768,NO
0.1768,NO
0.3605,YES
0.3645,YES
0.3645,YES
0.3605,YES
0.1768,NO
0.1768,NO
0.3605,YES
0.3374,NO
0.3605,YES
0.3374,NO
0.2585,NO
0.2585,NO
0.2585,NO
0.1768,NO
0.3645,YES
0.1768,NO
0.3645,YES
0.1768,NO
0.3645,YES
0.3374,NO
0.3374,NO
0.3374,NO
0.3374,NO
0.3605,YES
0.3374,NO
0.3605,YES
0.1636,NO
0.1646,NO
0.4534,YES
0.3036,NO
0.3036,NO
0.4534,YES
0.1681,NO
0.153,NO
0.4738,YES
0.2848,NO
0.493,YES
0.2848,NO
0.2244,NO
0.171,NO
0.171,NO
0.1775,NO
0.3036,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.3036,NO
0.2848,NO
0.2848,NO
0.3901,NO
0.2848,NO
0.4534,YES
0.3584,NO
0.4534,YES
0.0855,NO
0.0855,NO
0.1484,YES
0.2103,YES
0.2103,YES
0.1484,YES
0.0855,NO
0.0855,NO
0.1484,YES
0.1175,NO
0.1484,YES
0.1175,NO
0.1762,NO
0.1762,NO
0.1785,NO
0.0855,NO
0.2103,YES
0.0855,NO
0.2103,YES
0.1347,NO
0.2103,YES
0.1175,NO
0.1175,NO
0.1175,NO
0.1175,NO
0.1484,YES
0.1175,NO
0.1484,YES
0.3626,YES
0.3626,YES
0.3634,NO
0.1955,NO
0.1955,NO
0.1955,NO
0.3626,YES
0.3693,YES
0.1955,NO
0.1665,NO
0.1955,NO
0.1665,NO
0.2374,NO
0.2374,NO
0.2374,NO
0.3626,YES
0.1955,NO
0.3626,YES
0.1955,NO
0.3626,YES
0.1955,NO
0.1665,NO
0.1665,NO
0.1665,NO
0.1665,NO
0.2177,NO
0.1665,NO
0.1955,NO
0.0839,NO
0.0695,NO
0.4778,YES
0.301,YES
0.301,YES
0.4778,YES
0.0868,NO
0.0695,NO
0.5456,YES
0.2649,NO
0.4778,YES
0.2649,NO
0.3042,NO
0.2778,NO
0.2778,NO
0.084,NO
0.301,YES
0.0773,NO
0.301,YES
0.0821,NO
0.301,YES
0.2649,NO
0.2649,NO
0.3023,NO
0.2649,NO
0.4778,YES
0.2649,NO
0.4778,YES
0.1931,NO
0.1931,NO
0.4277,YES
0.3451,YES
0.3451,YES
0.3451,YES
0.2192,NO
0.1931,NO
0.3451,YES
0.3049,NO
0.3451,YES
0.3049,NO
0.2277,NO
0.2193,NO
0.2193,NO
0.1931,NO
0.3451,YES
0.1931,NO
0.3451,YES
0.1968,NO
0.3451,YES
0.3049,NO
0.3049,NO
0.3049,NO
0.3049,NO
0.3451,YES
0.3049,NO
0.3451,YES
0.1342,NO
0.1184,NO
0.526,YES
0.2879,YES
0.2879,YES
0.3898,YES
0.22699999999999998,NO
0.1622,NO
0.3898,YES
0.2904,NO
0.3901,YES
0.2904,NO
0.1483,NO
0.1325,NO
0.1325,NO
0.2034,NO
0.2879,YES
0.1975,NO
0.3422,YES
0.1773,NO
0.2879,YES
0.2904,NO
0.2904,NO
0.3619,NO
0.2904,NO
0.3898,YES
0.3259,NO
0.3898,YES
0.0709,NO
0.0732,NO
0.508,YES
0.3077,YES
0.3077,YES
0.508,YES
0.0664,NO
0.0556,NO
0.5229,YES
0.2491,NO
0.508,YES
0.2491,NO
0.2859,NO
0.2466,NO
0.2466,NO
0.1047,NO
0.3077,YES
0.1016,NO
0.3077,YES
0.0639,NO
0.3077,YES
0.2491,NO
0.2491,NO
0.3135,NO
0.2491,NO
0.508,YES
0.2491,NO
0.508,YES
0.1259,NO
0.1259,NO
0.2475,YES
0.3566,YES
0.324,YES
0.2475,YES
0.1259,NO
0.1259,NO
0.2475,YES
0.2335,NO
0.2475,YES
0.2335,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.324,YES
0.1648,NO
0.324,YES
0.1508,NO
0.324,YES
0.2335,NO
0.2335,NO
0.2335,NO
0.2335,NO
0.2475,YES
0.2335,NO
0.2475,YES
0.1201,NO
0.10300000000000001,NO
0.3313,YES
0.4264,YES
0.4264,YES
0.3313,YES
0.0981,NO
0.0969,NO
0.3313,YES
0.2252,NO
0.3313,YES
0.2252,NO
0.1448,NO
0.1068,NO
0.1068,NO
0.1825,NO
0.4264,YES
0.1772,NO
0.5728,YES
0.0969,NO
0.4594,YES
0.2252,NO
0.2252,NO
0.2985,NO
0.2252,NO
0.3313,YES
0.2298,NO
0.3313,YES
0.1243,NO
0.1243,NO
0.1931,NO
0.2108,NO
0.1713,NO
0.1931,NO
0.1243,NO
0.1243,NO
0.2592,NO
0.1443,NO
0.1931,NO
0.1443,NO
0.4225,YES
0.4103,YES
0.4103,YES
0.1243,NO
0.1713,NO
0.1243,NO
0.1713,NO
0.1551,NO
0.1713,NO
0.1443,NO
0.1443,NO
0.1443,NO
0.1443,NO
0.1931,NO
0.1443,NO
0.2105,NO
0.3686,YES
0.3686,YES
0.2752,NO
0.1653,NO
0.1256,NO
0.1256,NO
0.3686,YES
0.3686,YES
0.1256,NO
0.1565,NO
0.1256,NO
0.1784,NO
0.1661,NO
0.1557,NO
0.1562,NO
0.3686,YES
