NONETRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.07185,NO
0.0426,NO
0.0572,NO
0.1182,NO
0.03355,NO
0.0503,NO
0.06445000000000001,NO
0.05895,NO
0.17445,NO
0.20345000000000002,YES
0.0358,NO
0.22399999999999998,YES
0.16135,NO
0.23654999999999998,NO
0.18115,NO
0.0821,NO
0.0603,NO
0.07045,NO
0.03735,NO
0.11395000000000001,NO
0.05735,NO
0.08895,YES
0.0852,YES
0.1834,YES
0.27,YES
0.07865,NO
0.040799999999999996,YES
0.06525,NO
0.1036,YES
0.1422,YES
0.1681,NO
0.10395000000000001,NO
0.0674,NO
0.060599999999999994,NO
0.21234999999999998,YES
0.10285,YES
0.0682,NO
0.07780000000000001,NO
0.04905,NO
0.0579,NO
0.12485,NO
0.18630000000000002,NO
0.12755,NO
0.20055,YES
0.0383,NO
0.11130000000000001,YES
0.01705,NO
0.17495,YES
0.0256,NO
0.1256,NO
0.03845,NO
0.08175,NO
0.0401,NO
0.09515,NO
0.08095,NO
0.0654,NO
0.1443,NO
0.0867,NO
0.18655,NO
0.20825,NO
0.16060000000000002,NO
0.1033,NO
0.13824999999999998,NO
0.02545,NO
0.14435,NO
0.4887,YES
0.18015,NO
0.28075,YES
0.1025,NO
0.1484,NO
0.24180000000000001,NO
0.15594999999999998,NO
0.11165,NO
0.0634,NO
0.14235,NO
0.09774999999999999,NO
0.1101,NO
0.52325,YES
0.5226,YES
0.46765,YES
0.26855,YES
0.11795,NO
0.15635,YES
0.07755,NO
0.11015,YES
0.09570000000000001,YES
0.1678,NO
0.0831,NO
0.09535,NO
0.08705,NO
0.18675000000000003,YES
0.08715,YES
0.15155000000000002,NO
0.0776,NO
0.1032,NO
0.09435,NO
0.14945,NO
0.1844,NO
0.15875,NO
0.19115,YES
0.04635,NO
0.09605,YES
0.02055,NO
0.18405,YES
0.0203,NO
0.17254999999999998,NO
0.0605,NO
0.059000000000000004,NO
0.12265000000000001,NO
0.11505,NO
0.06755,NO
0.0664,NO
0.0362,NO
0.0122,NO
0.1152,YES
0.38239999999999996,YES
0.20685,YES
0.2165,YES
0.08130000000000001,NO
0.1665,NO
0.17515,YES
0.08475,NO
0.19625,YES
0.08215,NO
0.11325,NO
0.13169999999999998,NO
0.13169999999999998,NO
0.0636,NO
0.1659,YES
0.0578,NO
0.44045,YES
0.07085,NO
0.23249999999999998,YES
0.031100000000000003,NO
0.10385,NO
0.18695,NO
0.0297,NO
0.09575,YES
0.1232,NO
0.06715,YES
0.1622,NO
0.0366,NO
0.10375000000000001,NO
0.1591,NO
0.13385,NO
0.09005,NO
0.1592,NO
0.14625,NO
0.1679,NO
0.45640000000000003,YES
0.09385,NO
0.2652,YES
0.20434999999999998,NO
0.1428,NO
0.17945,NO
0.052000000000000005,NO
0.10345,NO
0.04735,NO
0.12410000000000002,NO
0.11595,NO
0.06465,NO
0.50485,YES
0.4556,YES
0.39455,YES
0.1847,YES
0.1963,NO
0.14265,YES
0.04895,NO
0.04925,NO
0.07869999999999999,NO
0.12845,YES
0.22735,YES
0.19655,YES
0.08655,YES
0.04425,NO
0.0302,NO
0.1584,YES
0.1649,NO
0.053,YES
0.08295,NO
0.1376,NO
0.20855,NO
0.18875,NO
0.10765000000000001,NO
0.11725000000000001,YES
0.1055,NO
0.19115,YES
0.086,NO
0.19275,YES
0.13245,NO
0.1603,NO
0.1714,NO
0.0716,NO
0.12805,YES
0.08080000000000001,NO
0.0663,YES
0.17575,NO
0.042249999999999996,NO
0.15405000000000002,NO
0.16999999999999998,NO
0.07735,NO
0.10485,NO
0.12265000000000001,NO
0.2368,NO
0.11495,NO
0.12445,YES
0.18725,NO
0.13735,YES
0.13095,NO
0.1918,NO
0.22665000000000002,NO
0.04665,NO
0.0525,NO
0.078,NO
0.05565,NO
0.1528,NO
0.05945,NO
0.12895,YES
0.12225,YES
0.10504999999999999,YES
0.16540000000000002,YES
0.14525,NO
0.08785,YES
0.08155,NO
0.18245,NO
0.06695,NO
0.152,NO
0.12335000000000002,NO
0.0968,NO
0.18895,NO
0.16194999999999998,NO
0.04835,NO
0.1299,NO
0.4414,YES
0.2272,NO
0.2918,YES
0.06655,NO
0.17175,NO
0.04235,NO
0.107,NO
0.10635,NO
0.14775,NO
0.195,NO
0.08045,NO
0.15594999999999998,NO
0.3771,YES
0.4548,YES
0.50205,YES
0.19915,YES
0.1165,NO
0.30365,YES
0.1213,NO
0.20695000000000002,NO
0.03845,NO
0.12764999999999999,NO
0.1421,NO
0.29235,NO
0.11115,NO
0.1542,NO
0.10519999999999999,NO
0.23254999999999998,NO
0.42895,YES
0.0914,NO
0.19415,YES
0.22760000000000002,NO
0.14205,NO
0.25534999999999997,NO
0.0499,NO
0.16575,NO
0.04575,NO
0.15034999999999998,NO
