NONETRACED_MAX_MULTI_LSA_MEDIAN.csv,Associated
0.2729228497092133,NO
0.22306525864707674,NO
0.28829886746250377,NO
0.3819220691766146,NO
0.27015850933578206,NO
0.2716544536271809,NO
0.2199917814508723,NO
0.20329496479951023,NO
0.27284914294459744,NO
0.43512737985919797,YES
0.27628515457606373,NO
0.43660024487297205,YES
0.36163160391796756,NO
0.3604786807468625,NO
0.27980625956535043,NO
0.22170055096418728,NO
0.3676385368839914,NO
0.23183506274869908,NO
0.23347794612794615,NO
0.2721731404958677,NO
0.30413604224058766,NO
0.2604069941842668,YES
0.34361291704928065,YES
0.33760875420875425,YES
0.3326568717477808,YES
0.3460206764615855,NO
0.26995977961432505,YES
0.29502196204468933,NO
0.28041359044995406,YES
0.38696890113253746,YES
0.48031303948576676,NO
0.4761033516988062,NO
0.3761174778083868,NO
0.3410300581573308,NO
0.41061905417814504,YES
0.2879020355065809,YES
0.3305201714110804,NO
0.48354686256504437,NO
0.3780980563207836,NO
0.4648987756351392,NO
0.4127762320171411,NO
0.2786262932353841,NO
0.3169133302724212,NO
0.37509239363330266,YES
0.3212048056320783,NO
0.30469302112029384,YES
0.28847638506274864,NO
0.38054075604530146,YES
0.35117851239669423,NO
0.36164071013161925,NO
0.34607167125803484,NO
0.4009755892255892,NO
0.33081013161922246,NO
0.4497566727884909,NO
0.37175961126415674,NO
0.36697483930211205,NO
0.2933817263544536,NO
0.34950379553106825,NO
0.2490568870523416,NO
0.37978198653198647,NO
0.3550612794612794,NO
0.3566394551576369,NO
0.3132255127027853,NO
0.32694984695439233,NO
0.253442439546985,NO
0.4492387205387205,YES
0.2960208295071931,NO
0.30192845117845113,YES
0.29327134986225895,NO
0.3346779308233854,NO
0.2332156718702173,NO
0.21861605448423627,NO
0.43301669727578807,NO
0.19677924701561061,NO
0.24840601469237827,NO
0.18386264156718696,NO
0.3067636057545148,NO
0.503246939087848,YES
0.5297104989286807,YES
0.38597108968472604,YES
0.3928046678910315,YES
0.2980556014692378,NO
0.37336254973982236,YES
0.24842389041934487,NO
0.31086472298745027,YES
0.37590048974594426,YES
0.5023576981940618,NO
0.4731367309458218,NO
0.41656518212427307,NO
0.37875339761248844,NO
0.4072871900826447,YES
0.32163882767064583,YES
0.3692252372206918,NO
0.4708476277930823,NO
0.42020489745944284,NO
0.44907910927456374,NO
0.4601035047444138,NO
0.34406942148760333,NO
0.36247359963269055,NO
0.349899617385981,YES
0.3388966789103153,NO
0.30918590449954086,YES
0.30763754208754207,NO
0.3789505203550658,YES
0.373911876339149,NO
0.38539970921334554,NO
0.34699984695439234,NO
0.4215650443832261,NO
0.36478651668197115,NO
0.4886083103764921,NO
0.40578079277624735,NO
0.4053960208142027,NO
0.3155082338536883,NO
0.2194237526782981,NO
0.32058261401897764,YES
0.4542074686256504,YES
0.3956256351392715,YES
0.4261066727884909,YES
0.35420174471992655,NO
0.18625206611570247,NO
0.30449190388735836,YES
0.25394038873584324,NO
0.37218816957453316,YES
0.244785445362718,NO
0.36069872972145706,NO
0.30009761248852157,NO
0.2758398836853381,NO
0.2815843893480257,NO
0.45772736455463725,YES
0.24336473829201102,NO
0.3876737526782981,YES
0.2009387664524028,NO
0.38668273645546364,YES
0.2593415059687787,NO
0.31499478114478113,NO
0.3387084940312212,NO
0.2509014080195898,NO
0.38304109274563813,YES
0.3972205081114172,NO
0.31401256504438313,YES
0.35405950413223136,NO
0.28843654729109275,NO
0.33796028466482997,NO
0.5337525864707683,NO
0.35344136822773176,NO
0.37231660544842365,NO
0.39855567799204156,NO
0.23763506274869908,NO
0.3054528007346189,NO
0.7013999999999999,YES
0.3326761401897764,NO
0.5864304866850321,YES
