UPPERTRACED_RFUNDER_RAW_VSM_MAX.csv,Associated
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.67,YES
0.2444,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.3947,YES
0.93,YES
0.67,NO
0.88,NO
0.0981,NO
0.57,NO
0.84,NO
0.77,NO
0.1551,NO
0.2811,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.67,YES
0.24,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.3435,YES
0.93,YES
0.67,NO
0.88,NO
0.1364,NO
0.57,NO
0.84,NO
0.77,NO
0.2075,NO
0.27,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.7,NO
0.87,NO
0.7,YES
0.58,YES
0.7,YES
0.68,YES
0.61,NO
0.82,NO
0.68,YES
0.93,NO
0.99,YES
0.96,NO
0.85,NO
0.51,NO
0.9,NO
0.93,NO
0.49,YES
0.91,NO
0.97,YES
0.76,NO
0.57,YES
0.93,NO
0.8,NO
0.97,NO
0.77,NO
0.87,YES
0.95,NO
0.99,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.25,NO
0.1535,NO
0.83,YES
0.43,NO
0.1097,NO
0.83,YES
0.191,NO
0.8,YES
0.64,NO
0.3264,NO
0.3203,NO
0.56,NO
0.56,NO
0.39,NO
0.1398,NO
0.67,NO
0.1451,NO
0.34,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.96,YES
0.83,NO
0.94,YES
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.1636,NO
0.1646,NO
0.97,YES
0.38,NO
0.1649,NO
0.98,YES
0.1681,NO
0.153,NO
0.83,YES
0.16,NO
0.99,YES
0.1456,NO
0.2244,NO
0.56,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.68,NO
0.0902,NO
0.2663,NO
0.23,NO
0.5,NO
0.95,NO
0.21600000000000003,NO
0.94,YES
0.92,NO
0.99,YES
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.67,YES
0.24,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.33,YES
0.93,YES
0.67,NO
0.88,NO
0.1517,NO
0.57,NO
0.84,NO
0.77,NO
0.1446,NO
0.27,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.7,NO
0.87,NO
0.7,YES
0.58,YES
0.7,YES
0.68,YES
0.61,NO
0.82,NO
0.68,YES
0.93,NO
0.99,YES
0.96,NO
0.85,NO
0.51,NO
0.9,NO
0.93,NO
0.49,YES
0.91,NO
0.97,YES
0.76,NO
0.57,YES
0.93,NO
0.8,NO
0.97,NO
0.77,NO
0.87,YES
0.95,NO
0.99,YES
0.7,NO
0.87,NO
0.7,YES
0.58,YES
0.7,YES
0.68,YES
0.61,NO
0.82,NO
0.68,YES
0.93,NO
0.99,YES
0.96,NO
0.85,NO
0.51,NO
0.9,NO
0.93,NO
0.49,YES
0.91,NO
0.97,YES
0.76,NO
0.57,YES
0.93,NO
0.8,NO
0.97,NO
0.77,NO
0.87,YES
0.95,NO
0.99,YES
0.7,NO
0.87,NO
0.7,YES
0.58,YES
0.7,YES
0.68,YES
0.61,NO
0.82,NO
0.68,YES
0.93,NO
0.99,YES
0.96,NO
0.85,NO
0.51,NO
0.9,NO
0.93,NO
0.49,YES
0.91,NO
0.97,YES
0.76,NO
0.57,YES
0.93,NO
0.8,NO
0.97,NO
0.77,NO
0.87,YES
0.95,NO
0.99,YES
0.7,NO
0.87,NO
0.7,YES
0.58,YES
0.7,YES
0.68,YES
0.61,NO
0.82,NO
0.68,YES
0.93,NO
0.99,YES
0.96,NO
0.85,NO
0.51,NO
0.9,NO
0.93,NO
0.49,YES
0.91,NO
0.97,YES
0.76,NO
0.57,YES
0.93,NO
0.8,NO
0.97,NO
0.77,NO
0.87,YES
0.95,NO
0.99,YES
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.88,NO
0.06,NO
0.31,NO
0.86,NO
0.11,NO
0.73,NO
0.42,NO
0.11,NO
0.98,NO
0.45,NO
0.0785,NO
0.1052,NO
0.83,YES
0.94,YES
0.98,YES
0.0766,NO
0.56,NO
0.11,NO
0.38,NO
0.1551,NO
0.34,NO
0.38,NO
0.14,NO
0.71,NO
0.36,NO
0.1685,NO
0.53,NO
0.82,NO
0.67,YES
0.289,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.33,YES
0.93,YES
0.67,NO
0.88,NO
0.0533,NO
0.57,NO
0.84,NO
0.77,NO
0.1562,NO
0.3075,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.77,NO
0.44,NO
0.47,YES
0.7,YES
0.96,YES
0.91,YES
0.77,NO
0.14,NO
0.88,YES
0.84,NO
0.47,YES
0.89,NO
0.93,NO
0.89,NO
0.96,NO
0.95,NO
0.97,YES
0.88,NO
0.7,YES
0.93,NO
0.7,YES
0.77,NO
0.85,NO
0.66,NO
0.9,NO
0.48,YES
0.55,NO
0.94,YES
0.67,YES
0.24,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.33,YES
0.93,YES
0.67,NO
0.88,NO
0.09699999999999999,NO
0.57,NO
0.84,NO
0.77,NO
0.132,NO
0.27,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
0.67,YES
0.24,YES
0.78,NO
0.73,NO
0.73,NO
0.73,NO
0.33,YES
0.93,YES
0.67,NO
0.88,NO
0.0645,NO
0.57,NO
0.84,NO
0.77,NO
0.1463,NO
0.27,YES
0.8,NO
0.67,YES
0.11,NO
0.98,YES
0.88,NO
0.39,NO
0.73,NO
0.74,NO
0.33,NO
0.88,NO
0.86,NO
0.7,NO
0.76,NO
0.34,NO
0.62,NO
0.47,NO
0.76,NO
0.45,NO
0.95,NO
0.66,NO
0.86,NO
0.68,YES
0.76,NO
0.5,YES
0.93,NO
0.77,NO
0.41,NO
0.96,NO
0.57,NO
0.93,NO
0.78,NO
0.68,NO
0.9,NO
0.68,YES
0.68,YES
0.68,YES
0.7,YES
0.86,NO
0.69,YES
0.9,NO
