NONETRACED_RFUNDER_RAW_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.07235151515151515,NO
0.12335151515151516,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.4051621212121212,NO
0.08445,NO
0.25223787878787884,YES
0.0308,NO
0.32051515151515153,YES
0.37135,NO
0.24033787878787882,NO
0.12630151515151516,NO
0.06467575757575758,NO
0.0353,NO
0.07817727272727273,NO
0.03735,NO
0.3134954545454546,NO
0.3149257575757576,NO
0.046525757575757574,YES
0.05535151515151515,YES
0.1743090909090909,YES
0.12,YES
0.1619833333333333,NO
0.0358,YES
0.43146212121212124,NO
0.47026666666666667,YES
0.33432121212121213,YES
0.3044636363636364,NO
0.2077378787878788,NO
0.25436969696969697,NO
0.19196363636363634,NO
0.5685621212121212,YES
0.05542575757575757,YES
0.2272909090909091,NO
0.17401212121212123,NO
0.22329242424242426,NO
0.18168787878787881,NO
0.21863787878787883,NO
0.49296666666666666,NO
0.28209545454545454,NO
0.3299439393939394,YES
0.1670878787878788,NO
0.19266363636363637,YES
0.08523181818181817,NO
0.41995,YES
0.14938787878787882,NO
0.18938787878787883,NO
0.18238939393939396,NO
0.20568939393939395,NO
0.20676666666666665,NO
0.21636212121212123,NO
0.17716212121212122,NO
0.2549454545454546,NO
0.06702727272727273,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.1136030303030303,NO
0.07325,NO
0.1845409090909091,NO
0.1396530303030303,NO
0.30445757575757576,YES
0.08015,NO
0.23711363636363636,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.29291969696969694,NO
0.07665,NO
0.07097575757575758,NO
0.09735,NO
0.10290151515151515,NO
0.1101,NO
0.22325,YES
0.2126,YES
0.18265,YES
0.08855,YES
0.08295,NO
0.09635,YES
0.06255,NO
0.4136348484848485,YES
0.2800939393939394,YES
0.29658787878787884,NO
0.20431212121212122,NO
0.21171363636363635,NO
0.07205,NO
0.5884166666666667,YES
0.0924530303030303,YES
0.23048939393939394,NO
0.19153939393939395,NO
0.15153333333333333,NO
0.18828939393939395,NO
0.2432378787878788,NO
