UPPERTRACED_RFSMOTE_RAW_LSA_MEDIAN.csv,Associated
0.03685,NO
0.0676,NO
0.1472,NO
0.1282,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.17345,YES
0.0308,NO
0.16899999999999998,YES
0.15134999999999998,NO
0.11155,NO
0.14115,NO
0.1921,NO
0.0353,NO
0.19045,NO
0.03735,NO
0.10895,NO
0.062349999999999996,NO
0.07395,YES
0.0402,YES
0.34340000000000004,YES
0.37,YES
0.08864999999999999,NO
0.0358,YES
0.42025,NO
0.0536,YES
0.1222,YES
0.1681,NO
0.52395,NO
0.0574,NO
0.1456,NO
0.19735,YES
0.04785,YES
0.0682,NO
0.0528,NO
0.16405,NO
0.0529,NO
0.08985,NO
0.11630000000000001,NO
0.07755,NO
0.14055,YES
0.0383,NO
0.4663,YES
0.01705,NO
0.30995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.30595,NO
0.0504,NO
0.0443,NO
0.11170000000000001,NO
0.15655,NO
0.16324999999999998,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.2787,YES
0.08015,NO
0.10075,YES
0.1325,NO
0.1084,NO
0.1368,NO
0.23095,NO
0.07665,NO
0.19840000000000002,NO
0.09735,NO
0.08775,NO
0.11510000000000001,NO
0.25825,YES
0.2126,YES
0.44265,YES
0.33855,YES
0.09294999999999999,NO
0.09635,YES
0.42255,NO
0.06515,YES
0.0907,YES
0.1678,NO
0.5281,NO
0.07535,NO
0.16205,NO
0.17175,YES
0.06215,YES
0.08655,NO
0.0476,NO
0.1832,NO
0.04435,NO
0.11445,NO
0.1444,NO
0.10375,NO
0.09615,YES
0.04635,NO
0.45104999999999995,YES
0.01555,NO
0.29405000000000003,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.31755,NO
0.0664,NO
0.0362,NO
0.0122,NO
0.0702,YES
0.1674,YES
0.14685,YES
0.07150000000000001,YES
0.0413,NO
0.0115,NO
0.10515,YES
0.06975,NO
0.06625,YES
0.07215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.1159,YES
0.0428,NO
0.32045,YES
0.07085,NO
0.1275,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.08575,YES
0.0482,NO
0.06715,YES
0.0772,NO
0.0716,NO
0.18875,NO
0.14909999999999998,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.2514,YES
0.07885,NO
0.1452,YES
0.12935,NO
0.0878,NO
0.11445,NO
0.162,NO
0.07345,NO
0.16235,NO
0.0541,NO
0.10095,NO
0.06965,NO
0.22985,YES
0.1806,YES
0.39955,YES
0.3947,YES
0.12129999999999999,NO
0.08765,YES
0.40895,NO
0.04925,NO
0.0387,NO
0.05345,YES
0.18235,YES
0.12655,YES
0.06655,YES
0.04425,NO
0.0352,NO
0.1034,YES
0.1299,NO
0.053,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.11225,YES
0.08549999999999999,NO
0.27115,YES
0.071,NO
0.12775,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.07305,YES
0.0558,NO
0.0663,YES
0.07075,NO
0.07225000000000001,NO
0.20905,NO
0.115,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.14945,YES
0.10225,NO
0.12235,YES
0.15595,NO
0.1018,NO
0.13165,NO
0.16165000000000002,NO
0.0525,NO
0.163,NO
0.05565,NO
0.1128,NO
0.05445,NO
0.12895,YES
0.07225,YES
0.35505,YES
0.4054,YES
0.13025,NO
0.08285,YES
0.42655,NO
0.04745,NO
0.10195,NO
0.20199999999999999,NO
0.11835000000000001,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.22139999999999999,YES
0.1172,NO
0.0868,YES
0.09655,NO
0.03675,NO
0.062349999999999996,NO
0.237,NO
0.06635,NO
0.21775,NO
0.155,NO
0.06545,NO
0.14595,NO
0.2371,YES
0.1648,YES
0.50705,YES
0.33915,YES
0.1065,NO
0.13365,YES
0.4463,NO
0.07195,NO
0.07345,NO
0.18764999999999998,NO
0.1371,NO
0.10235,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.08755,NO
0.22895,YES
0.0914,NO
0.10415,YES
0.1426,NO
0.10205,NO
0.13035,NO
0.15990000000000001,NO
0.07075,NO
0.16075,NO
