UPPERTRACED_SUM_RAW_VSM_MAX.csv,Associated
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2223,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.9949,YES
0.2614,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.1551,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2136,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.9949,YES
0.2614,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.2075,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.1689,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
