NONETRACED_RFUNDER_MULTI_LSA_MEDIAN.csv,Associated
0.05297903225806452,NO
0.06485806451612904,NO
0.0572,NO
0.17271612903225808,NO
0.03355,NO
0.0453,NO
0.19880483870967747,NO
0.13878870967741938,NO
0.1247725806451613,NO
0.16377258064516131,YES
0.0308,NO
0.2093225806451613,YES
0.12941451612903226,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.043364516129032256,NO
0.05545,NO
0.053479032258064524,NO
0.16540161290322583,NO
0.06541451612903226,NO
0.11959516129032259,YES
0.0402,YES
0.09952903225806452,YES
0.1764516129032258,YES
0.07865,NO
0.043864516129032256,YES
0.06831451612903226,NO
0.06972903225806452,YES
0.17865161290322584,YES
0.17616451612903225,NO
0.5386274193548387,NO
0.10578709677419354,NO
0.07979354838709676,NO
0.21347903225806453,YES
0.04785,YES
0.08432903225806451,NO
0.5044129032258066,NO
0.05711451612903226,NO
0.11741612903225808,NO
0.13823709677419355,NO
0.10049354838709679,NO
0.12593709677419354,NO
0.17280806451612904,YES
0.062493548387096774,NO
0.12081612903225808,YES
0.4928564516129032,NO
0.6538209677419355,YES
0.18995483870967747,NO
0.11705161290322583,NO
0.12715967741935486,NO
0.2149758064516129,NO
0.08042258064516129,NO
0.19998870967741939,NO
0.06401451612903226,NO
0.17136774193548385,NO
0.10075161290322582,NO
0.0767,NO
0.1068725806451613,NO
0.15131451612903224,NO
0.08366451612903227,NO
0.10749354838709677,NO
0.12163709677419354,NO
0.05770806451612904,NO
0.10935,NO
0.3254741935483871,YES
0.08821451612903226,NO
0.13300806451612904,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.11207903225806451,NO
0.3105209677419355,NO
0.0634,NO
0.10541451612903227,NO
0.08775,NO
0.16655161290322584,NO
0.3119596774193548,YES
0.3013096774193549,YES
0.19071451612903226,YES
0.17725967741935483,YES
0.09101451612903226,NO
0.09635,YES
0.19158225806451615,NO
0.07321451612903226,YES
0.1310225806451613,YES
0.1678,NO
0.18793870967741938,NO
0.12373709677419355,NO
0.07205,NO
0.20400806451612905,YES
0.06215,YES
0.10267903225806452,NO
0.2572774193548387,NO
0.09239354838709676,NO
0.11693064516129033,NO
0.16283709677419356,NO
0.12859354838709677,NO
0.11987903225806451,NO
0.11227903225806452,YES
0.11893064516129033,NO
0.04911451612903226,YES
0.4752274193548387,NO
0.6379209677419355,YES
0.09288064516129033,NO
0.10287258064516129,NO
0.11808064516129033,NO
0.11545161290322584,NO
0.12523064516129034,NO
0.17456612903225807,NO
0.09174354838709678,NO
0.09865806451612905,NO
0.0362,NO
0.0928451612903226,NO
0.1105225806451613,YES
0.1674,YES
0.14685,YES
0.18440322580645166,YES
0.3880741935483871,NO
0.006500000000000001,NO
0.10515,YES
0.10200806451612904,NO
0.11463709677419355,YES
0.07215,NO
0.10825,NO
0.12895806451612904,NO
0.0967,NO
0.03666451612903226,NO
0.13202903225806453,YES
0.06005806451612904,NO
0.20464354838709678,YES
0.17568870967741937,NO
0.15169354838709678,YES
0.03416451612903226,NO
0.03385,NO
0.07195,NO
0.04889354838709677,NO
0.08575,YES
0.13690967741935484,NO
0.09940806451612905,YES
0.14171612903225808,NO
0.04466451612903226,NO
0.10681451612903227,NO
0.2581322580645161,NO
0.16336612903225806,NO
0.19795322580645164,NO
0.2212967741935484,NO
0.09350806451612903,NO
0.10515806451612905,NO
0.29010967741935484,YES
0.09497903225806452,NO
0.23390967741935484,YES
0.16386612903225806,NO
0.11199354838709677,NO
0.10864354838709678,NO
0.027000000000000003,NO
0.07345,NO
0.09993064516129033,NO
0.07022903225806452,NO
0.13320806451612904,NO
0.17755322580645166,NO
0.44484999999999997,YES
0.4628580645161291,YES
0.17987258064516132,YES
0.17695806451612903,YES
0.2887193548387097,NO
0.08765,YES
0.0892725806451613,NO
0.0895725806451613,NO
0.046764516129032256,NO
0.05345,YES
0.21460806451612904,YES
0.15880806451612903,YES
0.06655,YES
0.06037903225806451,NO
0.0302,NO
0.3614645161290323,YES
0.21054516129032258,NO
0.0933225806451613,YES
0.07295,NO
0.23356774193548385,NO
0.13661451612903225,NO
0.19133064516129034,NO
0.07265,NO
0.18483064516129033,YES
0.09469354838709676,NO
0.13115,YES
0.5145483870967742,NO
0.12775,YES
0.10245,NO
0.14255806451612904,NO
0.1114,NO
0.05966451612903226,NO
0.08111451612903227,YES
0.07192903225806452,NO
0.0663,YES
0.07075,NO
0.045314516129032256,NO
0.11905,NO
0.18370967741935484,NO
0.08541451612903227,NO
0.09985,NO
0.08265,NO
0.08486451612903226,NO
0.09995,NO
0.1800951612903226,YES
0.10225,NO
0.21105967741935483,YES
0.18240161290322582,NO
0.1018,NO
0.11777903225806452,NO
0.03471451612903226,NO
0.07669354838709677,NO
0.027999999999999997,NO
0.10403709677419354,NO
0.1531225806451613,NO
0.07364354838709677,NO
0.18265967741935485,YES
