NONETRACED_MAX_MULTI_LSA_SUM.csv,Associated
0.34962282849739834,NO
0.2739449562213163,NO
0.3729617881795475,NO
0.5150706336022673,NO
0.34542688975965574,NO
0.3476975546394636,NO
0.269279784684891,NO
0.24393600992481154,NO
0.3495109504262831,NO
0.595829944681451,YES
0.3547264059636589,NO
0.5980655779725459,YES
0.484272129190924,NO
0.4825221294290365,NO
0.36007102306154115,NO
0.2718734928489447,NO
0.49338993645135076,NO
0.28725647209182237,NO
0.2897501729684694,NO
0.3484848593961424,NO
0.39700072918205453,NO
0.3306252536915407,YES
0.45692191321815956,YES
0.4478083106775982,YES
0.44029194415397943,YES
0.460576604618088,NO
0.3451252417626809,YES
0.3831666432929156,NO
0.3609928788539133,YES
0.522731122126135,YES
0.664416382675783,NO
0.6580265790796417,NO
0.5062599567359879,NO
0.45300144170784284,NO
0.5586292315888385,YES
0.37235944463595405,YES
0.43704868807745634,NO
0.6693249401239761,NO
0.5092662385177754,NO
0.6410193699828951,NO
0.5619035700696704,NO
0.3582799750123489,NO
0.41639512732902295,NO
0.5047040013113151,YES
0.4229090746984281,NO
0.39784615664096135,YES
0.3732312387083816,NO
0.5129739651411998,YES
0.4684055839330268,NO
0.4842859513363379,NO
0.460654008632406,NO
0.5439916028259714,NO
0.4374888130640321,NO
0.6180354652091605,NO
0.4996452354727917,NO
0.4923825227403912,NO
0.380676961292162,NO
0.4658635636236723,NO
0.31339714580363276,NO
0.5118222435860192,NO
0.47429916089355917,NO
0.4766946432310294,NO
0.41079746043283105,NO
0.43162936170284927,NO
0.3200538910349867,NO
0.6172492755163135,YES
0.38468280487709416,NO
0.3936498694457713,YES
0.3805094229514472,NO
0.4433596705989936,NO
0.2893520719500513,NO
0.26719159535504367,NO
0.5926261804489679,NO
0.2340459280389375,NO
0.3124091992487351,NO
0.2144400626823841,NO
0.4009890569726301,NO
0.6992273049025661,YES
0.7393958300747723,YES
0.5212165634462145,YES
0.5315891195137727,YES
0.38777134584696693,NO
0.502078304753589,YES
0.31243633246864,NO
0.4072140634266429,YES
0.5059305947566958,YES
0.6978775433647745,NO
0.6535236028697377,NO
0.5676547440866947,NO
0.5102609683776492,NO
0.5535718595801048,YES
0.423567868348502,YES
0.4957983581753682,NO
0.6500490175091272,NO
0.5731793975324055,NO
0.6170070046683773,NO
0.6337407211298998,NO
0.45761483246758317,NO
0.48555017818603885,NO
0.466464373954497,YES
0.4497632266490593,NO
0.404665817344228,YES
0.4023155880139281,NO
0.5105601771724924,YES
0.502912116964249,NO
0.5203492760901067,NO
0.4620628685532788,NO
0.575243938216822,NO
0.48906091019919384,NO
0.6770076137719954,NO
0.5512853282711915,NO
0.5507012903588354,NO
0.4142623586764034,NO
0.26841758480751554,NO
