LOWERTRACED_MAX_RAW_LSA_MEDIAN.csv,Associated
0.3715040178571429,NO
0.3672540178571429,NO
0.4135058035714285,NO
0.46450580357142857,NO
0.38985580357142857,NO
0.40160580357142855,NO
0.36410401785714286,NO
0.36860401785714286,NO
0.4407558035714285,NO
0.5346107142857144,YES
0.38710580357142854,NO
0.5801607142857144,YES
0.4598544642857143,NO
0.4500544642857143,NO
0.4496544642857143,NO
0.39175401785714287,NO
0.39160580357142855,NO
0.3901040178571429,NO
0.39365580357142854,NO
0.4436040178571429,NO
0.41365580357142856,NO
0.4501107142857143,YES
0.45136071428571434,YES
0.49456071428571435,YES
0.5311607142857143,YES
0.43495580357142855,NO
0.4469607142857143,YES
0.4165558035714285,NO
0.2264794642857143,YES
0.2950794642857143,YES
0.5961133928571429,NO
0.5373763392857143,NO
0.5158263392857143,NO
0.4836133928571429,NO
0.3702294642857143,YES
0.2207294642857143,YES
0.4962133928571429,NO
0.189909375,NO
0.4770633928571429,NO
0.190009375,NO
0.2924169642857143,NO
0.2788669642857143,NO
0.28011696428571425,NO
0.3134294642857143,YES
0.4967263392857143,NO
0.22917946428571428,YES
0.4754763392857143,NO
0.34282946428571426,YES
0.4790263392857143,NO
0.19770937500000002,NO
0.17555937500000002,NO
0.198859375,NO
0.177209375,NO
0.5231633928571429,NO
0.193059375,NO
0.4784133928571429,NO
0.46980223214285716,NO
0.5022022321428572,NO
0.37994285714285714,NO
0.4577589285714286,NO
0.3901089285714286,NO
0.3966928571428571,NO
0.49875223214285713,NO
0.4509522321428572,NO
0.42274285714285714,NO
0.6857870535714286,YES
0.39354285714285714,NO
0.5578370535714285,YES
0.37604910714285716,NO
0.3819491071428572,NO
0.3803491071428572,NO
0.5214522321428572,NO
0.3911589285714286,NO
0.48890223214285716,NO
0.4118589285714286,NO
0.5132522321428572,NO
0.4246089285714286,NO
0.6803370535714286,YES
0.6696870535714285,YES
0.6397370535714286,YES
0.5456370535714286,YES
0.3963428571428571,NO
0.5534370535714286,YES
0.37594285714285713,NO
0.2532638392857143,YES
0.2788138392857143,YES
0.6155120535714286,NO
0.5357227678571429,NO
0.5279727678571429,NO
0.5197620535714286,NO
0.3598638392857143,YES
0.2502638392857143,YES
0.5342620535714285,NO
0.24771160714285714,NO
0.5159120535714286,NO
0.24446160714285714,NO
0.37276473214285716,NO
0.36271473214285715,NO
0.36206473214285717,NO
0.2842638392857143,YES
0.4989727678571429,NO
0.2291638392857143,YES
0.4681727678571429,NO
0.34216383928571426,YES
0.4729227678571429,NO
0.26266160714285713,NO
0.24561160714285712,NO
0.25911160714285714,NO
0.2527616071428571,NO
0.5577620535714286,NO
0.26766160714285714,NO
0.5141120535714285,NO
0.20723794642857143,NO
0.1832379464285714,NO
0.48649464285714283,YES
0.5343084821428572,YES
0.5137584821428571,YES
0.48779464285714286,YES
0.21233794642857143,NO
0.17753794642857143,NO
0.5214446428571429,YES
0.5215915178571429,NO
0.4825446428571428,YES
0.5239915178571429,NO
0.36812723214285714,NO
0.35657723214285714,NO
0.35657723214285714,NO
0.1996379464285714,NO
0.48280848214285715,YES
0.19883794642857142,NO
