LOWERTRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.6234500000000001,YES
0.0308,NO
0.669,YES
0.60635,NO
0.59655,NO
0.59615,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.53895,YES
0.5402,YES
0.5834,YES
0.62,YES
0.07865,NO
0.5358,YES
0.06025,NO
0.5536,YES
0.6222,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.69735,YES
0.54785,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.64055,YES
0.0383,NO
0.5563,YES
0.01705,NO
0.66995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.7287,YES
0.08015,NO
0.60075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.72325,YES
0.7126,YES
0.68265,YES
0.58855,YES
0.08295,NO
0.59635,YES
0.06255,NO
0.06515,YES
0.0907,YES
0.6678,NO
0.5831,NO
0.57535,NO
0.57205,NO
0.17175,YES
0.06215,YES
0.58655,NO
0.0476,NO
0.5682,NO
0.04435,NO
0.35445,NO
0.3444,NO
0.34375,NO
0.09615,YES
0.54635,NO
0.04105,YES
0.51555,NO
0.15405,YES
0.5203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.61005,NO
0.06755,NO
0.5664,NO
0.0362,NO
0.0122,NO
0.49019999999999997,YES
0.6474,YES
0.62685,YES
0.4915,YES
0.0413,NO
0.006500000000000001,NO
0.52515,YES
0.06975,NO
0.48624999999999996,YES
0.07215,NO
0.16825,NO
0.1567,NO
