NONETRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.07685,NO
0.047599999999999996,NO
0.0672,NO
0.1232,NO
0.03355,NO
0.0453,NO
0.06445000000000001,NO
0.08895,NO
0.13445000000000001,NO
0.22845,YES
0.0558,NO
0.299,YES
0.19135000000000002,NO
0.25155,NO
0.26115,NO
0.2071,NO
0.040299999999999996,NO
0.10545,NO
0.04735,NO
0.13395,NO
0.05735,NO
0.14395,YES
0.19019999999999998,YES
0.2484,YES
0.33999999999999997,YES
0.08365,NO
0.0358,YES
0.06025,NO
0.1286,YES
0.1422,YES
0.18309999999999998,NO
0.09895000000000001,NO
0.0874,NO
0.0556,NO
0.27235,YES
0.07785,YES
0.0682,NO
0.1578,NO
0.05405,NO
0.0579,NO
0.14984999999999998,NO
0.1413,NO
0.09755,NO
0.33055,YES
0.0433,NO
0.1613,YES
0.02205,NO
0.16995,YES
0.0256,NO
0.18059999999999998,NO
0.043449999999999996,NO
0.07175,NO
0.0401,NO
0.09515,NO
0.08595,NO
0.0604,NO
0.1993,NO
0.08170000000000001,NO
0.23155,NO
0.31825,NO
0.2206,NO
0.1183,NO
0.19824999999999998,NO
0.02545,NO
0.17435,NO
0.5236999999999999,YES
0.21515,NO
0.33075,YES
0.1025,NO
0.2084,NO
0.2818,NO
0.19595,NO
0.21165,NO
0.0884,NO
0.13235000000000002,NO
0.10275,NO
0.1851,NO
0.53825,YES
0.5226,YES
0.49265000000000003,YES
0.23354999999999998,YES
0.14795,NO
0.34135,YES
0.06255,NO
0.16515000000000002,YES
0.1007,YES
0.1678,NO
0.0881,NO
0.14535,NO
0.07705000000000001,NO
0.22675,YES
0.12714999999999999,YES
0.10155,NO
0.0976,NO
0.0982,NO
0.05935,NO
0.21944999999999998,NO
0.2394,NO
0.19874999999999998,NO
0.32615,YES
0.05135,NO
0.14605,YES
0.02055,NO
0.19905,YES
0.0203,NO
0.17254999999999998,NO
0.0455,NO
0.059000000000000004,NO
0.08265,NO
0.11005,NO
0.07255,NO
0.0664,NO
0.0362,NO
0.0122,NO
0.1352,YES
0.4124,YES
0.38685,YES
0.3065,YES
0.0663,NO
0.1615,NO
0.17515,YES
0.09475,NO
0.18625,YES
0.10215,NO
0.15825,NO
0.1517,NO
0.1417,NO
0.0536,NO
0.3159,YES
0.07780000000000001,NO
0.37545,YES
0.07085,NO
0.3625,YES
0.0411,NO
0.20884999999999998,NO
0.18195,NO
0.0297,NO
0.08575,YES
0.1532,NO
0.06715,YES
0.1922,NO
0.0416,NO
0.10875,NO
0.2491,NO
0.14884999999999998,NO
0.13005,NO
0.1642,NO
0.23125,NO
0.1279,NO
0.5064,YES
0.09385,NO
0.31020000000000003,YES
0.14934999999999998,NO
0.20779999999999998,NO
0.39944999999999997,NO
0.062000000000000006,NO
0.15345,NO
0.07235,NO
0.0941,NO
0.14095,NO
0.11465,NO
0.54485,YES
0.4806,YES
0.39455,YES
0.1797,YES
0.2113,NO
0.27765,YES
0.04895,NO
0.05425,NO
0.0487,NO
0.14345,YES
0.37735,YES
0.31655,YES
0.09154999999999999,YES
0.049249999999999995,NO
0.0302,NO
0.1484,YES
0.2899,NO
0.053,YES
0.10295,NO
0.15760000000000002,NO
0.16355,NO
0.24375,NO
0.19765,NO
0.15725,YES
0.1255,NO
0.23614999999999997,YES
0.076,NO
0.26275000000000004,YES
0.19745000000000001,NO
0.2853,NO
0.19640000000000002,NO
0.0916,NO
0.17305,YES
0.1158,NO
0.0663,YES
0.22075,NO
0.05225,NO
0.13405,NO
0.22,NO
0.08235,NO
0.14984999999999998,NO
0.10765,NO
0.31179999999999997,NO
0.14495,NO
0.23445,YES
0.19724999999999998,NO
0.15234999999999999,YES
0.23095,NO
0.2368,NO
0.29665,NO
0.07164999999999999,NO
0.0525,NO
0.088,NO
0.05565,NO
0.1778,NO
0.05445,NO
0.23395000000000002,YES
0.25725,YES
0.10504999999999999,YES
0.19540000000000002,YES
0.13025,NO
0.09284999999999999,YES
0.09154999999999999,NO
0.18245,NO
0.06695,NO
0.22699999999999998,NO
0.21335,NO
0.11180000000000001,NO
0.18895,NO
0.20695000000000002,NO
0.04835,NO
0.1749,NO
0.4964,YES
0.2072,NO
0.2918,YES
0.06655,NO
0.21175,NO
0.062349999999999996,NO
0.127,NO
0.16135,NO
0.17275000000000001,NO
0.275,NO
0.09045,NO
0.22594999999999998,NO
0.4371,YES
0.4748,YES
0.49705,YES
0.19415,YES
0.14650000000000002,NO
0.28864999999999996,YES
0.0963,NO
0.22194999999999998,NO
0.03845,NO
0.13765,NO
0.2121,NO
0.29235,NO
0.09615,NO
0.1492,NO
0.2502,NO
0.22755000000000003,NO
0.49895,YES
0.0914,NO
0.18415,YES
0.2776,NO
0.16705,NO
0.36535,NO
0.0549,NO
0.17575,NO
0.09575,NO
0.14535,NO
0.1406,NO
0.13,NO
0.5169,YES
0.4747,YES
0.38995,YES
0.19375,YES
0.1553,NO
0.26015,YES
0.0584,NO
0.06135,NO
0.045700000000000005,NO
0.11900000000000001,NO
0.3043,NO
0.35634999999999994,NO
0.18775,NO
0.04025,NO
0.0616,NO
0.07105,NO
0.52485,YES
0.11035,NO
0.26234999999999997,YES
0.19090000000000001,NO
0.3374,NO
0.20224999999999999,NO
0.15245,NO
0.21675,NO
0.1212,NO
0.11375,NO
0.0851,NO
0.19090000000000001,NO
0.5186,YES
0.47514999999999996,YES
0.42700000000000005,YES
0.13285000000000002,YES
0.08875000000000001,NO
0.2764,YES
0.0495,NO
0.05345,NO
0.02255,NO
0.43474999999999997,YES
0.10655,YES
0.10135,YES
0.46735000000000004,YES
0.13185,NO
0.19824999999999998,NO
0.5832999999999999,YES
0.0637,NO
0.32945,YES
0.06294999999999999,NO
0.16155,NO
0.0998,NO
0.0887,NO
0.0901,NO
0.06465,YES
0.10375,NO
0.13845,YES
0.12645,NO
0.07604999999999999,YES
0.11854999999999999,NO
0.045,NO
0.32125000000000004,NO
0.06,NO
0.40495,YES
0.2508,NO
0.18405,YES
0.09495,NO
0.11235,NO
0.48475,YES
0.1278,NO
0.08175,NO
0.70795,YES
0.09135,NO
0.05485,NO
0.7674,YES
0.1155,NO
0.52405,YES
0.10139999999999999,NO
0.31320000000000003,NO
0.23514999999999997,NO
0.1674,NO
0.11050000000000001,NO
0.10949999999999999,NO
0.0849,NO
0.34865,NO
0.09755,NO
0.16185,NO
0.09955,NO
0.1542,NO
0.56835,NO
0.09585,NO
0.5947,YES
0.46295,NO
0.3287,YES
0.1049,NO
0.0482,NO
0.47375,YES
0.3797,YES
0.2366,YES
0.59565,YES
0.06665,NO
0.1437,NO
0.63995,YES
0.3514,NO
0.5104,YES
0.21475,NO
0.22825,NO
0.33305,NO
0.2974,NO
0.027800000000000002,NO
0.46475,YES
0.0721,NO
0.62,YES
0.0662,NO
0.17565,YES
0.26985,NO
0.34555,NO
0.63175,NO
0.05775,NO
0.5065,YES
0.54295,NO
0.279,YES
0.0968,NO
0.1123,NO
0.37405,YES
0.1181,NO
0.08245,NO
0.63985,YES
0.23404999999999998,NO
0.0865,NO
0.6518999999999999,YES
0.1795,NO
0.4465,YES
0.0728,NO
0.2722,NO
0.1221,NO
0.10885,NO
0.13374999999999998,NO
0.1503,NO
0.1177,NO
0.33285,NO
0.1251,NO
0.18814999999999998,NO
0.1859,NO
0.17320000000000002,NO
