LOWERTRACED_SUM_SINGLE_LSA_MEDIAN.csv,Associated
0.09639736367107503,NO
0.09214736367107502,NO
0.3406877989517165,NO
0.34692748099552223,NO
0.27227748099552224,NO
0.3287877989517165,NO
0.08899736367107502,NO
0.09349736367107503,NO
0.3679377989517165,NO
0.3991017060640772,YES
0.3142877989517165,NO
0.44465170606407717,YES
0.24103482071574855,NO
0.23123482071574855,NO
0.23083482071574857,NO
0.11664736367107503,NO
0.2740274809955222,NO
0.11499736367107502,NO
0.2760774809955222,NO
0.16849736367107504,NO
0.2960774809955222,NO
0.31460170606407717,YES
0.3158517060640772,YES
0.3590517060640772,YES
0.3956517060640772,YES
0.3621377989517165,NO
0.3114517060640772,YES
0.3437377989517165,NO
0.10036489985768336,YES
0.16896489985768337,YES
0.4184991808115519,NO
0.357422005276129,NO
0.335872005276129,NO
0.3059991808115519,NO
0.24411489985768337,YES
0.09461489985768336,YES
0.3185991808115519,NO
0.1106812176750321,NO
0.2994491808115519,NO
0.1107812176750321,NO
0.14403445624631192,NO
0.13048445624631194,NO
0.13173445624631192,NO
0.18731489985768338,YES
0.316772005276129,NO
0.10306489985768336,YES
0.295522005276129,NO
0.21671489985768336,YES
0.299072005276129,NO
0.1184812176750321,NO
0.0963312176750321,NO
0.1196312176750321,NO
0.0979812176750321,NO
0.34554918081155195,NO
0.1138312176750321,NO
0.30079918081155194,NO
0.23233151792842516,NO
0.26473151792842514,NO
0.13795129820542193,NO
0.2531722465201846,NO
0.18552224652018462,NO
0.15470129820542194,NO
0.26128151792842513,NO
0.21348151792842515,NO
0.18075129820542193,NO
0.44708661529383176,YES
0.15155129820542193,NO
0.3191366152938318,YES
0.12358716026241799,NO
0.129487160262418,NO
0.127887160262418,NO
0.28398151792842513,NO
0.18657224652018461,NO
0.25143151792842516,NO
0.20727224652018464,NO
0.27578151792842515,NO
0.22002224652018465,NO
0.4416366152938318,YES
0.4309866152938318,YES
0.40103661529383183,YES
0.3069366152938318,YES
0.15435129820542193,NO
0.3147366152938318,YES
0.13395129820542193,NO
0.1121492016383769,YES
0.1376992016383769,YES
0.47507376861397477,NO
0.415982085459405,NO
0.40823208545940504,NO
0.37932376861397477,NO
0.2187492016383769,YES
0.1091492016383769,YES
0.3938237686139748,NO
0.11086148078725398,NO
0.37547376861397475,NO
0.10761148078725398,NO
0.18733520948314764,NO
0.17728520948314763,NO
0.17663520948314762,NO
0.1431492016383769,YES
0.379232085459405,NO
0.0880492016383769,YES
