NONETRACED_MAX_SINGLE_LSA_SUM.csv,Associated
0.36217485458251336,NO
0.397872902323865,NO
0.4728241854407937,NO
0.5498225444375655,NO
0.4371180836707221,NO
0.2811736945462062,NO
0.2010910421770733,NO
0.2992869694596866,NO
0.46016947213455167,NO
0.5479467037662964,YES
0.38869979397978976,NO
0.6001169002305962,YES
0.5696760428847722,NO
0.7571532148111622,NO
0.5542763710854179,NO
0.40278965117970883,NO
0.6420331192522633,NO
0.402245430417183,NO
0.44285521630185415,NO
0.5260550134632926,NO
0.4730506512025489,NO
0.4452708510939097,YES
0.6494310008029334,YES
0.512380205160704,YES
0.5141492633468705,YES
0.5052087893717889,NO
0.3105849375665732,YES
0.47742898926314964,NO
0.17617336311165288,YES
0.6544712242721045,YES
0.7674213534086183,NO
0.7024013537490188,NO
0.6002896212332725,NO
0.26618871300422625,NO
0.37106984276435334,YES
0.42602034937454375,YES
0.5544992094601924,NO
0.6137359144029304,NO
0.536551216332021,NO
0.6686051019648744,NO
0.6492817143596499,NO
0.4552425686445329,NO
0.6307115218957224,NO
0.6451843860746418,YES
0.2472424609295839,NO
0.5202404248485804,YES
0.5393703313211207,NO
0.7272801050089592,YES
0.544730021015994,NO
0.6051208908173835,NO
0.48232686341046666,NO
0.6068571283241735,NO
0.5124844976598282,NO
0.6572835046083338,NO
0.4479840135932331,NO
0.5897212190180292,NO
0.19123355657577584,NO
0.556880476297634,NO
0.05032202230390079,NO
0.4288508998548031,NO
0.45900175068557353,NO
0.18924833071801128,NO
0.12540255926087218,NO
0.48104170274627317,NO
0.08973298753200487,NO
0.17913710222461188,YES
0.12741756248181751,NO
0.0,YES
0.10459831653789975,NO
0.451447276683379,NO
0.1559715637863039,NO
0.06191937279896892,NO
0.5750443911728624,NO
0.16227792975515937,NO
0.09682299205097084,NO
0.08325140032763914,NO
0.22100038598881405,NO
0.7352031994045019,YES
0.7809126712630032,YES
0.22560652190243413,YES
0.582046539149532,YES
0.07508227892247055,NO
0.2932824758649912,YES
0.044282935323761846,NO
0.22845053675131693,YES
0.6664476469535161,YES
0.829269305622119,NO
0.708666906490913,NO
0.6896909077936573,NO
0.3316020074861275,NO
0.40189336894293365,YES
0.4994591760701977,YES
0.6405081309262499,NO
0.6058851013287498,NO
0.624382766546774,NO
0.6556965535448276,NO
0.7487229830245157,NO
0.6036196444564395,NO
0.7325684253526439,NO
0.6351230392756553,YES
0.3003835469883051,NO
0.5543938615349129,YES
0.5994065574405798,NO
0.7150586185223746,YES
0.6065779732294949,NO
0.6703658294572126,NO
0.5405161654859438,NO
0.6650061397623392,NO
0.589634274445906,NO
0.7420799873463628,NO
0.5179612679299612,NO
0.6761784506755963,NO
0.3420318824567587,NO
0.3117405369850478,NO
0.4569970967890647,YES
0.5621446755425821,YES
0.5311188661821182,YES
0.5148051645916083,YES
0.5313060045110143,NO
0.1938008858222463,NO
0.4194888189946296,YES
0.1463503092004132,NO
0.5068788629301759,YES
0.17917730064022047,NO
0.47284167682377726,NO
0.43798415817636965,NO
0.45540381316862594,NO
0.5303713068115534,NO
0.5990537479458513,YES
0.3846828215385755,NO
0.5818471968152854,YES
0.32958534427452985,NO
0.501904782915696,YES
0.34881392796917327,NO
0.4107242527944022,NO
0.41803696247901617,NO
0.29833508778291873,NO
0.4407162466184991,YES
0.5417234295517541,NO
0.41079005810284935,YES
0.2811751905871644,NO
0.3557517666783539,NO
0.33143783236125346,NO
0.6970637767691297,NO
0.33322830647620455,NO
0.2770418036163225,NO
0.3442074948967327,NO
0.17071333620402418,NO
0.44662541371296355,NO
0.8928062061025337,YES
0.26809109303221895,NO
0.7866435738057613,YES
0.5454782976664703,NO
0.6806161180317296,NO
0.584258896814684,NO
0.3475085400114772,NO
0.3042047430011182,NO
0.24423631008014685,NO
0.2640265239454524,NO
0.7411496343137938,NO
0.4304809287004196,NO
0.7096428682789937,YES
0.8495166009875652,YES
0.537004844641731,YES
0.47715092033519396,YES
0.4342047488418262,NO
0.48918332159026584,YES
0.4491994956374575,NO
0.32351363130527594,NO
0.4200960169333802,NO
0.3622347372082633,YES
0.5568443151432414,YES
0.5359246210950936,YES
0.2643788415910987,YES
0.370785451526321,NO
0.24259598314437303,NO
0.3908197045112121,YES
0.21923108187810647,NO
0.32292469326369944,YES
0.16142843466232215,NO
0.4515377359270682,NO
0.6609842180897358,NO
0.4608228321590318,NO
0.47135276767730955,NO
0.6363749386456696,YES
0.46810675842548494,NO
0.47954400179746254,YES
0.30521935592957017,NO
0.47441077786434455,YES
0.4362135527149656,NO
0.6334308837428517,NO
0.4497260098330265,NO
0.31281846523596846,NO
0.39182626341094423,YES
0.2841152594630458,NO
0.38163530413195973,YES
0.2133374900045763,NO
0.305601307482415,NO
0.461993043593988,NO
0.6286732480650785,NO
0.39903556182603933,NO
0.18246979987716277,NO
0.3343871439011365,NO
0.27729228800825517,NO
0.48746473941615326,NO
0.7388849766962418,YES
0.3979982316181064,NO
0.7521452894317175,YES
0.5856382260843944,NO
0.7017529224622159,NO
0.6102269708292816,NO
0.3469801199007149,NO
0.390823741772428,NO
0.26530149923490315,NO
0.3662735149587854,NO
0.7590404294924555,NO
0.37453752224938225,NO
0.5573068992049885,YES
0.6859328324130511,YES
0.4698200019876851,YES
0.4702500522820204,YES
0.4638047696880297,NO
0.2939066118565078,YES
0.39584600250324536,NO
0.34149469103736513,NO
0.687972960924609,NO
0.1657692794772661,NO
0.07845386339307767,NO
0.3568417042443635,NO
0.08352712272559892,NO
0.16251419151113372,NO
