LOWERTRACED_MAX_MULTI_VSM_MAX.csv,Associated
0.2852,NO
0.2852,NO
0.2323,NO
0.2804,NO
0.2804,NO
0.2323,NO
0.2852,NO
0.2852,NO
0.2323,NO
0.7677,YES
0.2323,NO
0.7677,YES
0.3555,NO
0.3555,NO
0.3555,NO
0.2852,NO
0.2804,NO
0.2852,NO
0.2804,NO
0.2852,NO
0.2804,NO
0.7677,YES
0.7677,YES
0.7677,YES
0.7677,YES
0.2323,NO
0.7677,YES
0.2323,NO
0.6914,YES
0.6914,YES
0.3362,NO
0.2796,NO
0.2796,NO
0.3034,NO
0.6914,YES
0.6914,YES
0.3034,NO
0.2425,NO
0.3034,NO
0.2425,NO
0.3148,NO
0.3148,NO
0.3148,NO
0.6914,YES
0.2796,NO
0.6914,YES
0.2796,NO
0.6914,YES
0.2796,NO
0.2425,NO
0.2425,NO
0.2425,NO
0.2425,NO
0.3034,NO
0.2425,NO
0.3034,NO
0.294,NO
0.294,NO
0.3753,NO
0.3765,NO
0.3765,NO
0.3753,NO
0.294,NO
0.294,NO
0.3753,NO
1.0,YES
0.3753,NO
1.0,YES
0.2728,NO
0.2728,NO
0.2728,NO
0.294,NO
0.3765,NO
0.294,NO
0.3765,NO
0.294,NO
0.3765,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3753,NO
1.0,YES
0.3753,NO
0.5161,YES
0.5161,YES
0.3559,NO
0.3559,NO
0.3559,NO
0.3559,NO
0.5161,YES
0.5161,YES
0.3559,NO
0.316,NO
0.3559,NO
0.316,NO
0.3845,NO
0.3845,NO
0.3845,NO
0.5161,YES
0.3559,NO
0.5161,YES
0.3559,NO
0.5161,YES
0.3559,NO
0.316,NO
0.316,NO
0.316,NO
0.316,NO
0.3559,NO
0.316,NO
0.3559,NO
0.2493,NO
0.2493,NO
0.6191,YES
0.7917,YES
0.7917,YES
0.6191,YES
0.2493,NO
0.2493,NO
0.6191,YES
0.254,NO
0.6191,YES
0.254,NO
0.3877,NO
0.3877,NO
0.3877,NO
0.2493,NO
0.7917,YES
0.2493,NO
0.7917,YES
0.2493,NO
0.7917,YES
0.254,NO
0.254,NO
0.254,NO
0.254,NO
0.6191,YES
0.254,NO
0.6191,YES
0.3331,NO
0.3331,NO
0.4528,NO
0.4528,NO
0.4528,NO
0.4528,NO
0.3331,NO
0.3331,NO
0.4528,NO
0.9481,YES
0.4528,NO
0.9481,YES
0.3166,NO
0.3166,NO
0.3166,NO
0.3331,NO
0.4528,NO
0.3331,NO
0.4528,NO
0.3331,NO
0.4528,NO
0.9481,YES
0.9481,YES
0.9481,YES
0.9481,YES
0.4528,NO
0.9481,YES
0.4528,NO
0.174,NO
0.174,NO
0.5253,YES
0.6115,YES
0.6115,YES
0.5253,YES
0.174,NO
0.174,NO
0.5253,YES
0.4608,NO
0.5253,YES
0.4608,NO
0.3335,NO
0.3335,NO
0.3335,NO
0.174,NO
0.6115,YES
0.174,NO
0.6115,YES
0.174,NO
0.6115,YES
0.4608,NO
0.4608,NO
0.4608,NO
0.4608,NO
0.5253,YES
0.4608,NO
0.5253,YES
0.3096,NO
0.3096,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.3096,NO
0.3096,NO
0.42700000000000005,NO
0.7607,YES
0.42700000000000005,NO
0.7607,YES
0.4316,NO
0.4316,NO
0.4316,NO
0.3096,NO
0.42700000000000005,NO
0.3096,NO
0.42700000000000005,NO
0.3096,NO
0.42700000000000005,NO
0.7607,YES
0.7607,YES
0.7607,YES
0.7607,YES
0.42700000000000005,NO
0.7607,YES
0.42700000000000005,NO
0.1871,NO
0.1871,NO
0.3905,NO
0.4156,NO
0.4156,NO
0.3905,NO
0.1871,NO
0.1871,NO
0.3905,NO
0.9199,YES
0.3905,NO
0.9199,YES
0.1331,NO
0.1069,NO
0.1069,NO
0.204,NO
0.4156,NO
0.1871,NO
0.4156,NO
0.1871,NO
0.4156,NO
0.9199,YES
0.9199,YES
0.9199,YES
0.9199,YES
0.3905,NO
0.9199,YES
0.3905,NO
0.307,NO
0.307,NO
0.4809,NO
0.4809,NO
0.4809,NO
0.4809,NO
0.307,NO
0.307,NO
0.4809,NO
0.8995,YES
0.4809,NO
0.8995,YES
0.3649,NO
0.3649,NO
0.3649,NO
0.307,NO
0.4809,NO
0.307,NO
0.4809,NO
0.307,NO
0.4809,NO
0.8995,YES
0.8995,YES
0.8995,YES
0.8995,YES
0.4809,NO
0.8995,YES
0.4809,NO
0.2562,NO
0.2562,NO
0.3649,NO
0.3847,NO
0.3847,NO
0.3649,NO
0.2562,NO
0.2562,NO
0.3649,NO
0.9475,YES
0.3649,NO
0.9475,YES
0.3435,NO
0.3435,NO
0.3435,NO
0.2562,NO
0.3847,NO
0.2562,NO
0.3847,NO
0.2562,NO
0.3847,NO
0.9475,YES
0.9475,YES
0.9475,YES
0.9475,YES
0.3649,NO
0.9475,YES
0.3649,NO
0.2734,NO
0.2734,NO
0.679,YES
0.5061,YES
0.5061,YES
0.679,YES
0.2734,NO
0.2734,NO
0.679,YES
0.5358,NO
0.679,YES
0.5358,NO
0.3885,NO
0.3885,NO
0.3885,NO
0.2734,NO
0.5061,YES
0.2734,NO
0.5061,YES
0.2734,NO
0.5061,YES
0.5358,NO
0.5358,NO
0.5358,NO
0.5358,NO
0.679,YES
0.5358,NO
0.679,YES
0.1799,NO
0.1547,NO
0.9027,YES
0.6395,NO
0.6395,NO
0.9027,YES
0.1827,NO
0.1097,NO
