LOWERTRACED_SUM_MULTI_VSM_MAX.csv,Associated
0.7245,NO
0.7245,NO
1.203,NO
1.0879,NO
1.0879,NO
1.203,NO
0.7245,NO
0.7245,NO
1.203,NO
1.6612,YES
1.203,NO
1.6612,YES
0.6908,NO
0.6908,NO
0.6908,NO
0.7245,NO
1.0879,NO
0.7245,NO
1.0879,NO
0.7245,NO
1.0879,NO
1.6612,YES
1.6612,YES
1.6612,YES
1.6612,YES
1.203,NO
1.6612,YES
1.203,NO
1.2684,YES
1.2684,YES
1.5528,NO
0.8796,NO
0.8796,NO
1.5528,NO
1.2684,YES
1.2684,YES
1.5528,NO
0.6594,NO
1.5528,NO
0.6594,NO
0.6158,NO
0.6158,NO
0.6158,NO
1.2684,YES
0.8796,NO
1.2684,YES
0.8796,NO
1.2684,YES
0.8796,NO
0.6594,NO
0.6594,NO
0.6594,NO
0.6594,NO
1.5528,NO
0.6594,NO
1.5528,NO
0.5251,NO
0.5251,NO
1.8258,NO
1.4097,NO
1.4097,NO
1.8258,NO
0.5251,NO
0.5251,NO
1.8258,NO
3.2675,YES
1.8258,NO
3.2675,YES
0.5173,NO
0.5173,NO
0.5173,NO
0.5251,NO
1.4097,NO
0.5251,NO
1.4097,NO
0.5251,NO
1.4097,NO
3.2675,YES
3.2675,YES
3.2675,YES
3.2675,YES
1.8258,NO
3.2675,YES
1.8258,NO
1.1082,YES
1.1082,YES
1.7236,NO
0.9093,NO
0.9093,NO
1.7236,NO
1.1082,YES
1.1082,YES
1.7236,NO
0.7866,NO
1.7236,NO
0.7866,NO
0.7512,NO
0.7512,NO
0.7512,NO
1.1082,YES
0.9093,NO
1.1082,YES
0.9093,NO
1.1082,YES
0.9093,NO
0.7866,NO
0.7866,NO
0.7866,NO
0.7866,NO
1.7236,NO
0.7866,NO
1.7236,NO
0.6156,NO
0.6156,NO
2.7645,YES
3.5184,YES
3.5184,YES
2.7645,YES
0.6156,NO
0.6156,NO
2.7645,YES
0.7886,NO
2.7645,YES
0.7886,NO
0.743,NO
0.743,NO
0.743,NO
0.6156,NO
3.5184,YES
0.6156,NO
3.5184,YES
0.6156,NO
3.5184,YES
0.7886,NO
0.7886,NO
0.7886,NO
0.7886,NO
2.7645,YES
0.7886,NO
2.7645,YES
0.8917,NO
0.8917,NO
1.9303,NO
1.4018,NO
1.4018,NO
1.9303,NO
0.8917,NO
0.8917,NO
1.9303,NO
3.1678,YES
1.9303,NO
3.1678,YES
0.627,NO
0.627,NO
0.627,NO
0.8917,NO
1.4018,NO
0.8917,NO
1.4018,NO
0.8917,NO
1.4018,NO
3.1678,YES
3.1678,YES
3.1678,YES
3.1678,YES
1.9303,NO
3.1678,YES
1.9303,NO
0.4584,NO
0.4584,NO
1.5573,YES
2.4901,YES
2.4901,YES
1.5573,YES
0.4584,NO
0.4584,NO
1.5573,YES
1.5433,NO
1.5573,YES
1.5433,NO
0.6443,NO
0.6443,NO
0.6443,NO
0.4584,NO
2.4901,YES
0.4584,NO
2.4901,YES
0.4584,NO
2.4901,YES
1.5433,NO
1.5433,NO
1.5433,NO
1.5433,NO
1.5573,YES
1.5433,NO
1.5573,YES
0.89,NO
0.89,NO
2.417,NO
1.2873,NO
1.2873,NO
2.417,NO
0.89,NO
0.89,NO
2.417,NO
1.9788,YES
2.417,NO
1.9788,YES
0.8334,NO
0.8334,NO
0.8334,NO
0.89,NO
1.2873,NO
0.89,NO
1.2873,NO
0.89,NO
1.2873,NO
1.9788,YES
