LOWERTRACED_SUM_SINGLE_VSM_MAX.csv,Associated
0.5874,NO
0.5874,NO
0.626,NO
0.7964,NO
0.7964,NO
0.626,NO
0.5874,NO
0.5874,NO
0.626,NO
1.8457,YES
0.626,NO
1.8457,YES
0.7092,NO
0.7092,NO
0.7092,NO
0.5874,NO
0.7964,NO
0.5874,NO
0.7964,NO
0.5874,NO
0.7964,NO
1.8457,YES
1.8457,YES
1.8457,YES
1.8457,YES
0.626,NO
1.8457,YES
0.626,NO
1.7552,YES
1.7552,YES
1.9224,NO
1.0186,NO
1.0186,NO
1.9224,NO
1.7552,YES
1.7552,YES
1.9224,NO
0.7462,NO
1.9224,NO
0.7462,NO
0.8153,NO
0.8153,NO
0.8153,NO
1.7552,YES
1.0186,NO
1.7552,YES
1.0186,NO
1.7552,YES
1.0186,NO
0.7462,NO
0.7462,NO
0.7462,NO
0.7462,NO
1.9224,NO
0.7462,NO
1.9224,NO
0.2516,NO
0.2516,NO
1.254,NO
1.0129,NO
1.0129,NO
1.254,NO
0.2516,NO
0.2516,NO
1.254,NO
3.1864,YES
1.254,NO
3.1864,YES
0.3534,NO
0.3534,NO
0.3534,NO
0.2516,NO
1.0129,NO
0.2516,NO
1.0129,NO
0.2516,NO
1.0129,NO
3.1864,YES
3.1864,YES
3.1864,YES
3.1864,YES
1.254,NO
3.1864,YES
1.254,NO
2.1222,YES
2.1222,YES
3.2328,NO
1.6673,NO
1.6673,NO
3.2328,NO
2.1222,YES
2.1222,YES
3.2328,NO
1.452,NO
3.2328,NO
1.452,NO
1.4397,NO
1.4397,NO
1.4397,NO
2.1222,YES
1.6673,NO
2.1222,YES
1.6673,NO
2.1222,YES
1.6673,NO
1.452,NO
1.452,NO
1.452,NO
1.452,NO
3.2328,NO
1.452,NO
3.2328,NO
0.2953,NO
0.2953,NO
2.7304,YES
4.3232,YES
4.3232,YES
2.7304,YES
0.2953,NO
0.2953,NO
2.7304,YES
0.3439,NO
2.7304,YES
0.3439,NO
0.7081,NO
0.7081,NO
0.7081,NO
0.2953,NO
4.3232,YES
0.2953,NO
4.3232,YES
0.2953,NO
4.3232,YES
0.3439,NO
0.3439,NO
0.3439,NO
0.3439,NO
2.7304,YES
0.3439,NO
2.7304,YES
0.6884,NO
0.6884,NO
1.4287,NO
1.048,NO
1.048,NO
1.4287,NO
0.6884,NO
0.6884,NO
1.4287,NO
3.2605,YES
1.4287,NO
3.2605,YES
0.4976,NO
0.4976,NO
0.4976,NO
0.6884,NO
1.048,NO
0.6884,NO
1.048,NO
0.6884,NO
1.048,NO
3.2605,YES
3.2605,YES
3.2605,YES
3.2605,YES
1.4287,NO
3.2605,YES
1.4287,NO
0.2299,NO
0.2299,NO
1.5181,YES
3.858,YES
3.858,YES
1.5181,YES
0.2299,NO
0.2299,NO
1.5181,YES
2.1831,NO
1.5181,YES
2.1831,NO
0.8351,NO
0.8351,NO
0.8351,NO
0.2299,NO
3.858,YES
0.2299,NO
3.858,YES
0.2299,NO
3.858,YES
2.1831,NO
2.1831,NO
2.1831,NO
2.1831,NO
1.5181,YES
2.1831,NO
1.5181,YES
0.6336,NO
0.6336,NO
2.0569,NO
0.723,NO
0.723,NO
2.0569,NO
0.6336,NO
0.6336,NO
2.0569,NO
2.1914,YES
2.0569,NO
2.1914,YES
