LOWERTRACED_SUM_SINGLE_VSM_SUM.csv,Associated
0.0973494684238891,NO
0.09596132804206883,NO
0.11030000163310634,NO
0.1547858181046168,NO
0.13040354057452685,NO
0.10641320856400961,NO
0.09493247105319028,NO
0.09640226675158821,NO
0.11920043114007152,NO
0.3311286397857365,YES
0.10167720020250519,NO
0.34600623846618656,YES
0.14484020054545757,NO
0.14163931213561318,NO
0.14150866362908893,NO
0.10396354906667975,NO
0.13097512779057047,NO
0.10342462397726718,NO
0.1316447013865073,NO
0.12089886172488691,NO
0.1381771267127203,NO
0.3035291427824866,YES
0.3039374193653749,YES
0.3180474580699949,YES
0.33000179641696475,YES
0.11730602779546977,NO
0.30250028579360805,YES
0.11129619649535381,NO
0.2935345320333807,YES
0.3159407509022913,YES
0.35823820488952035,NO
0.18151976875214346,NO
0.17448108046314897,NO
0.32149331242957235,NO
0.3404863390655366,YES
0.2916564597520945,YES
0.3256087403850865,NO
0.12849280616660955,NO
0.3193539431352376,NO
0.1285254682932406,NO
0.15187888883445205,NO
0.14745317067594274,NO
0.14786144725883105,NO
0.32193425113909174,YES
0.16824261427661558,NO
0.2944164094524195,YES
0.1613019123675143,NO
0.33153691636862476,YES
0.16246141786291707,NO
0.1310404520438326,NO
0.12380579099505169,NO
0.13141606650008983,NO
0.12434471608446428,NO
0.33441118351215854,NO
0.12952166315548808,NO
0.31979488184475696,NO
0.04494308624434537,NO
0.05552561527281043,NO
0.21591298809465487,NO
0.20159064556693287,NO
0.17949471690101745,NO
0.22138389430535826,NO
0.054398771904038676,NO
0.038786275374389625,NO
0.2298923782927507,NO
0.5844560939362762,YES
0.2203550373164797,NO
0.5426649029118287,YES
0.08057746639883724,NO
0.08250453187007008,NO
0.08198193784397302,NO
0.06181307464929042,NO
0.17983766923064362,NO
0.05118155243087877,NO
0.18659872944327408,NO
0.059134780265543085,NO
0.19076315058873486,NO
0.5826760080348832,YES
0.5791974915486748,YES
0.5694151846226708,YES
0.5386801234628387,YES
0.22126957686214951,NO
0.5412277693400618,YES
0.21460650302941228,NO
0.3572420100272729,YES
0.36558718338151,YES
0.5721424721963647,NO
0.2888148547351918,NO
0.2862835399212843,NO
0.5408684859471201,NO
0.3920598370159881,YES
0.3562621462283409,YES
0.5456044943086245,NO
0.24205902046282238,NO
0.5396109940718241,NO
0.24099750134731276,NO
0.26188493132787877,NO
0.25860238760145676,NO
0.2583900837783548,NO
0.36736726928290303,YES
0.27681152319827546,NO
0.3493704375091862,YES
0.26675158819590744,NO
0.3862786406022896,YES
0.26830303921088305,NO
0.24694200839416655,NO
0.24137311580357,NO
0.24578250289876377,NO
0.24370845785769116,NO
0.5532800940669248,NO
0.24857511472571983,NO
0.5390230757924649,NO
0.04943412865611681,NO
0.04159521826466121,NO
0.4582169745072102,YES
0.7500857380824065,YES
0.7433736710597229,YES
0.45864158215341405,YES
0.051099897114301115,NO
0.039733477046690516,NO
0.4696323877647674,YES
0.06832916891218788,NO
0.4569268205052831,YES
0.06911305995133343,NO
0.14038182026031717,NO
0.13660934463442917,NO
0.13660934463442917,NO
0.04695180703215587,NO
0.7332647428674082,YES
0.046690510019107345,NO
0.7543481456077605,YES
0.06075155553378081,NO
0.7370535495566117,YES
0.05407215063772802,NO
0.056603465451635554,NO
0.06904773569807131,NO
0.05361488086489312,NO
0.4632959351983408,YES
0.06129048062319338,NO
0.4572207796449627,YES
0.1270230104682116,NO
0.11376218705599923,NO
0.25496056048209303,NO
0.2027011578723891,NO
0.19282086456649197,NO
0.2504858491336371,NO
0.12930935933238616,NO
0.12181340127055672,NO
0.24651740074796272,NO
0.5876406512828051,YES
0.2484607972825111,NO
0.5692845361161466,YES
0.10309800271095651,NO
0.09932552708506852,NO
0.09823134584292784,NO
0.11062662289941701,NO
0.18452468440220146,NO
0.11074094034262572,NO
0.17820456289909042,NO
0.13478026554308953,NO
0.18165041725866773,NO
0.5855012819884703,YES
0.5808469289435436,YES
0.5674391259614914,YES
0.5691212254829913,YES
0.25905965737429165,NO
0.5504874822399687,YES
0.2386948214198227,NO
0.04301602077311254,NO
0.03957016641353519,NO
0.2547645877223066,YES
0.6789966194698936,YES
0.6607711528097596,YES
0.2590433263109761,YES
0.041382914441559296,NO
0.036793885649894664,NO
0.27107931997452356,YES
0.3883363545800467,NO
0.2546176081524668,YES
0.36973527346365526,NO
0.16254307317949476,NO
0.16775268237714963,NO
0.16455179396730524,NO
0.05065895840478173,NO
0.6561004687015173,YES
0.04995672268221384,NO
0.6622736106347885,YES
0.05012003331536917,NO
0.6611630983293323,YES
0.3793706008198194,NO
0.38193457776035805,NO
