DIRECT_NA_NA_LSA_MAX.csv,Associated
0.6518393393393394,NO
0.6923798798798799,NO
0.5423235735735736,NO
0.8158783783783785,NO
0.7836899399399401,NO
0.7549737237237237,NO
0.7535660660660661,NO
0.3734984984984985,NO
0.6150525525525526,NO
0.5526463963963965,YES
0.6582207207207208,NO
0.5635322822822824,YES
0.756662912912913,NO
0.8577327327327329,NO
0.7432432432432433,NO
0.6789602102102102,NO
0.8747184684684686,NO
0.5831456456456456,NO
0.6568130630630632,NO
0.4644331831831832,NO
0.7489677177177179,NO
0.5339714714714715,YES
0.6623498498498499,YES
0.4610548048048049,YES
0.6301614114114115,YES
0.686936936936937,NO
0.6780217717717718,YES
0.5113551051051052,NO
0.3357732732732733,YES
0.6951951951951952,YES
0.6878753753753755,NO
0.7672672672672673,NO
0.7211899399399401,NO
0.5392267267267268,NO
0.4706268768768769,YES
0.4901463963963965,YES
0.6724849849849851,NO
0.8309872372372373,NO
0.7076764264264265,NO
0.8535097597597598,NO
0.6800863363363364,NO
0.3561373873873874,NO
0.5594969969969971,NO
0.5895270270270271,YES
0.5137950450450451,NO
0.4352477477477478,YES
0.7200638138138139,NO
0.7279466966966968,YES
0.6595345345345346,NO
0.7786223723723724,NO
0.5063813813813814,NO
0.7947635135135136,NO
0.7510322822822824,NO
0.7509384384384385,NO
0.5460773273273274,NO
0.7889451951951952,NO
0.7752439939939941,NO
0.7735548048048049,NO
0.3926426426426427,NO
0.6905968468468469,NO
0.8755630630630632,NO
0.7316066066066067,NO
0.718280780780781,NO
0.6829954954954955,NO
0.38044294294294295,NO
0.5711336336336337,YES
0.7796546546546547,NO
0.5074136636636637,YES
0.4243618618618619,NO
0.5935623123123124,NO
0.4091591591591592,NO
0.4275525525525526,NO
0.8553866366366367,NO
0.4764451951951953,NO
0.3882319819819821,NO
0.2101163663663664,NO
0.4752252252252253,NO
0.8189752252252254,YES
0.8384947447447448,YES
0.429147897897898,YES
0.809590840840841,YES
0.6786786786786788,NO
0.6707957957957958,YES
0.35163288288288297,NO
0.4590840840840841,YES
0.624436936936937,YES
0.6553115615615617,NO
0.7384572072072073,NO
0.6944444444444445,NO
0.5937500000000001,NO
0.4797297297297298,YES
0.5608108108108109,YES
0.8697447447447448,NO
0.9024024024024024,NO
0.7242867867867869,NO
0.8436561561561563,NO
0.8071509009009009,NO
0.5640015015015016,NO
0.6776463963963966,NO
0.5268393393393394,YES
0.5726351351351352,NO
0.4982169669669671,YES
0.6875000000000001,NO
0.6550300300300301,YES
0.7281343843843845,NO
0.8336148648648649,NO
0.6409534534534536,NO
0.7825638138138139,NO
0.7211899399399401,NO
0.7279466966966968,NO
0.6413288288288289,NO
0.8870120120120122,NO
0.6175863363363364,NO
0.6626313813813814,NO
0.8933933933933935,YES
0.5434496996996998,YES
0.5930930930930931,YES
0.8478791291291293,YES
0.7536599099099099,NO
0.4349662162162163,NO
0.5115427927927929,YES
0.32357357357357364,NO
0.8554804804804806,YES
0.3947072072072073,NO
0.5187687687687688,NO
0.4842342342342343,NO
0.365427927927928,NO
0.7571321321321323,NO
0.6870307807807808,YES
0.6693881381381382,NO
0.6570945945945947,YES
0.3337087087087087,NO
0.7008258258258259,YES
0.5671921921921923,NO
0.5498310810810811,NO
0.7782469969969971,NO
0.6323198198198199,NO
0.8553866366366367,YES
0.8459084084084084,NO
0.6280030030030029,YES
0.8098723723723724,NO
0.7322635135135136,NO
0.5777027027027029,NO
0.8277965465465467,NO
0.7078641141141142,NO
0.8103415915915917,NO
0.8805367867867869,NO
0.5233671171171173,NO
0.4812312312312313,NO
0.8934872372372373,YES
0.6817755255255256,NO
0.8664602102102102,YES
0.6041666666666667,NO
0.7759947447447448,NO
0.5137950450450451,NO
0.6899399399399401,NO
0.9347785285285286,NO
0.6310060060060061,NO
0.3959271771771773,NO
0.5643768768768771,NO
0.6431118618618619,NO
0.719406906906907,YES
0.9662162162162165,YES
0.6570007507507509,YES
0.7478415915915917,YES
0.8113738738738739,NO
0.8410285285285286,YES
0.4978415915915917,NO
0.5383821321321323,NO
0.7113363363363364,NO
0.4891141141141142,YES
0.5935623123123124,YES
0.7112424924924926,YES
