LOWERTRACED_RFUNDER_MULTI_LSA_MAX.csv,Associated
0.0737,NO
0.0652,NO
0.1144,NO
0.2164,NO
0.0671,NO
0.0906,NO
0.0589,NO
0.0679,NO
0.1689,NO
0.2469,YES
0.06387394872243359,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.0706,NO
0.1109,NO
0.0747,NO
0.2179,NO
0.1147,NO
0.0779,YES
0.0804,YES
0.1668,YES
0.24,YES
0.1573,NO
0.0716,YES
0.1205,NO
0.1072,YES
0.2444,YES
0.5353535353535355,NO
0.6363636363636365,NO
0.6363636363636365,NO
0.5353535353535355,NO
0.3947,YES
0.0957,YES
0.5353535353535355,NO
0.1056,NO
0.5353535353535355,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.6363636363636365,NO
0.1126,YES
0.6363636363636365,NO
0.3399,YES
0.6363636363636365,NO
0.1212,NO
0.0769,NO
0.1235,NO
0.0802,NO
0.5353535353535355,NO
0.1119,NO
0.5353535353535355,NO
0.17171717171717174,NO
0.17171717171717174,NO
0.1331,NO
0.2865,NO
0.1512,NO
0.1666,NO
0.17171717171717174,NO
0.17171717171717174,NO
0.2187,NO
0.5252525252525253,YES
0.1603,NO
0.5252525252525253,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.17171717171717174,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.5252525252525253,YES
0.5252525252525253,YES
0.5252525252525253,YES
0.5252525252525253,YES
0.1659,NO
0.5252525252525253,YES
0.1251,NO
0.1303,YES
0.1814,YES
0.7474747474747475,NO
0.9191919191919192,NO
0.9191919191919192,NO
0.7474747474747475,NO
0.3435,YES
0.1243,YES
0.7474747474747475,NO
0.0952,NO
0.7474747474747475,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.9191919191919192,NO
0.0821,YES
0.9191919191919192,NO
0.3081,YES
0.9191919191919192,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.7474747474747475,NO
0.1351,NO
0.7474747474747475,NO
0.0724,NO
0.0244,NO
0.9696969696969696,YES
0.3348,YES
0.2937,YES
0.9696969696969696,YES
0.0826,NO
0.013000000000000001,NO
0.9696969696969696,YES
0.6565656565656567,NO
0.9696969696969696,YES
0.6565656565656567,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.2318,YES
0.0556,NO
0.3609,YES
0.1417,NO
0.255,YES
0.6565656565656567,NO
0.6565656565656567,NO
0.6565656565656567,NO
0.6565656565656567,NO
0.9696969696969696,YES
0.6565656565656567,NO
0.9696969696969696,YES
0.3232323232323233,NO
0.3232323232323233,NO
0.1975,NO
0.9797979797979798,NO
0.9797979797979798,NO
0.1701,NO
0.3232323232323233,NO
0.3232323232323233,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.3232323232323233,NO
0.9797979797979798,NO
0.3232323232323233,NO
0.9797979797979798,NO
0.3232323232323233,NO
0.9797979797979798,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.2226,NO
0.21212121212121213,YES
0.0979,NO
0.0985,NO
0.0774,NO
0.1069,YES
0.5656565656565657,YES
0.5656565656565657,YES
0.1331,YES
0.0885,NO
0.0604,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.5656565656565657,YES
0.141,NO
0.5656565656565657,YES
0.142,NO
0.5656565656565657,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.1415,NO
0.0745,NO
0.6464646464646465,NO
0.9696969696969696,NO
0.9696969696969696,NO
0.6464646464646465,NO
0.1653,NO
0.1536,NO
0.6464646464646465,NO
0.1989,YES
0.6464646464646465,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0533,NO
0.9696969696969696,NO
0.055999999999999994,NO
0.9696969696969696,NO
0.2256,NO
0.9696969696969696,NO
0.1879,YES
0.1445,YES
0.1901,YES
0.3108,YES
0.6464646464646465,NO
0.1657,YES
0.6464646464646465,NO
0.12121212121212123,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.1436,NO
0.2079,NO
0.1339,NO
0.12121212121212123,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.193,NO
0.2673,YES
0.1726,NO
0.1439,NO
0.0769,NO
0.2929292929292929,NO
0.9797979797979798,NO
0.9797979797979798,NO
0.2929292929292929,NO
0.1684,NO
0.1204,NO
0.2929292929292929,NO
0.3579,YES
0.2929292929292929,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.07517345168860322,NO
0.9797979797979798,NO
0.07517345168860322,NO
0.9797979797979798,NO
0.1912,NO
0.9797979797979798,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.2675,YES
0.2929292929292929,NO
0.2003,YES
0.2929292929292929,NO
0.0727,NO
0.0714,NO
0.10800000000000001,NO
0.2886,NO
0.1427,NO
0.0855,NO
0.0605,NO
0.0532,NO
0.1421,NO
0.4397,YES
0.0607,NO
0.4343434343434344,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.1035,NO
0.0824,NO
0.0975,NO
0.1702,NO
0.1518,NO
0.4343434343434344,YES
0.4343434343434344,YES
0.4343434343434344,YES
0.4343434343434344,YES
0.1375,NO
0.4343434343434344,YES
0.099,NO
0.1069,NO
0.0451,NO
0.686868686868687,YES
0.6464646464646465,YES
