NONETRACED_SUM_RAW_VSM_MAX.csv,Associated
0.5387,NO
0.1933,NO
0.5079,NO
0.5994,NO
0.4388,NO
0.6185,NO
0.5216,NO
0.2447,NO
0.5881,NO
0.5456,YES
0.4213,NO
0.3624,YES
0.498,NO
0.6005,NO
0.2647,NO
0.3371,NO
0.5554,NO
0.3607,NO
0.4991,NO
0.3243,NO
0.506,NO
0.4525,YES
0.6645,YES
0.5877,YES
0.3581,YES
0.5444,NO
0.5446,YES
0.457,NO
0.5249,YES
0.2444,YES
0.5195,NO
0.5166,NO
0.3799,NO
0.6008,NO
0.5383,YES
0.2495,YES
0.5737,NO
0.3916,NO
0.4168,NO
0.2672,NO
0.4717,NO
0.556,NO
0.2477,NO
0.3722,YES
0.4898,NO
0.3668,YES
0.4587,NO
0.3687,YES
0.4366,NO
0.3478,NO
0.5186,NO
0.5014,NO
0.2832,NO
0.5371,NO
0.5006,NO
0.4441,NO
0.6653,NO
0.2588,NO
0.6987,NO
0.8396,NO
0.6153,NO
0.8663,NO
0.69,NO
0.2776,NO
0.7929,NO
0.8781,YES
0.6083,NO
0.5107,YES
0.6218,NO
0.7684,NO
0.2913,NO
0.439,NO
0.7646,NO
0.4277,NO
0.7096,NO
0.359,NO
0.7013,NO
0.7663,YES
1.0511,YES
0.9372,YES
0.5057,YES
0.7477,NO
0.8146,YES
0.62,NO
0.55,YES
0.2086,YES
0.5372,NO
0.5456,NO
0.4025,NO
0.6382,NO
0.5441,YES
0.2633,YES
0.6226,NO
0.4244,NO
0.4437,NO
0.2893,NO
0.5129,NO
0.5905,NO
0.2772,NO
0.3533,YES
0.5163,NO
0.3703,YES
0.4771,NO
0.3694,YES
0.4539,NO
0.3724,NO
0.5573,NO
0.5319,NO
0.3058,NO
0.5671,NO
0.5273,NO
0.4815,NO
0.7193,NO
0.2621,NO
0.7916,YES
0.9403,YES
0.7604,YES
0.9751,YES
0.7129,NO
0.299,NO
0.9415,YES
0.5934,NO
0.7032,YES
0.3967,NO
0.7082,NO
0.8370000000000001,NO
0.3678,NO
0.4174,NO
0.8931,YES
0.4399,NO
0.9525,YES
0.4124,NO
0.8646,YES
0.528,NO
0.8126,NO
0.8189,NO
0.4266,NO
0.8534,YES
0.8004,NO
0.7076,YES
0.7507,NO
0.2586,NO
0.725,NO
0.861,NO
0.6267,NO
0.8903,NO
0.7190000000000001,NO
0.3433,NO
0.8062,NO
0.8701,YES
0.6154,NO
0.5267,YES
0.6576,NO
0.8063,NO
0.3203,NO
0.4483,NO
0.7783,NO
0.4948,NO
0.7004,NO
0.4296,NO
0.6991,NO
0.7498,YES
1.0468,YES
0.9231,YES
0.5203,YES
0.7804,NO
0.8179,YES
0.6337,NO
0.5884,NO
0.2168,NO
0.5902,YES
0.7929999999999999,YES
0.6169,YES
0.7398,YES
0.5831,NO
0.2453,NO
0.7026,YES
0.6242,NO
0.5124,YES
0.3851,NO
0.5648,NO
0.6883,NO
0.2999,NO
0.3532,NO
0.7215,YES
0.3669,NO
0.7104,YES
0.3269,NO
0.6814,YES
0.5328,NO
0.7889,NO
0.7038,NO
0.3824,NO
0.6457,YES
0.6454,NO
0.5407,YES
0.7073,NO
0.2501,NO
0.7246,NO
0.7517,NO
0.5592,NO
0.8835,NO
0.6821,NO
0.3269,NO
0.8473,NO
0.6694,YES
0.6309,NO
0.4421,YES
0.669,NO
0.7763,NO
0.3407,NO
0.4143,NO
0.7139,NO
0.4572,NO
0.6763,NO
0.4217,NO
0.6432,NO
0.586,YES
0.8406,YES
0.8065,YES
0.4626,YES
0.7737,NO
0.7601,YES
0.6528,NO
0.6269,NO
0.24,NO
0.7386,NO
0.7473,NO
0.5654,NO
0.9057,NO
0.649,NO
0.2639,NO
0.8257,NO
0.7683,YES
0.6711,NO
0.4467,YES
0.5697,NO
0.6979,NO
0.2272,NO
0.4049,NO
0.7212,NO
0.4026,NO
0.7307,NO
0.3205,NO
0.6816,NO
0.7069,YES
0.9459,YES
0.9404,YES
0.4753,YES
0.7738,NO
0.8402,YES
0.6308,NO
0.75,NO
0.2633,NO
0.7451,NO
0.8594,NO
0.6306,NO
0.9205,NO
0.7256,NO
0.34,NO
0.8523,NO
0.8488,YES
0.6432,NO
0.5156,YES
0.6827,NO
0.8214,NO
0.3368,NO
0.4434,NO
0.7864,NO
0.4855,NO
0.7205,NO
0.4266,NO
0.7062,NO
0.7381,YES
1.0326,YES
0.9287,YES
0.5176,YES
0.8033,NO
0.8319,YES
0.6653,NO
0.6341,NO
0.2298,NO
0.6051,NO
0.7838,NO
0.5691,NO
0.7438,NO
0.6264,NO
0.27699999999999997,NO
0.6793,NO
0.7982,YES
0.5054,NO
0.4676,YES
0.5770000000000001,NO
0.7143,NO
0.2909,NO
0.3972,NO
0.6981,NO
0.4152,NO
0.6188,NO
0.3544,NO
0.6359,NO
0.6779999999999999,YES
0.9497,YES
0.8091,YES
0.4505,YES
0.6491,NO
0.701,YES
0.5383,NO
0.7513,NO
0.2773,NO
0.9209,YES
0.7722,YES
0.6065,YES
1.1099,YES
0.7527,NO
0.3361,NO
1.083,YES
0.5736,NO
0.8409,YES
0.3897,NO
0.7517,NO
0.8364,NO
0.3508,NO
0.4404,NO
0.7925,YES
0.4716,NO
0.861,YES
0.4454,NO
0.742,YES
0.5593,NO
0.7936,NO
0.9215,NO
0.4648,NO
0.9631,YES
0.9109,NO
0.8111,YES
0.7494,NO
0.2965,NO
0.9931,YES
0.8140000000000001,NO
0.6526,NO
1.2411,YES
0.7864,NO
0.3078,NO
1.2621,YES
0.5953,NO
0.9544,YES
0.4074,NO
0.8437,NO
0.9116,NO
0.3971,NO
0.4331,NO
0.8672,NO
0.4315,NO
0.9681,NO
0.4009,NO
0.8256,NO
0.5908,NO
0.8335,NO
1.0104,NO
0.5011,NO
1.058,YES
1.005,NO
0.9278,YES
0.9488,NO
0.3492,NO
1.0792,YES
1.1176,YES
0.8726,YES
1.3309,YES
0.948,NO
0.4079,NO
1.291,YES
0.8958,NO
0.9789,YES
0.5691,NO
0.9362,NO
1.0849,NO
0.4503,NO
0.5546,NO
1.0863,YES
0.5863,NO
1.1264,YES
0.5245,NO
1.0249,YES
0.8191,NO
1.1686,NO
1.196,NO
0.6228,NO
1.151,YES
1.1329,NO
0.9782,YES
0.62,NO
0.253,NO
0.8942,YES
0.6787,NO
0.5546,NO
1.1064,YES
0.6656,NO
0.2521,NO
1.1158,YES
0.5158,NO
0.8779,YES
0.3454,NO
0.7013,NO
0.7491,NO
0.3016,NO
0.3615,NO
0.7373,NO
0.3513,NO
0.8592,NO
0.3206,NO
0.7092,NO
0.5373,NO
0.7267,NO
0.925,NO
0.4431,NO
0.9409,YES
0.9096,NO
0.8256,YES
0.3954,NO
0.1426,NO
0.3916,YES
0.4971,YES
0.3896,YES
0.4839,YES
0.3845,NO
0.1672,NO
0.4758,YES
0.3416,NO
0.3343,YES
0.2266,NO
0.3887,NO
0.4649,NO
0.2161,NO
0.2345,NO
0.4661,YES
0.2511,NO
0.4674,YES
0.2269,NO
0.4434,YES
0.2866,NO
0.4504,NO
0.4179,NO
0.2302,NO
0.4228,YES
0.4037,NO
0.3605,YES
0.6856,YES
0.1959,YES
0.5744,NO
0.5584,NO
0.4102,NO
0.6682,NO
0.5513,YES
0.3732,YES
0.6508,NO
0.4388,NO
0.4686,NO
0.3015,NO
0.5447,NO
0.6277,NO
0.295,NO
0.3455,YES
0.5347,NO
0.4941,YES
0.4843,NO
0.431,YES
0.4621,NO
0.3767,NO
0.5797,NO
0.5505,NO
0.3171,NO
0.5992,NO
0.551,NO
0.5076,NO
0.7619,NO
0.3081,NO
1.0118,YES
0.8165,YES
0.6538,YES
1.2745,YES
0.8029999999999999,NO
0.318,NO
1.3227,YES
0.6048,NO
0.9878,YES
0.4154,NO
0.8836,NO
0.9309999999999999,NO
0.4224,NO
0.4325,NO
0.8697,YES
0.4287,NO
0.9613,YES
0.4098,NO
0.8137,YES
0.6067,NO
0.8489,NO
1.0281,NO
0.5151,NO
1.0865,YES
1.0257,NO
0.9812,YES
0.8039,NO
0.2921,NO
0.9051,YES
0.8904,YES
0.6882,YES
1.1071,YES
0.7923,NO
0.3617,NO
1.0709,YES
0.7290000000000001,NO
0.8173,YES
0.4671,NO
0.7778,NO
0.8896,NO
0.3738,NO
0.4648,NO
0.8662,YES
0.5043,NO
0.8856,YES
0.4631,NO
0.8012,YES
0.6729999999999999,NO
0.9529,NO
0.983,NO
0.5163,NO
0.9627,YES
0.9368,NO
0.8151,YES
0.6692,NO
0.2555,NO
0.8737,YES
0.7125,YES
0.5705,YES
1.0574,YES
0.685,NO
0.2901,NO
1.0269,YES
0.5539999999999999,NO
0.8182,YES
0.3644,NO
0.6653,NO
0.7489,NO
0.2823,NO
0.4032,NO
0.7475,YES
0.4185,NO
0.8423,YES
0.3686,NO
0.7177,YES
0.5521,NO
0.7612,NO
0.9088,NO
0.4432,NO
0.9086,YES
0.8856,NO
0.7655,YES
0.7026,NO
0.29,NO
0.9699,YES
0.7604,YES
0.6162,YES
1.2207,YES
0.7512,NO
0.2894,NO
1.2759,YES
0.5549,NO
0.9592,YES
0.3818,NO
0.8346,NO
0.8687,NO
0.3924,NO
0.3969,NO
0.8190000000000001,YES
0.3866,NO
0.9234,YES
0.3722,NO
0.7701,YES
0.5697,NO
0.7885,NO
0.9816,NO
0.4855,NO
1.0386,YES
0.9811,NO
0.9492,YES
0.5776,NO
0.2128,NO
0.5741,YES
0.7564,YES
0.5934,YES
0.7139,YES
0.5672,NO
0.2428,NO
0.6891,YES
0.5538,NO
0.4957,YES
0.3553,NO
0.5569,NO
0.6741,NO
0.3021,NO
0.3492,NO
0.6987,YES
0.3663,NO
0.6963,YES
0.3258,NO
0.6645,YES
0.4673,NO
0.7139,NO
0.6483,NO
0.3551,NO
0.624,YES
0.6104,NO
0.5264,YES
0.6637,NO
0.248,NO
0.8068,YES
0.8915,YES
0.7354,YES
0.9892,YES
0.6719,NO
0.2686,NO
0.9420000000000001,YES
