LOWERTRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.25715,NO
0.2529,NO
0.4496,NO
0.44555,NO
0.3709,NO
0.43770000000000003,NO
0.24975,NO
0.25425,NO
0.47685,NO
0.59075,YES
0.4232,NO
0.6363,YES
0.3201,NO
0.3103,NO
0.3099,NO
0.2774,NO
0.37265,NO
0.27575,NO
0.3747,NO
0.32925,NO
0.3947,NO
0.50625,YES
0.5075,YES
0.5507,YES
0.5872999999999999,YES
0.47105,NO
0.5031,YES
0.45265,NO
0.4097,YES
0.47830000000000006,YES
0.6478,NO
0.3643,NO
0.34275,NO
0.5353,NO
0.55345,YES
0.40395000000000003,YES
0.5479,NO
0.27,NO
0.52875,NO
0.2701,NO
0.2699,NO
0.25634999999999997,NO
0.2576,NO
0.49665000000000004,YES
0.32365,NO
0.41240000000000004,YES
0.3024,NO
0.52605,YES
0.30595,NO
0.2778,NO
0.25565,NO
0.27895000000000003,NO
0.2573,NO
0.57485,NO
0.27315,NO
0.5301,NO
0.21485,NO
0.24725000000000003,NO
0.61445,NO
0.5609500000000001,NO
0.4933,NO
0.6312000000000001,NO
0.24380000000000002,NO
0.196,NO
0.6572500000000001,NO
1.097,YES
0.62805,NO
0.96905,YES
0.25795,NO
0.26385000000000003,NO
0.26225,NO
0.2665,NO
0.49435,NO
0.23395,NO
0.51505,NO
0.2583,NO
0.5278,NO
1.09155,YES
1.0809,YES
1.05095,YES
0.95685,YES
0.63085,NO
0.96465,YES
0.61045,NO
0.38125,YES
0.4068,YES
0.69015,NO
0.37585,NO
0.3681,NO
0.5944,NO
0.48785,YES
0.37825,YES
0.6089,NO
0.2966,NO
0.59055,NO
0.29335,NO
0.32830000000000004,NO
0.31825000000000003,NO
0.3176,NO
0.41225,YES
0.3391,NO
0.35714999999999997,YES
0.3083,NO
0.47014999999999996,YES
0.31305,NO
0.31155,NO
0.2945,NO
0.308,NO
0.30165,NO
0.6324,NO
0.31655,NO
0.58875,NO
0.22935,NO
0.20534999999999998,NO
0.8524,YES
1.1115,YES
1.09095,YES
0.8537,YES
0.23445,NO
0.19965,NO
0.88735,YES
0.31920000000000004,NO
0.84845,YES
0.3216,NO
0.32005,NO
0.3085,NO
0.3085,NO
0.22175,NO
1.06,YES
0.22094999999999998,NO
1.1245500000000002,YES
0.264,NO
1.0716,YES
0.27555,NO
0.2833,NO
0.3214,NO
0.27415,NO
0.86795,YES
