NONETRACED_RFUNDER_MULTI_LSA_SUM.csv,Associated
0.062167502987888805,NO
0.07805616799485696,NO
0.0678132105674184,NO
0.22232050015316976,NO
0.03618042102265618,NO
0.05189650039478963,NO
0.2572151581963075,NO
0.1769412647938249,NO
0.15819415020990726,NO
0.2103581583386907,YES
0.03250218968024196,NO
0.2712830447557697,YES
0.16440291842308505,NO
0.14050843728022297,NO
0.13997342181223546,NO
0.06767945670042153,NO
0.04930771587226936,NO
0.06547251789497299,NO
0.0628362723228732,NO
0.21253705197847858,NO
0.07880044354508153,NO
0.15126915161216556,YES
0.04507505317794873,YES
0.12442992807493666,YES
0.22731685428163384,YES
0.09650341503824927,NO
0.049976485207253764,YES
0.08267930568799106,NO
0.08457127570986628,YES
0.23025943935556528,YES
0.22693285124412665,NO
0.7117410007378034,NO
0.13280033136441885,NO
0.09803295522697167,NO
0.276842459517882,YES
0.05530722400321008,YES
0.10409934029141082,NO
0.6659777623409516,NO
0.06769887258434043,NO
0.14835461170389483,NO
0.1762034612049066,NO
0.12572000569532596,NO
0.1597517355642903,NO
0.22244346741798945,YES
0.07489353623651135,NO
0.15290224318178877,YES
0.65052056142107,NO
0.8658168262364682,YES
0.24537794096708362,NO
0.14786705728548685,NO
0.16138698445434896,NO
0.2788444528819643,NO
0.09887431019679077,NO
0.25879863139591575,NO
0.0769278894071252,NO
0.22051698026914723,NO
0.12606517696499533,NO
0.09389521463181011,NO
0.13425220801746565,NO
0.19369501529540184,NO
0.10321052427201222,NO
0.13508277638510757,NO
0.15400031928342442,NO
0.06849276650458,NO
0.1375658522062916,NO
0.4266403185930818,YES
0.10929632522037028,NO
0.16920942835323102,YES
0.1284037123170053,NO
0.13629519046982122,NO
0.13415512859787115,NO
0.14121603838304517,NO
0.40663980083617735,NO
0.076105950321225,NO
0.13230199034383375,NO
0.1086750169349654,NO
0.21407522144894273,NO
0.408564130664584,YES
0.39431934382941636,YES
0.2463940388921728,YES
0.22839767181978604,YES
0.11304143349628293,NO
0.12017784949669713,YES
0.24755467728643607,NO
0.0892332451708382,YES
0.16655376689721232,YES
0.21574498746596826,NO
0.24268129042279166,NO
0.15680915049035893,NO
0.08767565981645517,NO
0.2641746739210161,YES
0.074434026983764,YES
0.1286431748853384,NO
0.33542449594208024,NO
0.11488594246857861,NO
0.14770525825282932,NO
0.20910691248613922,NO
0.16330484232144937,NO
0.15164884000880186,NO
0.14148354611703895,YES
0.15038033559276692,NO
0.056998563224589995,YES
0.6269410490617813,NO
0.8445499613839641,YES
0.11553745324007955,NO
0.12890205333759044,NO
0.14924342772329344,NO
0.1457269954135368,NO
0.15880682921357042,NO
0.22479494669261202,NO
0.11401654233309891,NO
0.12326497503980258,NO
0.039724898498073515,NO
0.11548999219050002,NO
0.1391342241628518,YES
0.21520997199798073,YES
0.1877235523301218,YES
0.23795244402832133,YES
0.5103702393331291,NO
0.0,NO
0.13194818979242262,YES
