UPPERTRACED_RFUNDER_SINGLE_VSM_MEDIAN.csv,Associated
0.19185,NO
0.11760000000000001,NO
0.2422,NO
0.5831999999999999,NO
0.42855000000000004,NO
0.2803,NO
0.40945,NO
0.03395,NO
0.29945,NO
0.51345,YES
0.4058,NO
0.554,YES
0.24135,NO
0.24155,NO
0.11115,NO
0.0821,NO
0.5203,NO
0.06045,NO
0.53235,NO
0.10895,NO
0.48735,NO
0.43895,YES
0.3302,YES
0.34340000000000004,YES
0.54,YES
0.36865,NO
0.5008,YES
0.39525,NO
0.3086,YES
0.6172,YES
0.2581,NO
0.09395,NO
0.0574,NO
0.0556,NO
0.69735,YES
0.052849999999999994,YES
0.0682,NO
0.3678,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.08255,NO
0.64055,YES
0.0383,NO
0.32630000000000003,YES
0.02205,NO
0.56995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.1993,NO
0.1617,NO
0.25155,NO
0.61825,NO
0.4706,NO
0.31829999999999997,NO
0.45325,NO
0.02545,NO
0.32435,NO
0.6187,YES
0.45515,NO
0.48575,YES
0.22249999999999998,NO
0.2384,NO
0.1068,NO
0.12095,NO
0.56165,NO
0.0684,NO
0.59235,NO
0.08775,NO
0.5401,NO
0.6232500000000001,YES
0.5025999999999999,YES
0.44265,YES
0.50855,YES
0.37295,NO
0.56135,YES
0.39755,NO
0.32015,YES
0.5857,YES
0.25780000000000003,NO
0.09809999999999999,NO
0.07535,NO
0.07205,NO
0.6717500000000001,YES
0.06715,YES
0.08655,NO
0.36260000000000003,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10875,NO
0.59615,YES
0.04635,NO
0.31105000000000005,YES
0.02055,NO
0.55405,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0362,NO
0.027200000000000002,NO
0.5702,YES
0.4574,YES
0.59185,YES
0.3915,YES
0.1713,NO
0.006500000000000001,NO
0.60015,YES
0.06975,NO
0.47624999999999995,YES
0.08715,NO
0.24825000000000003,NO
0.2867,NO
0.3217,NO
0.0286,NO
0.5459,YES
0.0278,NO
0.65045,YES
0.33085,NO
0.6025,YES
0.30610000000000004,NO
0.46885,NO
0.56695,NO
0.0847,NO
0.47575,YES
0.5482,NO
0.55715,YES
0.23220000000000002,NO
0.12160000000000001,NO
0.28375,NO
0.6041,NO
0.49385,NO
0.32005,NO
0.4642,NO
0.06125,NO
0.2879,NO
0.5914,YES
0.45385,NO
0.5302,YES
0.21935,NO
0.2178,NO
0.08445,NO
0.052000000000000005,NO
0.55845,NO
0.03235,NO
0.5491,NO
0.10095,NO
0.49465,NO
0.59485,YES
0.4706,YES
0.39955,YES
0.5647,YES
0.4013,NO
0.5526500000000001,YES
0.38395,NO
0.04925,NO
0.0537,NO
0.55345,YES
0.47235,YES
0.57155,YES
0.38655,YES
0.17425000000000002,NO
0.0302,NO
0.5984,YES
0.1299,NO
0.46299999999999997,YES
0.08795,NO
0.25260000000000005,NO
0.31855,NO
0.34375,NO
0.07265,NO
0.54225,YES
0.0705,NO
0.60115,YES
0.331,NO
0.60275,YES
0.38245,NO
0.5453,NO
0.6064,NO
0.1116,NO
0.46305,YES
0.5558,NO
0.5563,YES
0.22575,NO
0.12225,NO
0.30405,NO
0.57,NO
0.47235000000000005,NO
0.33485,NO
0.46265,NO
0.0768,NO
0.31495,NO
0.48945,YES
0.47725,NO
0.50735,YES
0.24595,NO
0.2318,NO
0.10165,NO
0.05165,NO
0.5375,NO
0.032999999999999995,NO
0.55065,NO
0.1128,NO
0.47945,NO
0.49395,YES
0.36224999999999996,YES
0.35505,YES
0.5754,YES
0.41025,NO
0.5478500000000001,YES
0.40155,NO
0.20245,NO
0.15195,NO
0.297,NO
0.57335,NO
0.4668,NO
0.33895,NO
0.44695,NO
0.04835,NO
0.32489999999999997,NO
0.5614,YES
0.49219999999999997,NO
0.4718,YES
0.18655,NO
0.16675,NO
0.03235,NO
0.127,NO
0.55135,NO
0.08775000000000001,NO
0.65,NO
0.06545,NO
0.57095,NO
0.6021000000000001,YES
0.4548,YES
0.50705,YES
0.50915,YES
0.38649999999999995,NO
0.59865,YES
0.4213,NO
0.22694999999999999,NO
0.12345,NO
0.28265,NO
0.5921,NO
0.49735,NO
0.32615,NO
0.4642,NO
0.0602,NO
0.30255,NO
0.5689500000000001,YES
0.4664,NO
0.48915000000000003,YES
0.2326,NO
0.23205,NO
0.10035,NO
0.0499,NO
0.55575,NO
0.03075,NO
