UPPERTRACED_SUM_MULTI_LSA_SUM.csv,Associated
0.31676863962188545,NO
0.30944593747507065,NO
0.2524856817175289,NO
0.40697107859447995,NO
0.3410715306999167,NO
0.39807820161638324,NO
0.3791561609921893,NO
0.12964540578115877,NO
0.2001510139572309,NO
0.3342380513833079,YES
0.31570874111642294,NO
0.3454648714825124,YES
0.3131682666175811,NO
0.45017915730001457,NO
0.28204451613673726,NO
0.28012859420152936,NO
0.46032237051282066,NO
0.21646563843836478,NO
0.20751131092357952,NO
0.11728262202027909,NO
0.3444597593832382,NO
0.30844201539909993,YES
0.42721303498259094,YES
0.2925602208105241,YES
0.4175156540836295,YES
0.37273442123847067,NO
0.4005501775238514,YES
0.1755676882209213,NO
0.3283516960304209,YES
0.40714578534900836,YES
0.30772463960108837,NO
0.2148342156576948,NO
0.2920192135495827,NO
0.2382141742457339,NO
0.4897179705688254,YES
0.3206803878903626,YES
0.09792599338576549,NO
0.1807577751057977,NO
0.2472571627467229,NO
0.19118144139390947,NO
0.17347161517457085,NO
0.2465893400857523,NO
0.2058122353180982,NO
0.3304458409556806,YES
0.2619456841346929,NO
0.2500211406223196,YES
0.04182774659184766,NO
0.32298690522440493,YES
0.140082160908916,NO
0.2783730689906236,NO
0.24299258956905187,NO
0.11334090216488338,NO
0.2848242844882176,NO
0.2647635643991666,NO
0.25351034136625983,NO
0.07071502819370629,NO
0.3281397103792119,NO
0.3767565710855534,NO
0.2667567570975292,NO
0.46046853229170026,NO
0.4052532119543565,NO
0.45607829406986033,NO
0.446008899135934,NO
0.11667170089024939,NO
0.23815633769648306,NO
0.4948830442972151,YES
0.3910325453948203,NO
0.2412936527996226,YES
0.2843971681242115,NO
0.4453712548992658,NO
0.27540503186903664,NO
0.33942605714409746,NO
0.5234356290115385,NO
0.22859986830692117,NO
0.29909040427117495,NO
0.08492467570412868,NO
0.4249730456179992,NO
0.5897424637984642,YES
0.690350296534682,YES
0.4440473043896716,YES
0.3695129459872649,YES
0.37929758959504833,NO
0.4929687458937998,YES
0.17907822013257912,NO
0.345980671499833,YES
0.35906676134152066,YES
0.3072667441343504,NO
0.22116843628090346,NO
0.31941662564273837,NO
0.26332210900519964,NO
0.45064422407385135,YES
0.3425067384715395,YES
0.12593393276790513,NO
0.17282092034900612,NO
0.2764861567068304,NO
0.17813142059187712,NO
0.21101904344708497,NO
0.28947888213687617,NO
0.2458017727465482,NO
0.2626773118784599,YES
0.2742325458254953,NO
0.2267447877298058,YES
0.03953826925815777,NO
0.29871844548729215,YES
0.139624265442178,NO
0.2813493895244204,NO
0.25375313303739433,NO
0.10914352705311856,NO
0.3039795781800897,NO
0.2875057059138194,NO
0.27121563274679494,NO
0.0951361197530651,NO
0.47166958555299254,NO
0.366611608255152,NO
0.4429119924074247,YES
0.6986980606714399,YES
0.5692686342030293,YES
0.5301812095235356,YES
0.46425267747805676,NO
0.31359739327095376,NO
0.5064995148600832,YES
0.5919130804712318,NO
0.47009035237765884,YES
0.5737874841934093,NO
0.56745970244629,NO
0.5514315916591438,NO
0.46587741629450463,NO
0.3651793755417883,NO
0.6250652695906419,YES
0.376113558993769,NO
0.5106741081090554,YES
0.40493083605809715,NO
0.5853094357386921,YES
0.4323824707130662,NO
0.5223704674863463,NO
0.5159219267077966,NO
0.42347382592619626,NO
0.5863569183343533,YES
0.5244677461396389,NO
