NONETRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.05685,NO
0.1426,NO
0.1022,NO
0.3482,NO
0.058550000000000005,NO
0.0453,NO
0.03445,NO
0.49395,NO
0.08445,NO
0.25345,YES
0.23579999999999998,NO
0.384,YES
0.14635,NO
0.38155,NO
0.40115,NO
0.3671,NO
0.0353,NO
0.10545,NO
0.06235,NO
0.17895,NO
0.05735,NO
0.20895000000000002,YES
0.1102,YES
0.5134,YES
0.485,YES
0.07865,NO
0.0358,YES
0.13025,NO
0.2436,YES
0.1222,YES
0.1681,NO
0.08395000000000001,NO
0.3674,NO
0.060599999999999994,NO
0.29235,YES
0.05785,YES
0.0682,NO
0.3778,NO
0.08405000000000001,NO
0.0779,NO
0.17985,NO
0.0763,NO
0.08754999999999999,NO
0.29555,YES
0.0833,NO
0.1513,YES
0.23205,NO
0.21494999999999997,YES
0.0206,NO
0.1856,NO
0.03845,NO
0.07675,NO
0.0751,NO
0.09515,NO
0.10595,NO
0.0854,NO
0.3593,NO
0.1167,NO
0.53655,NO
0.24325,NO
0.2356,NO
0.2683,NO
0.24325000000000002,NO
0.02545,NO
0.29935,NO
0.30369999999999997,YES
0.17015,NO
0.14575,YES
0.1275,NO
0.2334,NO
0.3518,NO
0.19595,NO
0.12664999999999998,NO
0.0834,NO
0.19735000000000003,NO
0.11274999999999999,NO
0.2301,NO
0.31325000000000003,YES
0.3226,YES
0.28265,YES
0.26355,YES
0.27295,NO
0.23635,YES
0.06255,NO
0.56515,YES
0.09570000000000001,YES
0.1678,NO
0.0881,NO
0.30035,NO
0.07205,NO
0.29675,YES
0.06715,YES
0.08655,NO
0.2026,NO
0.0932,NO
0.06935,NO
0.19945000000000002,NO
0.5044000000000001,NO
0.23375,NO
0.21615,YES
0.04635,NO
0.09605,YES
0.02055,NO
0.20904999999999999,YES
0.0753,NO
0.35755,NO
0.0455,NO
0.059000000000000004,NO
0.06765,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0412,NO
0.0122,NO
0.3152,YES
0.26739999999999997,YES
0.25185,YES
0.4465,YES
0.0563,NO
0.4015,NO
0.23015,YES
0.42974999999999997,NO
0.13625,YES
0.20215,NO
0.18825,NO
0.18669999999999998,NO
0.2717,NO
0.09860000000000001,NO
0.1509,YES
0.3678,NO
0.25545,YES
0.07085,NO
0.2475,YES
0.0361,NO
0.19385,NO
0.26195,NO
0.0247,NO
0.42575,YES
0.0932,NO
0.08215,YES
0.17720000000000002,NO
0.1016,NO
0.34375,NO
0.23409999999999997,NO
0.28385,NO
0.20005,NO
0.3742,NO
0.28125,NO
0.1129,NO
0.26639999999999997,YES
0.22385,NO
0.2902,YES
