NONETRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.04748829787234043,NO
0.14962127659574467,NO
0.0572,NO
0.11883829787234043,NO
0.04418829787234043,NO
0.18359787234042554,NO
0.0720031914893617,NO
0.06586489361702128,NO
0.5631734042553191,NO
0.15536489361702127,YES
0.06271489361702128,NO
0.19027659574468084,YES
0.14262659574468084,NO
0.11155,NO
0.11115,NO
0.11029148936170213,NO
0.0353,NO
0.15119468085106386,NO
0.03735,NO
0.1515031914893617,NO
0.16373297872340425,NO
0.07086489361702128,YES
0.0402,YES
0.0834,YES
0.19446808510638297,YES
0.08928829787234042,NO
0.0358,YES
0.06025,NO
0.0536,YES
0.14347659574468086,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.07687659574468085,NO
0.19735,YES
0.06912659574468084,YES
0.11075319148936169,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.10821489361702127,NO
0.07755,NO
0.17246489361702128,YES
0.13404468085106386,NO
0.06693829787234043,YES
0.01705,NO
0.16995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0826531914893617,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.18259787234042554,NO
0.09797659574468086,NO
0.06655,NO
0.16452659574468084,NO
0.08623829787234043,NO
0.0833,NO
0.07325,NO
0.046726595744680854,NO
0.10935,NO
0.2287,YES
0.08015,NO
0.10075,YES
0.1025,NO
0.14031489361702126,NO
0.1068,NO
0.09595,NO
0.10856489361702126,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.24452659574468086,YES
0.24451489361702128,YES
0.18265,YES
0.10982659574468086,YES
0.08295,NO
0.10698829787234043,YES
0.06255,NO
0.09706489361702128,YES
0.0907,YES
0.1678,NO
0.0831,NO
0.07535,NO
0.09332659574468086,NO
0.18238829787234043,YES
0.07278829787234042,YES
0.23548617021276602,NO
0.0476,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1363148936170213,NO
0.10375,NO
0.09615,YES
0.14209468085106386,NO
0.04105,YES
0.01555,NO
0.15405,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.06328829787234043,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0787531914893617,NO
0.5122,NO
0.0702,YES
0.18867659574468085,YES
0.16812659574468086,YES
0.07150000000000001,YES
0.0413,NO
0.1767127659574468,NO
0.10515,YES
0.06975,NO
0.06625,YES
0.07215,NO
0.21463297872340426,NO
0.14989148936170213,NO
0.1818063829787234,NO
0.0286,NO
0.1159,YES
0.038438297872340425,NO
0.23364148936170212,YES
0.09212659574468085,NO
0.15941489361702127,YES
0.04737659574468085,NO
0.0764031914893617,NO
0.07195,NO
0.2693808510638298,NO
0.08575,YES
0.0482,NO
0.07778829787234043,YES
0.2793276595744681,NO
0.04723829787234043,NO
0.1413031914893617,NO
0.15037659574468085,NO
0.17331808510638297,NO
0.11696489361702128,NO
0.10547659574468085,NO
0.1463563829787234,NO
0.1154531914893617,NO
0.2014,YES
0.08948829787234043,NO
0.1452,YES
0.13126489361702126,NO
0.0878,NO
0.08445,NO
0.03763829787234043,NO
0.25430106382978723,NO
0.037988297872340426,NO
0.06473829787234042,NO
0.10095,NO
0.07528829787234043,NO
0.2054882978723404,YES
0.1806,YES
0.15018829787234042,YES
0.3042744680851064,YES
0.14321489361702128,NO
0.15147978723404254,YES
0.08086489361702127,NO
0.07052659574468086,NO
0.11316808510638299,NO
0.0960031914893617,YES
0.21426489361702128,YES
0.14782659574468085,YES
0.08782659574468085,YES
0.07616489361702128,NO
0.104668085106383,NO
0.1353148936170213,YES
0.1299,NO
0.053,YES
0.07295,NO
0.14451489361702127,NO
0.12855,NO
0.193218085106383,NO
0.16839468085106385,NO
0.11225,YES
0.11305319148936169,NO
0.15242659574468084,YES
0.09227659574468085,NO
0.18094148936170212,YES
0.20883297872340426,NO
0.16349148936170213,NO
0.1539531914893617,NO
0.06223829787234043,NO
0.11560319148936171,YES
0.07707659574468086,NO
0.08757659574468085,YES
0.13457978723404254,NO
0.058526595744680845,NO
0.2041563829787234,NO
0.095,NO
0.19437127659574466,NO
0.09985,NO
0.15711808510638298,NO
0.09807659574468085,NO
0.11058829787234042,NO
0.09945,YES
0.12352659574468085,NO
0.12235,YES
0.12595,NO
0.13371489361702127,NO
0.12292659574468086,NO
0.03728829787234043,NO
0.126968085106383,NO
0.10246808510638299,NO
0.2790542553191489,NO
0.1128,NO
0.04945,NO
0.09395,YES
0.07225,YES
0.10568829787234042,YES
0.21922978723404257,YES
0.15216489361702126,NO
0.2530627659574468,YES
0.08782659574468085,NO
0.11127978723404255,NO
0.07758829787234042,NO
0.11199999999999999,NO
0.09835,NO
0.11435319148936171,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.1714,YES
0.1172,NO
0.0868,YES
0.06655,NO
0.19632446808510637,NO
0.03235,NO
0.21902127659574466,NO
0.1089031914893617,NO
0.17849468085106385,NO
0.155,NO
0.06545,NO
0.14095,NO
0.21273829787234041,YES
0.21799148936170212,YES
0.24705,YES
0.08915,YES
0.0965,NO
0.13365,YES
0.0863,NO
0.07195,NO
0.09164148936170213,NO
0.15084148936170214,NO
0.13837659574468084,NO
0.24064787234042553,NO
0.09115,NO
0.19058297872340424,NO
0.11339148936170212,NO
0.14074148936170214,NO
0.17895,YES
0.0914,NO
0.10415,YES
0.1551531914893617,NO
0.10205,NO
0.10035,NO
