UPPERTRACED_RFUNDER_SINGLE_LSA_MAX.csv,Associated
0.11392405063291138,NO
0.0652,NO
0.1144,NO
0.2164,NO
0.18987341772151894,NO
0.10126582278481013,NO
0.3670886075949367,NO
0.0679,NO
0.1689,NO
0.2469,YES
0.0616,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.10126582278481013,NO
0.1109,NO
0.0747,NO
0.2179,NO
0.1147,NO
0.0779,YES
0.10126582278481013,YES
0.1668,YES
0.24,YES
0.1573,NO
0.4556962025316455,YES
0.1205,NO
0.1072,YES
0.2444,YES
0.3670886075949367,NO
0.1579,NO
0.6582278481012658,NO
0.1112,NO
0.3947,YES
0.10126582278481013,YES
0.1364,NO
0.1056,NO
0.430379746835443,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.13924050632911392,NO
0.1126,YES
0.20253164556962025,NO
0.3399,YES
0.12658227848101264,NO
0.1212,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.1008,NO
0.11392405063291138,NO
0.1534,NO
0.1331,NO
0.2865,NO
0.18987341772151894,NO
0.1666,NO
0.3670886075949367,NO
0.0509,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2015,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.1771,YES
0.1659,NO
0.4556962025316455,YES
0.1251,NO
0.1303,YES
0.1814,YES
0.3670886075949367,NO
0.1662,NO
0.6582278481012658,NO
0.1441,NO
0.3435,YES
0.1243,YES
0.1731,NO
0.0952,NO
0.430379746835443,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.13924050632911392,NO
0.0821,YES
0.20253164556962025,NO
0.3081,YES
0.12658227848101264,NO
0.1251,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.1328,NO
0.3924050632911392,NO
0.16455696202531644,NO
0.1404,YES
0.3348,YES
0.2937,YES
0.14300000000000002,YES
0.0826,NO
0.050632911392405056,NO
0.2103,YES
0.1395,NO
0.1325,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.20253164556962025,NO
0.2318,YES
0.18987341772151894,NO
0.3609,YES
0.1417,NO
0.255,YES
0.10126582278481013,NO
0.10126582278481013,NO
0.1439,NO
0.0494,NO
0.1715,YES
0.0964,NO
0.1343,YES
0.1544,NO
0.0732,NO
0.1975,NO
0.2582,NO
0.1977,NO
0.1701,NO
0.3670886075949367,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.054000000000000006,NO
0.1469,NO
0.0547,NO
0.1082,NO
0.2019,NO
0.1293,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.2226,NO
0.4556962025316455,YES
0.0979,NO
0.3924050632911392,NO
0.16455696202531644,NO
0.1069,YES
0.3647,YES
0.2531,YES
0.1331,YES
0.0885,NO
0.0604,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.20253164556962025,NO
0.2245,YES
0.18987341772151894,NO
0.2623,YES
0.142,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.1415,NO
0.0745,NO
0.2381,NO
0.19,NO
0.18987341772151894,NO
0.1997,NO
0.3670886075949367,NO
0.1536,NO
0.1999,NO
0.22784810126582275,YES
0.2045,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0533,NO
0.105,NO
0.055999999999999994,NO
0.1113,NO
0.2256,NO
0.0989,NO
0.1879,YES
0.1445,YES
0.1901,YES
0.3108,YES
0.2405,NO
0.4556962025316455,YES
0.1331,NO
0.11392405063291138,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.18987341772151894,NO
0.2079,NO
0.3670886075949367,NO
0.0967,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1331,NO
0.11392405063291138,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.193,NO
0.4556962025316455,YES
0.1726,NO
0.1439,NO
0.0769,NO
0.1953,NO
0.2342,NO
0.2047,NO
0.1823,NO
0.3670886075949367,NO
0.1204,NO
0.1751,NO
0.3579,YES
0.1828,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0498,NO
0.1415,NO
0.0515,NO
0.1207,NO
0.1912,NO
0.14,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.2675,YES
0.2206,NO
0.4556962025316455,YES
0.1168,NO
0.11392405063291138,NO
0.0714,NO
0.10800000000000001,NO
0.2886,NO
0.18987341772151894,NO
0.10126582278481013,NO
0.3670886075949367,NO
0.0532,NO
