UPPERTRACED_MAX_RAW_VSM_SUM.csv,Associated
0.18460338680926922,NO
0.07475490196078433,NO
0.34157754010695185,NO
0.4513146167557933,NO
0.15741978609625668,NO
0.34569964349376126,NO
0.20164884135472375,NO
0.0623885918003565,NO
0.3537210338680927,NO
0.6766934046345812,YES
0.2447638146167558,NO
0.6020499108734404,YES
0.3532754010695187,NO
0.36753565062388593,NO
0.2289438502673797,NO
0.2190285204991088,NO
0.22281639928698757,NO
0.21022727272727273,NO
0.20320855614973263,NO
0.25300802139037437,NO
0.27450980392156865,NO
0.43014705882352955,YES
0.5181595365418895,YES
0.5259581105169341,YES
0.4549910873440286,YES
0.34102049910873444,NO
0.39583333333333337,YES
0.22448752228163996,NO
0.5274064171122996,YES
0.40407754010695196,YES
0.4597816399286988,NO
0.23228609625668453,NO
0.12901069518716582,NO
0.17078877005347595,NO
0.7465463458110518,YES
0.4015151515151516,YES
0.14371657754010697,NO
0.12589126559714794,NO
0.10049019607843138,NO
0.10606060606060608,NO
0.22571301247771838,NO
0.2683823529411765,NO
0.1379233511586453,NO
0.6549688057041,YES
0.12678253119429592,NO
0.5059046345811054,YES
0.016822638146167565,NO
0.598596256684492,YES
0.053698752228163976,NO
0.15095811051693409,NO
0.13602941176470587,NO
0.14115418894830659,NO
0.07208110516934044,NO
0.2732843137254902,NO
0.15931372549019612,NO
0.11319073083778966,NO
0.20120320855614973,NO
0.1730169340463458,NO
0.3624108734402852,NO
0.5294117647058824,NO
0.2511140819964349,NO
0.43036987522281644,NO
0.2992424242424242,NO
0.043449197860962574,NO
0.4092023172905527,NO
0.9112076648841356,YES
0.35472370766488415,NO
0.4499777183600714,YES
0.3112745098039216,NO
0.3605169340463459,NO
0.2192513368983958,NO
0.30559269162210345,NO
0.31495098039215697,NO
0.22794117647058829,NO
0.33689839572192515,NO
0.20577094474153299,NO
0.3920454545454546,NO
0.8407976827094474,YES
0.9022950089126562,YES
0.7471033868092694,YES
0.38491532976827103,YES
0.35060160427807485,NO
0.5307486631016044,YES
0.22961229946524062,NO
0.5531417112299467,YES
0.3338903743315508,YES
0.4591131907308379,NO
0.2415329768270945,NO
0.16900623885918006,NO
0.20744206773618543,NO
0.6895053475935831,YES
