ALLTRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
2.12345,YES
0.0308,NO
2.169,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
2.03895,YES
2.0402,YES
2.0834,YES
2.12,YES
0.07865,NO
2.0358,YES
0.06025,NO
1.5536,YES
1.6222,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
1.69735,YES
1.54785,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
1.64055,YES
0.0383,NO
1.5563,YES
0.01705,NO
1.66995,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
2.2287,YES
0.08015,NO
2.10075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
2.22325,YES
2.2126,YES
2.18265,YES
2.08855,YES
0.08295,NO
2.09635,YES
0.06255,NO
1.56515,YES
1.5907,YES
0.1678,NO
0.0831,NO
0.07535,NO
0.07205,NO
1.67175,YES
1.56215,YES
0.08655,NO
0.0476,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
1.59615,YES
0.04635,NO
1.54105,YES
0.01555,NO
1.65405,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0362,NO
0.0122,NO
0.5702,YES
2.6673999999999998,YES
2.64685,YES
0.5715,YES
0.0413,NO
0.006500000000000001,NO
0.60515,YES
0.06975,NO
0.56625,YES
0.07215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
