LOWERTRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.04185,NO
0.037599999999999995,NO
0.0872,NO
0.16820000000000002,NO
0.09355,NO
0.0753,NO
0.03445,NO
0.03895,NO
0.11445,NO
0.19345,YES
0.0608,NO
0.239,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.062099999999999995,NO
0.0953,NO
0.06045,NO
0.09734999999999999,NO
0.11395000000000001,NO
0.11735,NO
0.10895,YES
0.1102,YES
0.1534,YES
0.19,YES
0.10865,NO
0.1058,YES
0.09025,NO
0.0686,YES
0.1372,YES
0.2681,NO
0.27395,NO
0.2524,NO
0.15560000000000002,NO
0.21234999999999998,YES
0.06284999999999999,YES
0.16820000000000002,NO
0.2828,NO
0.14905000000000002,NO
0.28290000000000004,NO
0.09485,NO
0.08130000000000001,NO
0.08255,NO
0.15555000000000002,YES
0.2333,NO
0.0713,YES
0.21205000000000002,NO
0.18495,YES
0.2156,NO
0.2906,NO
0.26845,NO
0.29175,NO
0.2701,NO
0.19515,NO
0.28595000000000004,NO
0.1504,NO
0.0993,NO
0.1317,NO
0.20155,NO
0.14325,NO
0.0756,NO
0.2183,NO
0.12825,NO
0.08045,NO
0.24435,NO
0.5387,YES
0.21515,NO
0.41075,YES
0.2025,NO
0.2084,NO
0.2068,NO
0.15095,NO
0.07665,NO
0.1184,NO
0.09735,NO
0.14275,NO
0.1101,NO
0.53325,YES
0.5226,YES
0.49265000000000003,YES
0.39855,YES
0.21795,NO
0.40635,YES
0.19755,NO
0.06515,YES
0.0907,YES
0.3278,NO
0.0881,NO
0.08035,NO
0.23205,NO
0.17175,YES
0.06215,YES
0.24655,NO
0.3026,NO
0.22820000000000001,NO
0.29935,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.09615,YES
0.05135,NO
0.04105,YES
0.02055,NO
0.15405,YES
0.0253,NO
0.31755,NO
0.3005,NO
0.314,NO
0.30765,NO
0.27005,NO
0.32255,NO
0.2264,NO
0.0762,NO
0.0522,NO
0.1002,YES
0.1674,YES
0.14685,YES
0.1015,YES
0.08130000000000001,NO
0.0465,NO
0.13515,YES
0.18975,NO
0.09625,YES
0.19215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0686,NO
0.1159,YES
0.0678,NO
0.18045,YES
0.11085,NO
0.1275,YES
0.1461,NO
0.15385,NO
0.19195,NO
0.1447,NO
0.11575,YES
0.1682,NO
0.09715,YES
0.0772,NO
0.0366,NO
0.39375,NO
0.3141,NO
