LOWERTRACED_RFNONE_SINGLE_LSA_SUM.csv,Associated
0.04427029719408933,NO
0.038060767059604844,NO
0.11385024074381539,NO
0.26805910675742994,NO
0.15899053627760257,NO
0.09646355636725884,NO
0.03345840943051637,NO
0.04003320604349993,NO
0.15366428690021583,NO
0.3567524489457082,YES
0.07527810061431181,NO
0.42330400132824175,YES
0.1677303669267807,NO
0.15341192096961648,NO
0.15282749460401795,NO
0.07385688195251537,NO
0.16154740162709616,NO
0.0714461231944214,NO
0.1645425867507887,NO
0.149613149593226,NO
0.19376390503071564,NO
0.23329237921301682,YES
0.23511871160551223,YES
0.2982367590901545,YES
0.3517117715424208,YES
0.14519010459903703,NO
0.22869002158392832,YES
0.11830649178150425,NO
0.06874315125352816,YES
0.1689722729536776,YES
0.2626000332060436,NO
0.6237954507720406,NO
0.5923094803254193,NO
0.09823011788145443,NO
0.27877137639050314,YES
0.06034202224804916,YES
0.11663954839780839,NO
0.6254358293209364,NO
0.08866013614477837,NO
0.625581935912336,NO
0.12170679063589575,NO
0.10190934750124525,NO
0.10373567989374068,NO
0.19578283247551057,YES
0.564403121368089,NO
0.0726880292213183,YES
0.5333554706956667,NO
0.23873817034700318,YES
0.5385422546903537,NO
0.6368321434501079,NO
0.6044695334550888,NO
0.6385123692512038,NO
0.6068802922131827,NO
0.15601527478000995,NO
0.6300381869500249,NO
0.09063257512867344,NO
0.06843765565332892,NO
0.11577619126681059,NO
0.08766395483978086,NO
0.22629254524323428,NO
0.12745143616138138,NO
0.11213680889921968,NO
0.11073551386352318,NO
0.040896563174497774,NO
0.15019757595882452,NO
0.5503768885937241,YES
0.10753445127013118,NO
0.3634335048978915,YES
0.14018927444794954,NO
0.14880956334052797,NO
0.14647185787813385,NO
0.14390171011124026,NO
0.12898555537107756,NO
0.09634401461065915,NO
0.15922961979080194,NO
0.1319209696164702,NO
0.17785821019425538,NO
0.542414079362444,YES
0.5268537273783829,YES
0.4830948032541923,YES
0.34560850074713606,YES
0.11162543582932095,NO
0.35700481487630753,YES
0.08181969118379546,NO
0.08561846256018597,YES
0.12294869666279266,YES
0.3949858874315126,NO
0.20482151751618796,NO
0.19349825668271625,NO
0.2550888261663623,NO
0.2413680889921966,YES
0.08123526481819693,YES
0.27627428191930936,NO
0.19280092976921803,NO
0.2494637223974763,NO
0.18805246554872992,NO
0.17093142952017268,NO
0.1562477170845094,NO
0.15529802424041175,NO
0.13091150589407272,YES
0.15112734517682222,NO
0.050406774032874,YES
0.10612651502573471,NO
0.21550722231446123,YES
0.11306657811721736,NO
0.21464386518346346,NO
0.1897326913498257,NO
0.20945708118877643,NO
0.20017931263489958,NO
0.3106093308982235,NO
0.22194919475344518,NO
0.24683380375228295,NO
0.3620986219491948,NO
0.32703304001328243,NO
0.1461265150257347,YES
0.31470695666611326,YES
0.28468205213348835,YES
0.14802590071392996,YES
0.3695500581105762,NO
0.31870496430350326,NO
0.197190768719907,YES
0.3181404615640047,NO
0.14035530466544913,YES
0.3216470197575959,NO
0.14859040345342853,NO
0.1317150921467707,NO
0.1317150921467707,NO
0.3509945210028225,NO
0.23946206209530135,YES
0.3498256682716254,NO
0.33377386684376564,YES
0.4127245558691682,NO
0.256410426697659,YES
0.2543649344180642,NO
0.2656881952515358,NO
0.3213548065747967,NO
0.25231944213846924,NO
0.1688460899883779,YES
0.2866544911173834,NO
0.14167026398804583,YES
0.10322430682384197,NO
0.04390503071559025,NO
0.2940992860700648,NO
0.40485472355968793,NO
0.3606574796612984,NO
0.27408268304831485,NO
0.1134517682218164,NO
0.07992030549560021,NO
0.25633073219325925,NO
0.3378183629420555,YES
0.26502407438153747,NO
0.2557064585754608,YES
0.13558691681886104,NO
0.11871160551220324,NO
0.11381703470031547,NO
0.029878797941225315,NO
0.3235464054457912,NO
0.03039017101112403,NO
0.2952747800099619,NO
0.13792462228125518,NO
0.31068902540262333,NO
0.3282483812053794,YES
0.30742819193093146,YES
0.2474514361613814,YES
0.2549759256184626,YES
0.312435663290719,NO
0.17162211522497098,YES
0.22133820355304665,NO
0.062387514527644045,NO
0.04697326913498258,NO
0.0685239913664287,YES
0.25685538768055793,YES
0.1753279096795617,YES
0.08766395483978086,YES
0.0550821849576623,NO
0.034554208866013625,NO
0.14150423377054627,YES
0.28648181969118386,NO
0.06786651170513035,YES
0.2032741158890918,NO
0.15494604017931266,NO
0.17825004150755439,NO
0.1639315955503902,NO
0.09657645691515859,NO
0.15443466710941392,YES
0.09343516520006642,NO
0.18204881288394487,YES
0.09416569815706459,NO
0.1770811887763573,YES
0.24637556035198413,NO
0.2578449277768554,NO
0.2594521002822514,NO
0.17208035862526982,NO
0.09716088328075712,YES
0.17821683546405445,NO
0.08729868836128177,YES
0.09380043167856551,NO
0.044854723559687865,NO
0.16436991532458908,NO
0.14251369749294374,NO
0.11672588411090822,NO
0.13631744977585922,NO
0.11118711605512205,NO
0.1026398804582434,NO
0.13646355636725885,NO
0.13573302341026067,YES
0.13982400796945044,NO
0.16919143284077703,YES
0.40025236593059943,NO
0.36496762410758765,NO
0.36474846422048823,NO
0.029367424871326587,NO
0.08041839614809897,NO
0.03133986385522165,NO
