NONETRACED_SUM_SINGLE_LSA_MAX.csv,Associated
0.365740072202166,NO
0.6592298435619734,NO
0.3699157641395908,NO
0.3659326113116726,NO
0.3624548736462093,NO
0.4187003610108303,NO
0.4866546329723225,NO
0.2647292418772563,NO
0.4621179302045728,NO
0.2469,YES
0.4024428399518652,NO
0.33799999999999997,YES
0.5109626955475329,NO
0.7811913357400722,NO
0.5467509025270758,NO
0.5016606498194947,NO
0.5817208182912155,NO
0.3895306859205776,NO
0.3324187725631769,NO
0.3779903730445246,NO
0.3897232250300842,NO
0.4348255114320096,YES
0.6025752105896509,YES
0.3996149217809867,YES
0.4287484957882069,YES
0.4695788206979542,NO
0.5129843561973526,YES
0.3995186522262335,NO
0.16953068592057755,YES
0.4180746089049337,YES
0.3362,NO
0.22080625752105895,NO
0.18871239470517448,NO
0.20495788206979534,NO
0.3947,YES
0.20377858002406732,YES
0.3388447653429603,NO
0.18021660649819488,NO
0.2666425992779783,NO
0.23150421179302044,NO
0.3385078219013236,NO
0.39298435619735256,NO
0.351768953068592,NO
0.3045006016847172,YES
0.2204211793020457,NO
0.24385078219013234,YES
0.2061492178098676,NO
0.3399,YES
0.2283754512635379,NO
0.3325872442839952,NO
0.3347172081829121,NO
0.2915403128760529,NO
0.3141155234657039,NO
0.3256438026474127,NO
0.28251504211793016,NO
0.30051744885679904,NO
0.19880866425992774,NO
0.3700361010830325,NO
0.1331,NO
0.2865,NO
0.2623706377858002,NO
0.1666,NO
0.15163658243080624,NO
0.1963778580024067,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2015,YES
0.205,NO
0.2918531889290012,NO
0.2136,NO
0.1919,NO
0.2906859205776174,NO
0.17180505415162456,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.2542839951865223,YES
0.1659,NO
0.1927,YES
0.1251,NO
0.2645367027677497,YES
0.5196750902527076,YES
0.3356,NO
0.2807220216606497,NO
0.2302045728038508,NO
0.29361010830324896,NO
0.3435,YES
0.2875932611311672,YES
0.4624669073405535,NO
0.2483754512635379,NO
0.3483754512635378,NO
0.3067027677496991,NO
0.453754512635379,NO
0.5399518652226234,NO
0.4698435619735258,NO
0.38588447653429603,YES
0.30054151624548725,NO
0.33051744885679896,YES
0.2615643802647413,NO
0.3931768953068591,YES
0.2946089049338147,NO
0.4189530685920577,NO
0.44628158844765337,NO
0.3763537906137184,NO
0.3933212996389892,NO
0.4219133574007219,NO
0.3774729241877257,NO
0.40352587244284,NO
0.31706377858002405,NO
0.5736462093862815,NO
0.4484476534296029,YES
0.3348,YES
0.2937,YES
0.4560649819494585,YES
0.4810469314079421,NO
0.2350421179302045,NO
0.41588447653429605,YES
0.1395,NO
0.4601564380264741,YES
0.1443,NO
0.39090252707581225,NO
0.5644885679903731,NO
0.3732972322503008,NO
0.4804693140794224,NO
0.36749699157641386,YES
0.36954271961492174,NO
0.3609,YES
0.2767268351383874,NO
0.2563898916967509,YES
0.2999759326113117,NO
0.40367027677496986,NO
0.383826714801444,NO
0.3537545126353791,NO
0.4637063778580024,YES
0.5564380264741275,NO
0.3683032490974729,YES
0.4483032490974728,NO
0.637135980746089,NO
0.3670517448856799,NO
0.38539109506618535,NO
0.347208182912154,NO
0.3610709987966305,NO
0.4765222623345367,NO
0.3515884476534296,NO
0.4235018050541517,NO
0.4028,YES
0.3501684717208183,NO
0.3445968712394705,YES
0.4832851985559566,NO
0.7347773766546328,NO
0.4999398315282791,NO
0.5095186522262334,NO
0.5605054151624549,NO
0.462936221419976,NO
0.2923465703971119,NO
0.4300601684717209,NO
0.3699398315282792,NO
0.505667870036101,YES
0.6999157641395908,YES
0.4525992779783393,YES
0.4594344163658242,YES
0.4564620938628158,NO
0.5286401925391095,YES
0.3876774969915763,NO
0.2898796630565584,NO
0.5852827918170878,NO
0.2835018050541516,YES
0.3647,YES
0.28961492178098674,YES
0.33632972322503,YES
0.3920096269554753,NO
0.2489410348977136,NO
0.309626955475331,YES
0.2598,NO
0.3710709987966305,YES
0.1459,NO
0.33293622141997603,NO
0.5610950661853189,NO
0.3689290012033694,NO
0.3884356197352587,NO
0.4409506618531889,YES
0.2995667870036101,NO
0.2623,YES
0.2112033694344164,NO
0.2555,YES
0.4024548736462094,NO
0.5076534296028881,NO
0.3120818291215403,NO
0.362202166064982,NO
0.32050541516245484,YES
0.4557761732851984,NO
0.25746089049338144,YES
0.3313357400722022,NO
0.5349578820697953,NO
0.3416486161251505,NO
0.31109506618531896,NO
0.2255595667870036,NO
0.33038507821901314,NO
0.3877015643802648,NO
0.26225030084235856,NO
0.4646811070998797,NO
0.2407581227436823,YES
0.31900120336943444,NO
0.2913838748495788,YES
0.4816125150421179,NO
0.6616365824308061,NO
0.4871119133574007,NO
0.44178098676293615,NO
0.4090132370637786,NO
0.3711913357400722,NO
0.2581829121540313,NO
0.3823706377858002,NO
0.31646209386281593,NO
0.3878459687123947,YES
0.5231768953068592,YES
0.3890132370637786,YES
0.3511552346570396,YES
0.42960288808664265,NO
0.4321660649819495,YES
0.4067268351383874,NO
0.3269193742478941,NO
0.4940794223826715,NO
0.22399999999999998,NO
0.1967,NO
0.2692178098676293,NO
0.2079,NO
0.27193742478941035,NO
0.3204813477737665,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1977015643802647,NO
0.3959927797833935,NO
0.26619735258724425,NO
0.30051744885679904,NO
0.3239831528279182,NO
0.31303249097472924,NO
0.31,NO
0.22039711191335734,NO
0.2819,NO
0.4042,YES
0.4335379061371841,YES
0.4941,YES
0.35510228640192537,YES
0.193,NO
0.2751383874849578,YES
0.1726,NO
0.3709506618531889,NO
0.4894705174488568,NO
0.2559446450060168,NO
0.3265222623345367,NO
0.2781347773766546,NO
0.2388327316486161,NO
0.3404211793020457,NO
0.29374247894103483,NO
0.3339590854392297,NO
0.3579,YES
0.2328519855595668,NO
0.2927918170878459,YES
0.3866425992779784,NO
0.5969554753309265,NO
0.3957882069795427,NO
0.3814440433212996,NO
0.4573405535499397,NO
0.3715282791817087,NO
0.22379061371841152,NO
0.3468712394705174,NO
0.30362214199759324,NO
0.442286401925391,YES
0.6200601684717209,YES
0.36746089049338143,YES
0.3611552346570397,YES
0.33521058965102274,NO
0.40098676293622143,YES
0.3092178098676294,NO
0.4132731648616125,NO
0.6243321299638989,NO
0.2986522262334536,NO
0.35817087845968704,NO
0.3928038507821901,NO
0.3460529482551143,NO
0.4242599277978339,NO
0.3236702767749699,NO
0.3690373044524669,NO
0.4397,YES
0.3454873646209386,NO
0.2727918170878459,YES
0.4339229843561973,NO
0.7152827918170879,NO
0.4764741275571601,NO
0.4365703971119133,NO
0.5959326113116727,NO
0.3957882069795427,NO
0.29836341756919377,NO
0.3600842358604091,NO
0.3665222623345366,NO
0.4833453670276776,YES
0.666257521058965,YES
0.3798676293622141,YES
0.4538026474127556,YES
0.3977737665463297,NO
0.4817448856799038,YES
0.3248134777376655,NO
0.4137906137184116,NO
