UPPERTRACED_RFSMOTE_SINGLE_LSA_MAX.csv,Associated
0.25,NO
0.0652,NO
0.16,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.08,NO
0.1689,NO
0.2469,YES
0.57,NO
0.82,YES
0.2427,NO
0.2231,NO
0.23,NO
0.1142,NO
0.0706,NO
0.33,NO
0.13,NO
0.38,NO
0.1147,NO
0.95,YES
0.0804,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1205,NO
0.1072,YES
0.2444,YES
0.71,NO
0.1579,NO
0.34,NO
0.1112,NO
0.56,YES
0.0957,YES
0.1364,NO
0.1056,NO
0.9,NO
0.17,NO
0.1797,NO
0.1526,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.1212,NO
0.21,NO
0.13,NO
0.0802,NO
0.82,NO
0.1119,NO
0.98,NO
0.25,NO
0.1534,NO
0.16,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.08,NO
0.2187,NO
0.4574,YES
0.57,NO
0.82,YES
0.22,NO
0.2168,NO
0.23,NO
0.1919,NO
0.1533,NO
0.33,NO
0.1947,NO
0.38,NO
0.2202,NO
0.95,YES
0.4252,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1251,NO
0.1303,YES
0.1814,YES
0.71,NO
0.1662,NO
0.34,NO
0.1441,NO
0.56,YES
0.1243,YES
0.1731,NO
0.0952,NO
0.9,NO
0.17,NO
0.2289,NO
0.2088,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.1251,NO
0.21,NO
0.13,NO
0.1053,NO
0.82,NO
0.1351,NO
0.98,NO
0.0724,NO
0.13,NO
0.1404,YES
0.3348,YES
0.2937,YES
0.68,YES
0.44,NO
0.41,NO
0.2103,YES
0.1395,NO
0.1325,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.08,NO
0.2318,YES
0.27,NO
0.3609,YES
0.1417,NO
0.255,YES
0.0522,NO
0.0677,NO
0.1439,NO
0.15,NO
0.1715,YES
0.0964,NO
