UPPERTRACED_RFUNDER_RAW_VSM_MEDIAN.csv,Associated
0.41685,NO
0.2026,NO
0.36719999999999997,NO
0.3432,NO
0.41355000000000003,NO
0.2703,NO
0.50445,NO
0.36395,NO
0.51445,NO
0.46345000000000003,YES
0.4108,NO
0.419,YES
0.58635,NO
0.49655,NO
0.31615,NO
0.5371,NO
0.3203,NO
0.5204500000000001,NO
0.42735,NO
0.44895,NO
0.50735,NO
0.37895,YES
0.38020000000000004,YES
0.4234,YES
0.47,YES
0.50865,NO
0.38079999999999997,YES
0.51025,NO
0.3886,YES
0.2422,YES
0.5581,NO
0.44395,NO
0.4224,NO
0.4206,NO
0.36235,YES
0.51285,YES
0.4032,NO
0.4928,NO
0.06905,NO
0.3379,NO
0.50985,NO
0.46130000000000004,NO
0.09255,NO
0.27555,YES
0.4383,NO
0.39130000000000004,YES
0.07205,NO
0.65995,YES
0.4606,NO
0.2556,NO
0.40345,NO
0.43174999999999997,NO
0.2051,NO
0.53515,NO
0.48595,NO
0.4004,NO
0.4243,NO
0.24670000000000003,NO
0.37655,NO
0.37825,NO
0.4556,NO
0.3083,NO
0.54825,NO
0.35545000000000004,NO
0.53935,NO
0.5687,YES
0.46015,NO
0.35075,YES
0.5675,NO
0.4934,NO
0.31179999999999997,NO
0.57595,NO
0.36164999999999997,NO
0.5284,NO
0.48735,NO
0.42775,NO
0.5601,NO
0.56325,YES
0.5526,YES
0.5226500000000001,YES
0.43855,YES
0.51295,NO
0.44134999999999996,YES
0.5125500000000001,NO
0.40015,YES
0.2107,YES
0.5578000000000001,NO
0.4481,NO
0.44035,NO
0.43705,NO
0.33675,YES
0.52715,YES
0.42155000000000004,NO
0.48760000000000003,NO
0.0882,NO
0.32935,NO
0.53445,NO
0.4894,NO
0.11875,NO
0.23115000000000002,YES
0.44635,NO
0.37605,YES
0.07055,NO
0.64405,YES
0.4603,NO
0.25755,NO
0.4105,NO
0.429,NO
0.21765,NO
0.55005,NO
0.49755,NO
0.4164,NO
0.4212,NO
0.2322,NO
0.30519999999999997,YES
0.5174,YES
0.62685,YES
0.5265,YES
0.4263,NO
0.07650000000000001,NO
0.54515,YES
0.48975,NO
0.30125,YES
0.51715,NO
0.57325,NO
0.5417,NO
0.5767,NO
0.5035999999999999,NO
0.6009,YES
0.4678,NO
0.53045,YES
0.53585,NO
0.4775,YES
0.4111,NO
0.45885,NO
0.40195000000000003,NO
0.4747,NO
0.32575,YES
0.32320000000000004,NO
0.53715,YES
0.4572,NO
0.2066,NO
0.40875,NO
0.3641,NO
0.47885,NO
0.31005,NO
0.5591999999999999,NO
0.39125,NO
0.5029,NO
0.5414,YES
0.45885,NO
0.3952,YES
0.56435,NO
0.4728,NO
0.28945,NO
0.507,NO
0.35845,NO
0.49235,NO
0.4441,NO
0.44095,NO
0.51465,NO
0.53485,YES
0.5206000000000001,YES
0.47955000000000003,YES
0.4947,YES
0.5413,NO
0.43265,YES
0.49895,NO
0.43425,NO
0.2587,NO
0.28845,YES
0.53235,YES
0.6065499999999999,YES
0.52155,YES
0.42925,NO
0.10020000000000001,NO
0.5434,YES
0.5498999999999999,NO
0.288,YES
0.51795,NO
0.5776,NO
0.57355,NO
0.59875,NO
0.54765,NO
0.59725,YES
0.5105,NO
0.48114999999999997,YES
0.536,NO
0.47775,YES
0.48745,NO
0.5353,NO
0.4414,NO
0.5016,NO
0.31305,YES
0.33080000000000004,NO
0.5363,YES
0.45075,NO
0.20725000000000002,NO
0.42905,NO
0.32999999999999996,NO
0.45735000000000003,NO
0.32484999999999997,NO
0.55765,NO
0.4068,NO
0.52995,NO
0.43945,YES
0.48225,NO
0.37235,YES
0.5909500000000001,NO
0.4868,NO
0.30665,NO
0.5066499999999999,NO
0.33749999999999997,NO
0.493,NO
0.44565,NO
0.45280000000000004,NO
0.49945,NO
0.43395000000000006,YES
0.41225,YES
0.43505000000000005,YES
0.5054,YES
0.55025,NO
0.42784999999999995,YES
0.5165500000000001,NO
0.42745,NO
0.23695,NO
0.422,NO
0.33335,NO
0.4518,NO
0.32895,NO
0.5419499999999999,NO
0.37835,NO
0.5399,NO
0.5114000000000001,YES
0.4972,NO
0.3368,YES
0.53155,NO
0.42175,NO
0.23734999999999998,NO
0.582,NO
0.35135,NO
0.5477500000000001,NO
0.545,NO
0.40545000000000003,NO
0.59095,NO
0.5421,YES
0.5048,YES
0.5870500000000001,YES
0.43915,YES
0.5265,NO
0.47864999999999996,YES
0.5363,NO
0.45195,NO
0.20845000000000002,NO
0.40765,NO
0.35209999999999997,NO
0.48235,NO
0.31615,NO
0.5591999999999999,NO
0.3902,NO
0.51755,NO
0.51895,YES
0.4714,NO
0.35415,YES
0.5776,NO
0.48705,NO
0.30535,NO
0.5049,NO
0.35574999999999996,NO
0.49075,NO
0.45035000000000003,NO
0.43560000000000004,NO
0.52,NO
0.5419,YES
0.5147,YES
0.47995,YES
0.48375,YES
0.5403,NO
0.44515,YES
0.5084,NO
0.41635,NO
0.20570000000000002,NO
0.364,NO
0.37929999999999997,NO
0.45135000000000003,NO
0.26775,NO
0.50525,NO
0.35660000000000003,NO
0.50105,NO
0.55985,YES
0.41035,NO
0.36735,YES
0.5709,NO
0.4874,NO
0.30724999999999997,NO
0.52245,NO
0.33675,NO
0.5062,NO
0.43875000000000003,NO
0.42510000000000003,NO
0.5259,NO
0.5086,YES
0.50515,YES
0.497,YES
0.41285,YES
0.49875,NO
0.4014,YES
0.4995,NO
0.40345,NO
0.45755,NO
0.6047499999999999,YES
0.36155,YES
0.41135,YES
0.48235000000000006,YES
0.41685,NO
0.46325,NO
0.5033000000000001,YES
0.5137,NO
0.65945,YES
0.53295,NO
0.53155,NO
0.3298,NO
0.5237,NO
0.5101,NO
0.29464999999999997,YES
0.49875,NO
0.60345,YES
0.48645,NO
0.35105,YES
0.5285500000000001,NO
0.44,NO
0.63625,NO
0.445,NO
0.60495,YES
0.6008,NO
0.59905,YES
0.11995,NO
0.07735,NO
0.31975,YES
0.2328,NO
0.09675,NO
0.62295,YES
0.30635,NO
0.06485,NO
0.6874,YES
0.1255,NO
0.61905,YES
0.3964,NO
0.2182,NO
0.20515,NO
0.4124,NO
0.36550000000000005,NO
0.3045,NO
0.1149,NO
0.51865,NO
0.07255,NO
0.30185,NO
0.11955,NO
0.1142,NO
0.27335,NO
0.10585,NO
0.6697,YES
0.58295,NO
0.6136999999999999,YES
0.4249,NO
0.2382,NO
0.35875,YES
0.48969999999999997,YES
0.5916,YES
0.56565,YES
0.44665,NO
0.0937,NO
0.57995,YES
0.5364,NO
0.36539999999999995,YES
0.49975,NO
0.58325,NO
0.54805,NO
0.5824,NO
0.49779999999999996,NO
0.57475,YES
0.4621,NO
0.485,YES
0.5262,NO
0.44565,YES
0.50485,NO
0.53055,NO
0.47675,NO
0.50775,NO
0.3615,YES
0.37295,NO
0.569,YES
0.09179999999999999,NO
0.0873,NO
0.6790499999999999,YES
0.2781,NO
0.09745,NO
0.69985,YES
0.10905000000000001,NO
0.14650000000000002,NO
0.6518999999999999,YES
0.1595,NO
0.7415,YES
0.0728,NO
0.1122,NO
0.35710000000000003,NO
0.08885000000000001,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.51785,NO
0.0451,NO
0.19815,NO
0.2259,NO
0.3382,NO
0.67005,NO
0.14300000000000002,NO
0.671,YES
0.6392,NO
0.65695,YES
0.40835,NO
0.22920000000000001,NO
0.2622,YES
0.44834999999999997,YES
0.54255,YES
0.4813,YES
0.40445000000000003,NO
0.07490000000000001,NO
0.5002,YES
0.47759999999999997,NO
0.2567,YES
0.49470000000000003,NO
0.5505,NO
0.53165,NO
0.56925,NO
0.5065999999999999,NO
0.5676,YES
0.4707,NO
0.42665,YES
0.53235,NO
0.41059999999999997,YES
0.3925,NO
0.4607,NO
0.3649,NO
0.4675,NO
0.2736,YES
0.29390000000000005,NO
0.50185,YES
0.4862,YES
0.1441,YES
0.5717,NO
0.4424,NO
0.43795,NO
0.4403,NO
0.2847,YES
0.6496500000000001,YES
0.4052,NO
0.4779,NO
0.09585,NO
0.3185,NO
0.52655,NO
0.465,NO
0.0873,NO
0.17720000000000002,YES
0.4475,NO
0.45595,YES
0.068,NO
0.63925,YES
0.45885,NO
0.246,NO
0.41135,NO
0.43295,NO
0.22465000000000002,NO
0.5488500000000001,NO
0.505,NO
0.3998,NO
0.39194999999999997,NO
0.4686,NO
0.5034,YES
0.3477,YES
0.3901,YES
0.4983,YES
0.3484,NO
0.44384999999999997,NO
0.6128,YES
0.5119,NO
0.68355,YES
0.51825,NO
0.5771,NO
0.34835,NO
0.5512,NO
0.507,NO
0.30135,YES
0.49365000000000003,NO
0.6351,YES
0.42105000000000004,NO
0.38344999999999996,YES
0.5326500000000001,NO
0.44710000000000005,NO
0.63615,NO
0.44385,NO
0.5832999999999999,YES
0.60605,NO
0.67655,YES
0.4089,NO
0.4587,NO
0.56385,YES
0.4007,YES
0.45035,YES
0.46335000000000004,YES
0.41459999999999997,NO
0.46825,NO
0.49175,YES
0.5593,NO
0.6411,YES
0.5344,NO
0.53885,NO
0.34315,NO
0.5372,NO
0.5124,NO
0.321,YES
0.4991,NO
0.5983499999999999,YES
0.4784,NO
0.36369999999999997,YES
0.5717,NO
0.4923,NO
0.6352,NO
0.4511,NO
0.58695,YES
0.59205,NO
0.60185,YES
0.41709999999999997,NO
0.48995,NO
0.613,YES
0.37115,YES
0.4498,YES
0.50485,YES
0.4185,NO
0.4911,NO
0.5086,YES
0.5201,NO
0.69005,YES
0.5311,NO
0.49915,NO
0.29810000000000003,NO
0.48145,NO
0.5667,NO
0.3291,YES
0.55375,NO
0.6561,YES
0.46865,NO
0.41069999999999995,YES
0.5527,NO
0.46505,NO
0.66595,NO
0.47075,NO
0.6076,YES
0.63795,NO
0.624,YES
0.38544999999999996,NO
0.4716,NO
0.5046999999999999,YES
0.34454999999999997,YES
0.38325,YES
0.48705,YES
0.3382,NO
0.43779999999999997,NO
0.60145,YES
0.51515,NO
0.6752,YES
0.524,NO
0.56795,NO
0.31815,NO
0.52485,NO
