UPPERTRACED_RFSMOTE_MULTI_LSA_MAX.csv,Associated
0.0737,NO
0.0652,NO
0.45,NO
0.2164,NO
0.99,NO
0.0906,NO
0.06,NO
0.0679,NO
0.1689,NO
0.2469,YES
0.0616,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.1142,NO
0.0706,NO
0.1109,NO
0.1,NO
0.2179,NO
0.1147,NO
0.0779,YES
0.0804,YES
0.1668,YES
0.24,YES
0.56,NO
0.0716,YES
0.1205,NO
0.1072,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.1112,NO
0.3947,YES
0.0957,YES
0.1364,NO
0.1056,NO
0.0981,NO
0.1058,NO
0.1797,NO
0.35,NO
0.5,NO
0.2811,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.0412,NO
0.1212,NO
0.0769,NO
0.15,NO
0.0802,NO
0.1903,NO
0.1119,NO
0.88,NO
0.0886,NO
0.1534,NO
0.45,NO
0.2865,NO
0.99,NO
0.1666,NO
0.1465,NO
0.0509,NO
0.2187,NO
0.4574,YES
0.1603,NO
0.2015,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.1533,NO
0.1268,NO
0.1947,NO
0.1755,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.1771,YES
0.56,NO
0.1927,YES
0.1251,NO
0.1303,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.1441,NO
0.3435,YES
0.1243,YES
0.1731,NO
0.0952,NO
0.1364,NO
0.0887,NO
0.2289,NO
0.35,NO
0.5,NO
0.1923,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.0406,NO
0.1251,NO
0.091,NO
0.15,NO
0.1053,NO
0.2201,NO
0.1351,NO
0.88,NO
0.0724,NO
0.35,NO
0.25,YES
0.3348,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.1395,NO
0.79,YES
0.1443,NO
0.2165,NO
0.7,NO
0.37,NO
0.56,NO
0.2318,YES
0.52,NO
0.61,YES
0.98,NO
0.255,YES
0.0522,NO
0.0677,NO
0.1439,NO
0.42,NO
0.1715,YES
0.0964,NO
0.1343,YES
0.1544,NO
0.0732,NO
0.45,NO
0.2582,NO
0.99,NO
0.1701,NO
0.1684,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.1577,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.054000000000000006,NO
0.1469,NO
0.06,NO
0.1082,NO
0.2019,NO
0.1293,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.56,NO
0.1753,YES
0.0979,NO
0.0985,NO
0.35,NO
0.25,YES
0.3647,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.2598,NO
0.79,YES
0.1459,NO
0.2252,NO
0.7,NO
0.37,NO
0.56,NO
0.2245,YES
0.52,NO
0.61,YES
0.98,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.42,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.1415,NO
0.0745,NO
0.45,NO
0.19,NO
0.99,NO
0.1997,NO
0.1653,NO
0.1536,NO
0.1999,NO
0.1989,YES
0.2045,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.0533,NO
0.105,NO
0.06,NO
0.1113,NO
0.2256,NO
0.0989,NO
0.1879,YES
0.1445,YES
0.1901,YES
0.3108,YES
0.56,NO
0.1657,YES
0.1331,NO
0.0949,NO
0.1339,NO
0.45,NO
0.1967,NO
0.99,NO
0.2079,NO
0.1339,NO
0.0967,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1331,NO
0.09,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.56,NO
0.2673,YES
0.1726,NO
0.1439,NO
0.0769,NO
0.45,NO
0.2342,NO
0.99,NO
0.1823,NO
0.1684,NO
0.1204,NO
0.1751,NO
0.3579,YES
0.1828,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.0498,NO
0.1415,NO
0.06,NO
0.1207,NO
0.1912,NO
0.14,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.2675,YES
0.56,NO
0.2003,YES
0.1168,NO
0.0727,NO
0.0714,NO
0.45,NO
0.2886,NO
0.99,NO
0.0855,NO
0.0605,NO
0.0532,NO
0.1421,NO
0.4397,YES
0.0607,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.1035,NO
0.0824,NO
0.1,NO
0.1702,NO
0.1518,NO
0.3372,YES
0.3303,YES
0.314,YES
0.1257,YES
0.56,NO
0.1128,YES
0.099,NO
0.1069,NO
0.23,NO
0.5095,YES
0.1431,YES
0.28,YES
0.2847,YES
0.2237,NO
0.8,NO
0.3266,YES
0.0974,NO
0.3289,YES
0.1059,NO
0.53,NO
0.18,NO
0.52,NO
0.66,NO
0.18,YES
0.64,NO
0.9,YES
0.2129,NO
0.17,YES
0.23,NO
0.51,NO
0.3025,NO
0.54,NO
0.3399,YES
0.2516,NO
0.58,YES
0.76,NO
0.53,NO
0.73,YES
0.2156,NO
0.62,NO
0.4159,YES
0.44,NO
0.2,NO
0.5448,YES
0.191,NO
0.51,YES
0.36,NO
0.3264,NO
0.3203,NO
0.33,NO
0.78,NO
0.71,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.19,NO
0.3767,NO
0.31,NO
0.7,YES
0.54,NO
0.9,YES
0.0798,NO
0.35,NO
0.25,YES
0.2794,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.2328,NO
0.79,YES
0.1095,NO
0.2365,NO
0.7,NO
0.37,NO
