NONETRACED_MAX_MULTI_VSM_MEDIAN.csv,Associated
0.15465,NO
0.09079999999999999,NO
0.126,NO
0.26285000000000003,NO
0.12129999999999999,NO
0.1422,NO
0.1381,NO
0.1212,NO
0.1915,NO
0.38985000000000003,YES
0.0905,NO
0.39735,YES
0.26725,NO
0.25255,NO
0.22144999999999998,NO
0.175,NO
0.15445,NO
0.1718,NO
0.11445,NO
0.18405,NO
0.1678,NO
0.2122,YES
0.29095,YES
0.22535,YES
0.31935,YES
0.1689,NO
0.13924999999999998,YES
0.14529999999999998,NO
0.19375,YES
0.26325,YES
0.27705,NO
0.1685,NO
0.13555,NO
0.1778,NO
0.45904999999999996,YES
0.15165,YES
0.1643,NO
0.1374,NO
0.1281,NO
0.12505,NO
0.21905000000000002,NO
0.19430000000000003,NO
0.1752,NO
0.4264,YES
0.10895,NO
0.19469999999999998,YES
0.10139999999999999,NO
0.34414999999999996,YES
0.08410000000000001,NO
0.1348,NO
0.1279,NO
0.1416,NO
0.1031,NO
0.20855,NO
0.13115,NO
0.1257,NO
0.19870000000000002,NO
0.14875,NO
0.22139999999999999,NO
0.42545,NO
0.2306,NO
0.2841,NO
0.23614999999999997,NO
0.07875,NO
0.26075000000000004,NO
0.7018,YES
0.2194,NO
0.32720000000000005,YES
0.22859999999999997,NO
0.2844,NO
0.19165,NO
0.25429999999999997,NO
0.2854,NO
0.21685,NO
0.2676,NO
0.16185,NO
0.32130000000000003,NO
0.63825,YES
0.7126,YES
0.5487,YES
0.28625,YES
0.23445,NO
0.3705,YES
0.18114999999999998,NO
0.22039999999999998,YES
0.196,YES
0.25735,NO
0.1971,NO
0.1748,NO
0.18735000000000002,NO
0.36715,YES
0.1809,YES
0.20375,NO
0.15725,NO
0.1481,NO
0.13835,NO
0.2723,NO
0.2469,NO
0.22305,NO
0.30955,YES
0.1343,NO
0.1822,YES
0.12294999999999999,NO
0.2841,YES
0.10115,NO
0.1533,NO
0.15485,NO
0.1517,NO
0.1347,NO
0.21705,NO
0.15485,NO
0.15839999999999999,NO
0.164,NO
0.054650000000000004,NO
0.22599999999999998,YES
0.4757,YES
0.4174,YES
0.26905,YES
0.16755,NO
0.09105,NO
0.27265,YES
0.2185,NO
0.20525000000000002,YES
0.15100000000000002,NO
0.25755,NO
0.26295,NO
0.2173,NO
0.11175,NO
0.34745000000000004,YES
0.14049999999999999,NO
0.43825,YES
0.16494999999999999,NO
0.39540000000000003,YES
0.14765,NO
0.2423,NO
0.22225,NO
0.0937,NO
0.2659,YES
0.1901,NO
0.20229999999999998,YES
0.22965000000000002,NO
0.0921,NO
0.277,NO
0.3967,NO
0.2458,NO
0.28235,NO
0.23865,NO
0.17415,NO
0.22100000000000003,NO
0.64995,YES
0.2335,NO
0.41845,YES
0.22675,NO
0.25655,NO
0.18295,NO
0.13945,NO
0.24409999999999998,NO
0.1779,NO
0.19075,NO
0.19815,NO
0.21305000000000002,NO
0.5883,YES
0.6546500000000001,YES
0.4461,YES
0.38325,YES
0.26275,NO
0.32925000000000004,YES
0.15115,NO
0.1363,NO
0.0731,NO
0.18565,YES
0.42415,YES
0.33875,YES
0.2342,YES
0.1346,NO
0.0892,NO
0.24070000000000003,YES
0.3464,NO
0.17095,YES
0.19390000000000002,NO
0.241,NO
0.25495,NO
0.22244999999999998,NO
0.1483,NO
0.29385,YES
0.14915,NO
0.31955,YES
0.15084999999999998,NO
0.2958,YES
0.29235,NO
0.3391,NO
0.2862,NO
0.15715,NO
0.22590000000000002,YES
0.18675000000000003,NO
0.181,YES
0.2192,NO
0.0947,NO
0.25515,NO
0.24825,NO
0.19665,NO
0.26975,NO
0.19035000000000002,NO
0.19035,NO
0.2573,NO
0.3634,YES
0.2269,NO
0.3486,YES
0.2921,NO
0.26539999999999997,NO
0.2359,NO
0.14305,NO
0.17055,NO
0.16305,NO
0.1845,NO
0.20074999999999998,NO
0.14645,NO
0.2767,YES
0.32075000000000004,YES
0.2909,YES
0.3529,YES
0.27790000000000004,NO
0.2673,YES
0.19785,NO
0.19465,NO
0.13565,NO
0.3184,NO
0.3042,NO
0.21295,NO
0.3324,NO
0.21715,NO
0.09914999999999999,NO
0.28135,NO
0.5487500000000001,YES
0.29625,NO
0.2529,YES
0.17855,NO
0.19824999999999998,NO
0.06764999999999999,NO
0.25295,NO
0.26535,NO
0.22899999999999998,NO
0.3204,NO
0.1157,NO
0.3423,NO
0.5172,YES
0.5831500000000001,YES
0.596,YES
0.22304999999999997,YES
0.2681,NO
0.4134,YES
0.20355,NO
0.21915,NO
0.08815,NO
0.26795,NO
0.37095,NO
0.24175,NO
0.27965,NO
0.2307,NO
0.1728,NO
0.22899999999999998,NO
0.6045,YES
0.23914999999999997,NO
0.34900000000000003,YES
0.2582,NO
0.26034999999999997,NO
0.21384999999999998,NO
0.12945,NO
0.23264999999999997,NO
0.15955,NO
0.20545000000000002,NO
0.18280000000000002,NO
0.20945,NO
0.5752,YES
0.62445,YES
0.43079999999999996,YES
0.34750000000000003,YES
0.25315,NO
0.33095,YES
0.1634,NO
0.18185,NO
0.091,NO
0.18969999999999998,NO
0.41170000000000007,NO
0.2182,NO
0.19690000000000002,NO
0.1846,NO
0.10024999999999999,NO
0.18725,NO
0.66815,YES
0.14805,NO
0.33494999999999997,YES
0.24689999999999998,NO
0.26915,NO
0.20879999999999999,NO
0.164,NO
0.2223,NO
