LOWERTRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.1212,NO
0.11695,NO
0.12835000000000002,NO
0.19135000000000002,NO
0.1167,NO
0.11645,NO
0.1138,NO
0.11829999999999999,NO
0.15560000000000002,NO
0.32825000000000004,YES
0.10195000000000001,NO
0.3738,YES
0.22325,NO
0.21345,NO
0.21305000000000002,NO
0.14145,NO
0.11845,NO
0.13979999999999998,NO
0.1205,NO
0.1933,NO
0.1405,NO
0.24375000000000002,YES
0.245,YES
0.2882,YES
0.3248,YES
0.1498,NO
0.2406,YES
0.13140000000000002,NO
0.23935,YES
0.30795,YES
0.257,NO
0.1619,NO
0.14035,NO
0.14450000000000002,NO
0.3831,YES
0.2336,YES
0.15710000000000002,NO
0.1265,NO
0.13795000000000002,NO
0.1266,NO
0.18159999999999998,NO
0.16805,NO
0.1693,NO
0.32630000000000003,YES
0.12125,NO
0.24205,YES
0.09999999999999999,NO
0.3557,YES
0.10355,NO
0.1343,NO
0.11215,NO
0.13545000000000001,NO
0.1138,NO
0.18405,NO
0.12965,NO
0.1393,NO
0.13085,NO
0.16325,NO
0.1734,NO
0.25039999999999996,NO
0.18275,NO
0.19014999999999999,NO
0.1598,NO
0.112,NO
0.2162,NO
0.49149999999999994,YES
0.187,NO
0.36355,YES
0.18375,NO
0.18964999999999999,NO
0.18805,NO
0.1825,NO
0.1838,NO
0.14995,NO
0.20450000000000002,NO
0.1743,NO
0.21725,NO
0.48605,YES
0.4754,YES
0.44545,YES
0.35135,YES
0.1898,NO
0.35914999999999997,YES
0.1694,NO
0.20715,YES
0.2327,YES
0.2698,NO
0.1851,NO
0.17735,NO
0.17404999999999998,NO
0.31375,YES
0.20415,YES
0.18855,NO
0.13965,NO
0.1702,NO
0.13640000000000002,NO
0.2236,NO
0.21355000000000002,NO
0.21289999999999998,NO
0.23814999999999997,YES
0.14834999999999998,NO
0.18305,YES
0.11754999999999999,NO
0.29605,YES
0.12229999999999999,NO
0.15460000000000002,NO
0.13755,NO
0.15105000000000002,NO
0.1447,NO
0.21205,NO
0.15960000000000002,NO
0.1684,NO
0.1116,NO
0.0876,NO
0.2379,YES
0.3782,YES
0.35765,YES
0.2392,YES
0.1167,NO
0.0819,NO
0.27285,YES
0.1463,NO
0.23395,YES
0.1487,NO
0.2182,NO
0.20665,NO
0.20665,NO
0.104,NO
0.3267,YES
0.10319999999999999,NO
0.39125,YES
0.14625,NO
0.3383,YES
0.10265,NO
0.1104,NO
0.14850000000000002,NO
0.10125,NO
0.25345,YES
0.12475,NO
0.23485,YES
0.1735,NO
0.1329,NO
0.22495,NO
0.25529999999999997,NO
0.22505,NO
0.21125,NO
0.1805,NO
0.15755,NO
0.1991,NO
0.45125,YES
0.20505,NO
0.39505,YES
0.19155,NO
0.18,NO
0.17665,NO
0.12329999999999999,NO
0.19965,NO
0.12365,NO
0.18030000000000002,NO
0.19724999999999998,NO
0.19085000000000002,NO
0.4447,YES
0.43045,YES
0.38939999999999997,YES
0.39454999999999996,YES
0.2375,NO
0.3375,YES
0.17515,NO
0.10585,NO
0.0953,NO
0.19775,YES
0.34815,YES
0.29235,YES
0.21085,YES
0.10085,NO
0.0868,NO
0.24770000000000003,YES
0.2581,NO
0.1973,YES
0.20115,NO
0.20900000000000002,NO
0.22494999999999998,NO
0.21515,NO
0.12925,NO
0.27805,YES
0.1271,NO
0.29695,YES
0.1276,NO
0.29355,YES
0.23065000000000002,NO
0.2385,NO
0.2396,NO
0.17980000000000002,NO
0.21735000000000002,YES
0.184,NO
0.2106,YES
0.1612,NO
0.1277,NO
0.2388,NO
0.21475,NO
0.1971,NO
0.2196,NO
0.1731,NO
0.16725,NO
0.2197,NO
0.3025,YES
0.22199999999999998,NO
0.3254,YES
0.24685,NO
0.2227,NO
0.22255,NO
0.11710000000000001,NO
0.17225,NO
0.11845,NO
0.1754,NO
0.20325,NO
0.1692,NO
0.29700000000000004,YES
0.2753,YES
0.29810000000000003,YES
0.35845000000000005,YES
0.24,NO
0.2859,YES
0.1863,NO
0.1073,NO
0.1268,NO
0.22265,NO
0.21525,NO
0.1887,NO
0.2146,NO
0.1268,NO
0.10819999999999999,NO
0.22055,NO
0.4142,YES
0.22785,NO
0.3296,YES
0.1064,NO
0.0766,NO
0.07219999999999999,NO
0.16185,NO
0.18325000000000002,NO
0.1426,NO
0.27190000000000003,NO
0.1253,NO
0.25785,NO
0.44489999999999996,YES
0.40759999999999996,YES
0.48985,YES
0.33194999999999997,YES
0.20715,NO
0.37644999999999995,YES
0.19695000000000001,NO
0.16175,NO
0.12825,NO
0.23085,NO
0.2503,NO
0.23555,NO
0.22435,NO
0.174,NO
0.15,NO
0.22075,NO
0.41664999999999996,YES
0.22460000000000002,NO
0.34185,YES
0.21685,NO
0.20629999999999998,NO
0.2046,NO
0.1147,NO
0.20395000000000002,NO
0.11555,NO
0.19355,NO
0.1854,NO
0.20320000000000002,NO
0.4396,YES
0.4124,YES
0.37765,YES
0.37145,YES
0.2435,NO
0.33785,YES
0.19160000000000002,NO
0.11345,NO
0.11280000000000001,NO
0.15825,NO
0.2535,NO
0.18055,NO
0.147,NO
0.10735,NO
0.1037,NO
0.1753,NO
0.46955,YES
0.1346,NO
0.36705,YES
0.20479999999999998,NO
0.2013,NO
0.20115,NO
0.11955,NO
0.16095,NO
0.1183,NO
0.15795,NO
0.1622,NO
0.1851,NO
0.4183,YES
0.41485,YES
0.4067,YES
0.31255,YES
0.173,NO
0.3061,YES
0.15375,NO
0.13485,NO
0.10395,NO
0.4374,YES
0.21105,YES
0.20084999999999997,YES
0.325,YES
0.19325,NO
0.13465,NO
0.34595,YES
0.1956,NO
0.3471,YES
0.19985,NO
0.2167,NO
0.18495,NO
0.18385,NO
0.1265,NO
0.18914999999999998,YES
0.12514999999999998,NO
0.25795,YES
0.18785000000000002,NO
0.20554999999999998,YES
0.21045,NO
0.1869,NO
0.29815,NO
0.2069,NO
0.3526,YES
0.2727,NO
0.2867,YES
0.1266,NO
0.114,NO
0.41825,YES
0.2806,NO
0.24955,NO
0.44645,YES
0.128,NO
0.0915,NO
0.5109,YES
0.2326,NO
0.45755,YES
0.2135,NO
0.30695,NO
0.30389999999999995,NO
0.27615,NO
0.12215000000000001,NO
0.2823,NO
0.10655,NO
0.35645000000000004,NO
0.1092,NO
0.30465,NO
0.23665,NO
0.2263,NO
0.32545,NO
0.23295,NO
0.4282,YES
0.30505,NO
0.3822,YES
0.1283,NO
0.1066,NO
0.304,YES
0.32194999999999996,YES
0.29385,YES
0.2909,YES
0.15005000000000002,NO
0.1121,NO
0.3202,YES
0.2851,NO
0.31065,YES
0.22344999999999998,NO
0.2475,NO
0.2323,NO
0.23165000000000002,NO
0.11120000000000001,NO
