NONETRACED_MEDIAN_RAW_VSM_MEDIAN.csv,Associated
0.0475,NO
0.0363,NO
0.0701,NO
0.12025000000000001,NO
0.0432,NO
0.06015,NO
0.04015,NO
0.03785,NO
0.09915,NO
0.1303,YES
0.04275,NO
0.17409999999999998,YES
0.13035,NO
0.12365,NO
0.1153,NO
0.0633,NO
0.04785,NO
0.061399999999999996,NO
0.04975,NO
0.11410000000000001,NO
0.06875,NO
0.045649999999999996,YES
0.0498,YES
0.0949,YES
0.126,YES
0.09185,NO
0.0482,YES
0.07114999999999999,NO
0.06405,YES
0.1256,YES
0.1803,NO
0.08975000000000001,NO
0.0658,NO
0.06995,NO
0.20925,YES
0.052149999999999995,YES
0.08155,NO
0.061,NO
0.05695,NO
0.0587,NO
0.09925,NO
0.08910000000000001,NO
0.08165,NO
0.14625000000000002,YES
0.05,NO
0.06115,YES
0.02835,NO
0.17425,YES
0.030600000000000002,NO
0.06835,NO
0.04945,NO
0.07415,NO
0.04725,NO
0.1075,NO
0.06715,NO
0.0615,NO
0.057300000000000004,NO
0.08225,NO
0.08265,NO
0.15564999999999998,NO
0.0855,NO
0.10439999999999999,NO
0.08685,NO
0.03045,NO
0.1292,NO
0.23659999999999998,YES
0.09525,NO
0.10690000000000001,YES
0.11729999999999999,NO
0.1243,NO
0.11280000000000001,NO
0.10275,NO
0.09085,NO
0.0702,NO
0.1139,NO
0.09584999999999999,NO
0.12385,NO
0.23120000000000002,YES
0.2243,YES
0.19875,YES
0.09655,YES
0.10139999999999999,NO
0.11295000000000001,YES
0.07944999999999999,NO
0.0769,YES
0.09445,YES
0.18115,NO
0.09419999999999999,NO
0.0844,NO
0.08645,NO
0.18430000000000002,YES
0.06705,YES
0.09925,NO
0.05575,NO
0.0759,NO
0.05055,NO
0.12435,NO
0.11710000000000001,NO
0.10835,NO
0.10305,YES
0.059250000000000004,NO
0.046650000000000004,YES
0.0279,NO
0.15905,YES
0.03145,NO
0.07135,NO
0.0582,NO
0.0718,NO
0.06035,NO
0.1238,NO
0.08015,NO
0.077,NO
0.053000000000000005,NO
0.0188,NO
0.0889,YES
0.18109999999999998,YES
0.15775,YES
0.0981,YES
0.05895,NO
0.0126,NO
0.13135,YES
0.08265,NO
0.0835,YES
0.081,NO
0.12595,NO
0.1151,NO
0.10285,NO
0.0383,NO
0.1323,YES
0.03685,NO
0.19845000000000002,YES
0.08025,NO
0.1421,YES
0.0386,NO
0.05055,NO
0.09435,NO
0.03585,NO
0.10750000000000001,YES
0.0707,NO
0.08545,YES
0.09195,NO
0.04225,NO
0.1152,NO
0.142,NO
0.10894999999999999,NO
0.1049,NO
0.09805,NO
0.0667,NO
0.09690000000000001,NO
0.21005,YES
0.09285,NO
0.1524,YES
0.11324999999999999,NO
0.1038,NO
0.09025,NO
0.0345,NO
0.08755,NO
0.03455,NO
0.0698,NO
0.10875,NO
0.07735,NO
0.2029,YES
0.19360000000000002,YES
0.15435000000000001,YES
0.1529,YES
0.12775,NO
0.10295,YES
0.06684999999999999,NO
0.06415,NO
0.043949999999999996,NO
0.06795,YES
0.19665000000000002,YES
0.13555,YES
0.08505,YES
0.05845,NO
0.0348,NO
0.12090000000000001,YES
0.1387,NO
0.06695,YES
0.07945,NO
0.1252,NO
0.14405,NO
0.12434999999999999,NO
0.08070000000000001,NO
0.1261,YES
0.0784,NO
0.14304999999999998,YES
0.07949999999999999,NO
0.13945,YES
0.11055,NO
0.12329999999999999,NO
0.1253,NO
0.0595,NO
0.08855,YES
0.0713,NO
0.0799,YES
0.0872,NO
0.04335,NO
0.1336,NO
0.1101,NO
0.08940000000000001,NO
0.1204,NO
0.0995,NO
0.08305,NO
