NONETRACED_RFUNDER_SINGLE_LSA_MEDIAN.csv,Associated
0.13521065573770494,NO
0.0326,NO
0.09818360655737705,NO
0.19836393442622952,NO
0.03355,NO
0.18464426229508202,NO
0.02945,NO
0.3044418032786885,NO
0.08445,NO
0.18902377049180327,YES
0.1865377049180328,NO
0.28375409836065574,YES
0.1295467213114754,NO
0.11155,NO
0.11115,NO
0.07349344262295082,NO
0.0434967213114754,NO
0.08823688524590163,NO
0.15210409836065575,NO
0.1745237704918033,NO
0.1393172131147541,NO
0.1209172131147541,YES
0.0402,YES
0.14077704918032788,YES
0.12819672131147541,YES
0.12783032786885246,NO
0.0358,YES
0.10943032786885246,NO
0.34868196721311473,YES
0.28613442622950824,YES
0.21728032786885246,NO
0.16911393442622952,NO
0.16395737704918034,NO
0.12117377049180326,NO
0.22194016393442623,YES
0.09703032786885246,YES
0.12557704918032786,NO
0.1429639344262295,NO
0.09823032786885247,NO
0.09388360655737706,NO
0.13903032786885247,NO
0.12548032786885246,NO
0.12673032786885247,NO
0.2635008196721311,YES
0.10387377049180327,NO
0.10548032786885247,YES
0.1727877049180328,NO
0.21913032786885245,YES
0.14355081967213115,NO
0.10978032786885247,NO
0.08763032786885247,NO
0.19289754098360656,NO
0.22042786885245905,NO
0.20990409836065577,NO
0.10513032786885246,NO
0.16515409836065575,NO
0.07708688524590163,NO
0.15866721311475412,NO
0.06655,NO
0.20062704918032787,NO
0.14117377049180327,NO
0.09969344262295082,NO
0.0814467213114754,NO
0.20577786885245905,NO
0.10935,NO
0.2287,YES
0.08015,NO
0.10075,YES
0.1025,NO
0.3297114754098361,NO
0.1068,NO
0.09595,NO
0.25697786885245905,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.13469016393442623,NO
0.362594262295082,YES
0.2945672131147541,YES
0.18265,YES
0.25248442622950823,YES
0.08295,NO
0.12913688524590164,YES
0.06255,NO
0.09793688524590163,YES
0.18086393442622953,YES
0.23337377049180327,NO
0.16506721311475409,NO
0.16551393442622953,NO
0.12942704918032788,NO
0.2291270491803279,YES
0.11952704918032787,YES
0.09474672131147541,NO
0.14596065573770495,NO
0.12557704918032786,NO
0.06894016393442623,NO
0.14723688524590162,NO
0.14538360655737706,NO
0.13653688524590163,NO
0.14533032786885247,YES
0.15290737704918034,NO
0.09842704918032788,YES
0.07292704918032787,NO
0.20323032786885245,YES
0.05308688524590163,NO
0.09533688524590163,NO
0.09468032786885247,NO
0.09178688524590164,NO
0.2247811475409836,NO
0.19201721311475412,NO
0.09214016393442623,NO
0.13197377049180326,NO
0.09357704918032789,NO
0.03679016393442623,NO
0.0783967213114754,YES
0.24117049180327865,YES
0.2206204918032787,YES
0.07150000000000001,YES
0.0413,NO
0.10486065573770494,NO
0.10515,YES
0.06975,NO
0.06625,YES
0.08854344262295083,NO
0.20661065573770493,NO
0.0967,NO
0.15407704918032789,NO
0.1761409836065574,NO
0.18967049180327866,YES
0.052390163934426234,NO
0.2788106557377049,YES
0.13642377049180326,NO
0.3488114754098361,YES
0.09167377049180327,NO
0.03385,NO
0.1293270491803279,NO
0.13945409836065575,NO
0.10214344262295083,YES
0.0482,NO
0.44419918032786887,YES
0.0772,NO
0.06938688524590164,NO
0.10694672131147541,NO
0.2848377049180328,NO
0.2627844262295082,NO
0.15882049180327867,NO
0.0923967213114754,NO
0.08584016393442623,NO
0.16306393442622952,NO
0.26697377049180326,YES
0.14442377049180327,NO
0.3337245901639344,YES
0.23049754098360656,NO
0.11239016393442623,NO
0.21559754098360656,NO
0.035196721311475415,NO
0.25377786885245907,NO
0.02735,NO
0.12787049180327867,NO
0.16652377049180328,NO
0.17940409836065574,NO
0.26042377049180326,YES
0.1806,YES
0.17233688524590163,YES
0.17748688524590162,YES
0.1113,NO
0.10404344262295082,YES
0.15550737704918033,NO
0.10662704918032788,NO
0.055093442622950815,NO
0.11902377049180327,YES
0.4118581967213115,YES
0.17573032786885245,YES
0.06655,YES
0.08523360655737705,NO
0.12856065573770492,NO
0.3247114754098361,YES
0.1299,NO
0.053,YES
0.10573688524590164,NO
0.16997704918032788,NO
0.12855,NO
0.25809426229508203,NO
0.12183032786885248,NO
0.21880737704918035,YES
0.13607377049180325,NO
0.18033032786885245,YES
0.12837704918032788,NO
0.2916844262295082,YES
0.12704016393442624,NO
0.17587377049180325,NO
0.16877704918032788,NO
0.05979672131147541,NO
0.13042704918032788,YES
0.07219344262295083,NO
0.10728360655737705,YES
0.11173360655737705,NO
0.04544672131147541,NO
0.20921393442622954,NO
0.14418032786885246,NO
0.216694262295082,NO
0.09985,NO
0.19740409836065576,NO
0.12598032786885247,NO
0.09995,NO
0.24699098360655736,YES
