NONETRACED_SUM_SINGLE_VSM_SUM.csv,Associated
0.06051678265967202,NO
0.06111804229861563,NO
0.06604837133795301,NO
0.18281299322079758,NO
0.11124806469553715,NO
0.10510018488733898,NO
0.11995129796924557,NO
0.017932568731492474,NO
0.11953041622198508,NO
0.18896087302899578,YES
0.08142558660393527,NO
0.21750567438784252,YES
0.10827182948276638,NO
0.14815037503569978,NO
0.13248756144121937,NO
0.048145865588407735,NO
0.2054804816089708,NO
0.0465675590361808,NO
0.11320215852210382,NO
0.15885279660889562,NO
0.12220602161528406,NO
0.16243029146061005,YES
0.1971079411366814,YES
0.19005817187006785,YES
0.22190990124310433,YES
0.09971891111879387,NO
0.11198460775324302,YES
0.12158973048536688,NO
0.1516527124325462,YES
0.22566777398650179,YES
0.26350203676702694,NO
0.17463586213116478,NO
0.14123588918784857,NO
0.24970312805327166,NO
0.3358185398409668,YES
0.09490883400724519,YES
0.24720790055165576,NO
0.06241075052234431,NO
0.23378477911224016,NO
0.07924602041276473,NO
0.16999113142032563,NO
0.1925533993716837,NO
0.18036286019210251,NO
0.19295924962797062,YES
0.24707261713289347,NO
0.13077397147023018,YES
0.20309047454417006,NO
0.37599771521337205,YES
0.13916154343349318,NO
0.13680159935063957,NO
0.14458791167495905,NO
0.21511566732304177,NO
0.14488854149443087,NO
0.2555353465510245,NO
0.19725825604641728,NO
0.2516271588978911,NO
0.061719301937559215,NO
0.12420520991477145,NO
0.17247132743096788,NO
0.3139326889834202,NO
0.23028244171539375,NO
0.2555353465510244,NO
0.19408661145098988,NO
0.0,NO
0.22454041216348253,NO
0.4014309979406857,YES
0.24755362484404825,NO
0.27722578802591435,YES
0.1085874907932118,NO
0.15655297848993638,NO
0.10924887639604976,NO
0.08485276654591369,NO
0.36452868760052315,NO
0.042073143235077506,NO
0.26949960166548925,NO
0.123964706059194,NO
0.24272851624152603,NO
0.4323357433823861,YES
0.45661160130473344,YES
0.46910277030378644,YES
0.3204112615930374,YES
0.21589730485366843,NO
0.3187577975859425,YES
0.22617884467960375,NO
0.2856885174440453,YES
0.3170442076149533,YES
0.4307574368301592,NO
0.3436048521652863,NO
0.3000435913238234,NO
0.4766936732454492,NO
0.48139852992018284,YES
0.19816014550483263,YES
0.48568250484765585,NO
0.1784688923294302,NO
0.45292888601620407,NO
0.19997895591263698,NO
0.3535106047168819,NO
0.37819231289551614,NO
0.3633562313045831,NO
0.23434094427826296,YES
0.4789333654005141,NO
0.21567183248906457,YES
0.38654982187683196,NO
0.5445608549912065,YES
0.2841853683466863,NO
0.2853728561335999,NO
0.31330136636252953,NO
0.4152599696363882,NO
0.3174199948892931,NO
0.4666376057841177,NO
0.3827618861514874,NO
0.4953327220527004,NO
0.09854645482285389,NO
0.12205570670554815,NO
0.3086416041607168,YES
0.5157605182858088,YES
0.5275903016820238,YES
0.41721406346295487,YES
0.21630315510995535,NO
0.011258586739218687,NO
0.41521487516346745,YES
0.08306401912005652,NO
0.4214379124265336,YES
0.09388669262104109,NO
0.21842259533723157,NO
0.23975228102875523,NO
0.24314939798878654,NO
0.03604551535466806,NO
0.6999864716581238,YES
0.034677649676071384,NO
0.6634148541193801,YES
0.21317660498744873,NO
0.5162114630150165,YES
0.1670900536624228,NO
0.21290603814992415,NO
0.35113562914305474,NO
0.17532731071594992,NO
0.3883536007936627,YES
0.31008462729418135,NO
0.38695567213311893,YES
0.1457002420070047,NO
0.1107219625114615,NO
0.20603664677499361,NO
0.33037714010852737,NO
0.251266403114525,NO
0.27791723661069945,NO
0.22596840380597355,NO
0.08228238158942987,NO
0.2274114269394381,NO
0.39612488162700865,YES
0.2595337231499993,NO
0.31940415169780695,YES
0.13741789048055675,NO
0.18043801764697043,NO
0.1439114945811475,NO
0.07114404677799992,NO
0.3750507312820359,NO
0.09184240984863289,NO
0.25352112676056343,NO
0.22981646549521245,NO
0.2251867662753469,NO
0.42704465855968254,YES
0.45709260901588833,YES
0.454612413005246,YES
0.36875253656410184,YES
0.2575946608144062,NO
0.31920874231515023,YES
0.2400529108482271,NO
0.10484464954078797,NO
0.14300960512273214,NO
0.19061433703609065,YES
0.6008688201782736,YES
0.5357073068077622,YES
0.31268507523261235,YES
0.22420971936206352,NO
0.018158041096096325,NO
0.31639785350308897,YES
0.33348865874006045,NO
0.28983720895275605,YES
0.2578351646699837,NO
0.19850586979722523,NO
0.27146872698302943,NO
0.2565725194282021,NO
0.0711891412509207,NO
0.7023013212680566,YES
0.05814180708584486,NO
0.5499120657778045,YES
0.19181685631397782,NO
0.48772678762006405,YES
0.36562598644159516,NO
0.4373863243495123,NO
0.4364844348910968,NO
0.28974702000691455,NO
0.2740090489575661,YES
0.30192252769552214,NO
0.3102950681678116,YES
0.13311888406211014,NO
0.11183429284350714,NO
0.2490267109594601,NO
0.21831737490041642,NO
0.17328302794354172,NO
0.3214935289431359,NO
0.21939964225051484,NO
0.08163602747756553,NO
0.30393674748598315,NO
0.22354833375922556,YES
0.3145038856404167,NO
0.24364543719091497,YES
0.2091481654065267,NO
0.21516076179596255,NO
0.19613089422339808,NO
0.04858177882664182,NO
0.293685270641995,NO
0.0678220872728366,NO
0.22760683632209483,NO
0.24193184721992578,NO
0.16585747140258844,NO
0.2697551370120403,YES
0.28478662798562987,YES
0.3564718084386791,YES
0.3353525636207856,YES
0.30231334646083546,NO
0.2912652005952471,YES
0.30623656560494233,NO
0.10670855442151307,NO
0.15344145985840335,NO
0.347903858583733,NO
0.2974882378583132,NO
0.26509537481022744,NO
0.4399116148330753,NO
0.24624588512934603,NO
0.04321553654907033,NO
0.37314173192839,NO
0.35433733672042933,YES
0.45933230117095314,NO
0.24952275016158854,YES
0.12552798112044733,NO
0.14352067581583416,NO
0.07666060396530731,NO
0.10717453064169437,NO
0.4446765974717032,NO
0.0844318847986532,NO
0.4291941617689059,NO
0.15685360830940825,NO
0.33622439009725374,NO
0.45250800426894344,YES
0.44798352548589293,YES
0.6151637680941574,YES
0.3639424594525531,YES
0.3832128308806951,NO
0.4812482150104469,YES
0.36920348129330954,NO
0.12450583973424324,NO
0.10355194131705926,NO
0.19994889293068985,NO
0.3082507853954034,NO
0.23685120327085246,NO
0.2831782584514559,NO
0.21153817247132745,NO
0.0644700647857261,NO
0.24185668976505786,NO
0.37841778526011993,YES
0.2662377681242203,NO
0.2938806800246517,YES
0.15169780690546697,NO
0.18754791287747835,NO
0.15220887759856905,NO
0.05106197483728413,NO
0.3551490372330032,NO
0.06616862326574176,NO
0.24047379259548757,NO
0.19785951568536086,NO
0.20735941798066954,NO
0.41864205510544594,YES
0.4424218738256648,YES
0.44614968358711504,YES
0.3560960211643393,YES
0.2574443459046703,NO
0.3191636478422295,YES
0.25246892239241214,NO
0.0678220872728366,NO
0.07905061103010809,NO
0.098396139913118,NO
0.306582289897335,NO
0.2110721962511462,NO
0.15136711410404796,NO
0.14875163467464336,NO
0.014385136861725337,NO
0.13656109549506212,NO
0.37027071715243437,YES
0.13167586092864553,NO
0.2622844859981662,YES
0.10003457242923926,NO
0.15066063402828928,NO
0.11980098305950966,NO
0.050250274324710284,NO
0.3151352082613075,NO
0.044177551971380055,NO
0.18850992829978808,NO
0.13653103251311494,NO
0.19736347648323238,NO
0.36409277436228904,YES
0.40085980128368937,YES
0.3703458746073023,YES
