LOWERTRACED_RFSMOTE_RAW_LSA_MAX.csv,Associated
0.47,NO
0.47,NO
0.51,NO
0.9,NO
0.9,NO
0.51,NO
0.47,NO
0.47,NO
0.51,NO
0.2469,YES
0.51,NO
0.33799999999999997,YES
0.2427,NO
0.2231,NO
0.2223,NO
0.47,NO
0.9,NO
0.47,NO
0.9,NO
0.47,NO
0.9,NO
0.2,YES
0.2,YES
0.2,YES
0.24,YES
0.51,NO
0.2,YES
0.51,NO
0.1072,YES
0.2444,YES
0.65,NO
0.45,NO
0.45,NO
0.65,NO
0.3947,YES
0.0957,YES
0.65,NO
0.1056,NO
0.65,NO
0.1058,NO
0.1797,NO
0.1526,NO
0.1551,NO
0.2811,YES
0.45,NO
0.1126,YES
0.45,NO
0.3399,YES
0.45,NO
0.1212,NO
0.0769,NO
0.1235,NO
0.0802,NO
0.65,NO
0.1119,NO
0.65,NO
0.19,NO
0.19,NO
0.46,NO
0.2865,NO
0.19,NO
0.46,NO
0.19,NO
0.19,NO
0.46,NO
0.4574,YES
0.46,NO
0.2015,YES
0.205,NO
0.2168,NO
0.2136,NO
0.1919,NO
0.19,NO
0.19,NO
0.1947,NO
0.19,NO
0.2202,NO
0.4465,YES
0.4252,YES
0.3653,YES
0.18,YES
0.46,NO
0.1927,YES
0.46,NO
0.1303,YES
0.1814,YES
0.49,NO
0.28,NO
0.28,NO
0.49,NO
0.3435,YES
0.1243,YES
0.49,NO
0.0952,NO
0.49,NO
0.0887,NO
0.2289,NO
0.2088,NO
0.2075,NO
0.1923,YES
0.28,NO
0.0821,YES
0.28,NO
0.3081,YES
0.28,NO
0.1251,NO
0.091,NO
0.11800000000000001,NO
0.1053,NO
0.49,NO
0.1351,NO
0.49,NO
0.0724,NO
0.0244,NO
0.96,YES
0.3348,YES
0.2937,YES
0.96,YES
0.0826,NO
0.013000000000000001,NO
0.96,YES
0.1395,NO
0.96,YES
0.1443,NO
0.2165,NO
0.1934,NO
0.1934,NO
0.0572,NO
0.26,YES
0.0556,NO
0.3609,YES
0.1417,NO
0.26,YES
0.09,NO
0.09,NO
0.1439,NO
0.09,NO
0.96,YES
0.0964,NO
0.96,YES
0.1544,NO
0.12,NO
0.45,NO
0.26,NO
0.26,NO
0.45,NO
0.1684,NO
0.1225,NO
0.45,NO
0.4028,YES
0.45,NO
0.2904,YES
0.1987,NO
0.1756,NO
0.1689,NO
0.12,NO
0.26,NO
0.12,NO
0.26,NO
0.2019,NO
0.26,NO
0.3897,YES
0.3612,YES
0.2791,YES
0.2894,YES
0.45,NO
0.1753,YES
0.45,NO
0.56,NO
0.56,NO
0.49,YES
0.3647,YES
0.2531,YES
0.49,YES
0.56,NO
0.56,NO
0.49,YES
0.2598,NO
0.49,YES
0.16,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.56,NO
0.2245,YES
0.56,NO
0.2623,YES
0.56,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.16,NO
0.49,YES
0.16,NO
0.49,YES
0.43,NO
0.43,NO
0.95,NO
0.26,NO
0.26,NO
0.95,NO
0.43,NO
0.43,NO
0.95,NO
0.54,YES
0.95,NO
0.54,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.43,NO
0.26,NO
0.43,NO
0.26,NO
0.43,NO
0.26,NO
0.54,YES
0.54,YES
0.54,YES
0.54,YES
0.95,NO
0.54,YES
0.95,NO
0.12,NO
0.1339,NO
0.5,NO
0.1967,NO
0.1436,NO
0.5,NO
0.1339,NO
0.12,NO
0.5,NO
0.3428,YES
0.5,NO
0.1736,YES
0.1331,NO
0.0735,NO
0.0647,NO
0.204,NO
0.1327,NO
0.1655,NO
0.31,NO
0.1309,NO
0.2819,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.5,NO
0.2673,YES
0.5,NO
0.1439,NO
0.11,NO
0.86,NO
0.26,NO
0.26,NO
0.86,NO
0.1684,NO
0.1204,NO
0.86,NO
0.3579,YES
0.86,NO
0.2083,YES
0.2252,NO
0.2041,NO
0.2007,NO
0.11,NO
0.26,NO
0.11,NO
0.26,NO
0.1912,NO
0.26,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.2675,YES
0.86,NO
0.2003,YES
0.86,NO
0.09,NO
0.09,NO
0.9,NO
0.2886,NO
0.2,NO
0.9,NO
0.09,NO
0.09,NO
0.9,NO
0.4397,YES
0.9,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.09,NO
0.2,NO
0.09,NO
0.2,NO
0.1702,NO
0.2,NO
0.3372,YES
0.3303,YES
0.314,YES
0.15,YES
0.9,NO
0.15,YES
0.9,NO
0.14,NO
0.14,NO
0.9,YES
0.75,YES
0.75,YES
0.9,YES
0.2237,NO
0.14,NO
0.9,YES
0.0974,NO
0.9,YES
0.1059,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.14,NO
0.75,YES
0.14,NO
0.75,YES
0.2129,NO
0.75,YES
0.1271,NO
0.08,NO
0.3025,NO
0.12,NO
0.9,YES
0.2516,NO
0.9,YES
0.24,NO
0.24,NO
0.98,YES
0.2156,NO
0.1535,NO
0.98,YES
0.24,NO
0.24,NO
0.98,YES
0.191,NO
0.98,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.24,NO
0.21899999999999997,NO
0.24,NO
0.3673,NO
0.24,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.98,YES
0.3359,NO
0.98,YES
0.09,NO
0.09,NO
0.93,YES
0.2794,YES
0.2232,YES
0.93,YES
0.1233,NO
0.09,NO
0.93,YES
0.41,NO
0.93,YES
0.41,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.09,NO
0.1795,YES
0.09,NO
0.27,YES
0.1224,NO
0.1913,YES
0.41,NO
0.41,NO
0.41,NO
0.41,NO
0.93,YES
0.41,NO
0.93,YES
0.22,NO
0.22,NO
0.5,YES
0.1762,NO
0.1649,NO
0.5,YES
0.22,NO
0.22,NO
0.5,YES
0.159,NO
0.5,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.22,NO
0.2106,NO
0.22,NO
0.3557,NO
0.22,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.5,YES
0.3584,NO
0.5,YES
0.3,NO
0.3,NO
0.49,YES
0.1967,YES
0.15,YES
0.49,YES
0.3,NO
0.3,NO
0.49,YES
0.15,NO
0.49,YES
0.15,NO
0.171,NO
0.1733,NO
0.1785,NO
0.3,NO
0.1652,YES
0.3,NO
0.1533,YES
0.3,NO
0.15,YES
0.15,NO
0.15,NO
0.15,NO
0.15,NO
0.49,YES
0.15,NO
0.49,YES
0.89,YES
0.89,YES
0.68,NO
0.3,NO
0.3,NO
0.68,NO
0.89,YES
0.89,YES
0.68,NO
0.0758,NO
0.68,NO
0.07,NO
0.2131,NO
0.16,NO
0.1446,NO
0.89,YES
0.3,NO
0.89,YES
0.3,NO
0.89,YES
0.3,NO
0.102,NO
0.0927,NO
0.1259,NO
0.1193,NO
0.68,NO
0.15,NO
0.68,NO
0.22,NO
0.22,NO
0.93,YES
0.29,YES
0.29,YES
0.93,YES
0.22,NO
0.22,NO
0.93,YES
0.98,NO
0.93,YES
0.98,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.22,NO
0.29,YES
0.22,NO
0.3002,YES
0.22,NO
0.29,YES
0.98,NO
0.98,NO
0.98,NO
0.98,NO
0.93,YES
0.98,NO
0.93,YES
0.1178,NO
0.0474,NO
0.94,YES
0.26,YES
0.26,YES
0.94,YES
0.2192,NO
0.1165,NO
0.94,YES
0.1886,NO
0.94,YES
0.1088,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.0948,NO
0.26,YES
0.0882,NO
0.26,YES
0.1968,NO
0.26,YES
0.2134,NO
0.1846,NO
0.3004,NO
0.1322,NO
0.94,YES
0.2341,NO
0.94,YES
0.28,NO
0.28,NO
0.76,YES
0.1623,YES
0.1996,YES
0.76,YES
0.28,NO
0.28,NO
0.76,YES
0.1102,NO
0.76,YES
0.1022,NO
0.1483,NO
0.0862,NO
0.0629,NO
0.28,NO
0.1682,YES
0.28,NO
0.3422,YES
0.28,NO
0.2514,YES
0.1754,NO
0.1301,NO
0.3619,NO
0.1715,NO
0.76,YES
0.3259,NO
0.76,YES
0.28,NO
0.28,NO
0.35,YES
0.1091,YES
0.1,YES
0.35,YES
0.28,NO
0.28,NO
0.5229,YES
0.1003,NO
0.3604,YES
0.08800000000000001,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.28,NO
0.1031,YES
0.28,NO
0.3066,YES
0.28,NO
0.2147,YES
0.1277,NO
0.0813,NO
0.3135,NO
0.1095,NO
0.35,YES
0.2369,NO
0.4263,YES
0.53,NO
0.53,NO
0.96,YES
0.3566,YES
0.2651,YES
0.96,YES
0.53,NO
0.53,NO
0.96,YES
0.2,NO
0.96,YES
0.2,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.53,NO
0.2266,YES
0.53,NO
0.2745,YES
0.53,NO
0.2653,YES
0.2,NO
0.2,NO
0.2,NO
0.2,NO
0.96,YES
0.2,NO
0.96,YES
0.32,NO
0.32,NO
0.45,YES
0.3285,YES
0.3624,YES
0.45,YES
0.32,NO
0.32,NO
0.45,YES
0.1836,NO
0.45,YES
0.1342,NO
0.1448,NO
0.1036,NO
0.0702,NO
0.32,NO
0.2937,YES
0.32,NO
0.5728,YES
0.32,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.45,YES
0.2298,NO
0.45,YES
0.48,NO
0.48,NO
0.35,NO
0.47,NO
0.47,NO
