NONETRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.0696,NO
0.049049999999999996,NO
0.0769,NO
0.14765,NO
0.05695,NO
0.0716,NO
0.05915,NO
0.05845,NO
0.11334999999999999,NO
0.1897,YES
0.04805,NO
0.22615,YES
0.16015000000000001,NO
0.1477,NO
0.14075,NO
0.08945,NO
0.0662,NO
0.08779999999999999,NO
0.05885,NO
0.13015000000000002,NO
0.08775,NO
0.08285000000000001,YES
0.10275,YES
0.1198,YES
0.1702,YES
0.1031,NO
0.06295,YES
0.08335,NO
0.0915,YES
0.1584,YES
0.19655,NO
0.1038,NO
0.07919999999999999,NO
0.08885,NO
0.26275,YES
0.07619999999999999,YES
0.09534999999999999,NO
0.07805000000000001,NO
0.0709,NO
0.07345,NO
0.1248,NO
0.10795,NO
0.10419999999999999,NO
0.21175,YES
0.0577,NO
0.09375,YES
0.040499999999999994,NO
0.2142,YES
0.0395,NO
0.08285000000000001,NO
0.06509999999999999,NO
0.08524999999999999,NO
0.05814999999999999,NO
0.12605,NO
0.07815,NO
0.07125000000000001,NO
0.08374999999999999,NO
0.09665,NO
0.1064,NO
0.21294999999999997,NO
0.11524999999999999,NO
0.13375,NO
0.11474999999999999,NO
0.04095,NO
0.1481,NO
0.34354999999999997,YES
0.11599999999999999,NO
0.15745,YES
0.1353,NO
0.153,NO
0.13045,NO
0.13635,NO
0.129,NO
0.10264999999999999,NO
0.14055,NO
0.10835,NO
0.163,NO
0.3244,YES
0.33385,YES
0.27225,YES
0.13835,YES
0.1217,NO
0.1642,YES
0.0935,NO
0.10675,YES
0.1184,YES
0.19205,NO
0.11365,NO
0.10215,NO
0.10365,NO
0.22175,YES
0.09425,YES
0.11925,NO
0.0774,NO
0.09075,NO
0.07005,NO
0.156,NO
0.14205,NO
0.13545,NO
0.1506,YES
0.0702,NO
0.079,YES
0.0444,NO
0.18785,YES
0.042300000000000004,NO
0.0886,NO
0.07675,NO
0.0855,NO
0.0752,NO
0.13945,NO
0.09255,NO
0.09115000000000001,NO
0.06920000000000001,NO
0.02475,NO
0.1101,YES
0.2437,YES
0.2141,YES
0.12155,YES
