UPPERTRACED_RFSMOTE_MULTI_LSA_SUM.csv,Associated
0.04200357781753131,NO
0.035921288014311256,NO
0.3931305903398926,NO
0.25144901610017883,NO
0.7456887298747763,NO
0.06840787119856886,NO
0.07434704830053666,NO
0.059320214669051866,NO
0.11012522361359568,NO
0.1659391771019678,YES
0.03334525939177102,NO
0.3456171735241502,YES
0.16293381037567084,NO
0.21330948121645793,NO
0.15549194991055457,NO
0.07813953488372091,NO
0.039785330948121644,NO
0.11155635062611804,NO
0.11427549194991056,NO
0.14518783542039357,NO
0.0713416815742397,NO
0.045008944543828255,YES
0.046797853309481205,YES
0.14440071556350625,YES
0.16100178890876563,YES
0.5025402504472272,NO
0.06196779964221824,YES
0.07549194991055455,NO
0.06597495527728085,YES
0.5433989266547405,YES
0.9096243291592128,NO
0.5244364937388193,NO
0.22883720930232557,NO
0.09030411449016099,NO
0.48636851520572444,YES
0.057745974955277266,YES
0.08686940966010731,NO
0.1149194991055456,NO
0.0594633273703041,NO
0.08644007155635061,NO
0.1607871198568873,NO
0.3489087656529516,NO
0.4580322003577817,NO
0.2261896243291592,YES
0.24443649373881934,NO
0.5993559928443649,YES
0.0852236135957066,NO
0.7047584973166369,YES
0.025903398926654744,NO
0.11177101967799642,NO
0.05144901610017888,NO
0.18497316636851516,NO
0.04665474060822897,NO
0.12543828264758497,NO
0.0693381037567084,NO
0.6910912343470482,NO
0.05266547406082289,NO
0.0990339892665474,NO
0.40651162790697665,NO
0.3016100178890876,NO
0.8058676207513417,NO
0.12279069767441857,NO
0.1370304114490161,NO
0.047155635062611806,NO
0.1457602862254025,NO
0.31656529516994625,YES
0.10397137745974953,NO
0.2479427549194991,YES
0.1359570661896243,NO
0.2088014311270125,NO
0.1492665474060823,NO
0.13373881932021467,NO
0.09896243291592127,NO
0.12293381037567082,NO
0.20014311270125223,NO
0.11484794275491948,NO
0.14683363148479428,NO
0.30876565295169944,YES
0.2935241502683363,YES
0.2864400715563506,YES
0.11599284436493738,YES
0.5086940966010733,NO
0.14862254025044722,YES
0.07878354203935597,NO
0.08250447227191413,YES
0.4983184257602861,YES
0.9091949910554562,NO
0.5303756708407871,NO
0.2545259391771019,NO
0.11384615384615383,NO
0.44973166368515194,YES
0.07821109123434704,YES
0.11313059033989266,NO
0.10747763864042933,NO
0.08686940966010731,NO
0.07420393559928443,NO
0.19599284436493736,NO
0.38912343470482996,NO
0.4955277280858676,NO
0.16264758497316636,YES
0.2559570661896243,NO
0.577531305903399,YES
0.08307692307692306,NO
0.6820035778175312,YES
0.02547406082289803,NO
0.11456171735241501,NO
0.06153846153846153,NO
0.18103756708407873,NO
0.0646153846153846,NO
0.14676207513416814,NO
0.08593917710196779,NO
0.713989266547406,NO
0.0768515205724508,NO
0.2571735241502683,NO
0.2686225402504472,YES
0.22883720930232557,YES
0.8935241502683363,YES
0.27048300536672626,YES
0.34175313059033985,NO
0.4779964221824687,NO
0.454597495527728,YES
0.08908765652951699,NO
0.6493738819320215,YES
0.09252236135957066,NO
0.15849731663685152,NO
0.628550983899821,NO
0.39241502683363144,NO
0.430912343470483,NO
0.28393559928443646,YES
0.4011449016100178,NO
0.6840071556350625,YES
0.7919141323792486,NO
0.17173524150268335,YES
0.026618962432915925,NO
0.03771019677996422,NO
0.17094812164579606,NO
0.32515205724508045,NO
0.11198568872987477,YES
0.058246869409660104,NO
0.10683363148479426,YES
0.09974955277280857,NO
0.041645796064400706,NO
0.4525939177101967,NO
0.2813595706618962,NO
0.8391413237924865,NO
0.12529516994633272,NO
0.15270125223613595,NO
0.09838998211091232,NO
0.09359570661896242,NO
0.27749552772808583,YES
0.10211091234347047,NO
0.31155635062611803,YES
0.13144901610017887,NO
0.17932021466905188,NO
0.11728085867620751,NO
0.03506261180679786,NO
0.09438282647584972,NO
0.0713416815742397,NO
0.1382468694096601,NO
0.13373881932021467,NO
0.08178890876565294,NO
0.26812164579606435,YES
0.24772808586762077,YES
0.22475849731663683,YES
0.19635062611806797,YES
0.5492665474060823,NO
0.1361717352415027,YES
0.059320214669051866,NO
0.09552772808586762,NO
0.29509838998211085,NO
0.24465116279069768,YES
0.2502325581395349,YES
0.8644722719141323,YES
0.2633989266547406,YES
0.3459749552772808,NO
0.5119141323792487,NO
0.4520930232558139,YES
0.175169946332737,NO
0.6304114490161001,YES
0.09366726296958854,NO
0.16472271914132378,NO
0.6741323792486582,NO
0.42397137745974944,NO
0.493953488372093,NO
0.2787119856887298,YES
0.4622540250447227,NO
0.6134525939177101,YES
0.7921288014311268,NO
0.17209302325581394,YES
0.1358855098389982,NO
0.14711985688729873,NO
0.2274060822898032,NO
0.36364937388193197,NO
0.09381037567084077,YES
0.06912343470483005,NO
0.10561717352415025,YES
0.09051878354203934,NO
0.04257602862254024,NO
0.48164579606440067,NO
0.2325581395348837,NO
0.8083720930232557,NO
0.14647584973166367,NO
0.1504830053667263,NO
0.12064400715563504,NO
0.1323076923076923,NO
0.13159212880143112,YES
0.13559928443649372,NO
0.27885509838998207,YES
0.16951699463327372,NO
0.1993559928443649,NO
0.14189624329159214,NO
0.03456171735241502,NO
0.06440071556350625,NO
0.07227191413237923,NO
0.14046511627906974,NO
0.15069767441860465,NO
0.060035778175313054,NO
