NONETRACED_RFSMOTE_MULTI_LSA_MEDIAN.csv,Associated
0.03685,NO
0.054988059701492537,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.09007611940298507,NO
0.2085544776119403,NO
0.03395,NO
0.09937537313432836,NO
0.12345,YES
0.0308,NO
0.18392537313432833,YES
0.12135,NO
0.11155,NO
0.11861268656716417,NO
0.0571,NO
0.09500149253731342,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.03895,YES
0.0402,YES
0.0834,YES
0.12,YES
0.07865,NO
0.23729253731343286,YES
0.06025,NO
0.08345074626865671,YES
0.14458805970149255,YES
0.1681,NO
0.08641268656716419,NO
0.0574,NO
0.07798805970149253,NO
0.22720074626865672,YES
0.04785,YES
0.08312537313432836,NO
0.06026268656716418,NO
0.04905,NO
0.06036268656716418,NO
0.08985,NO
0.0763,NO
0.09993805970149253,NO
0.15547537313432835,YES
0.06815074626865672,NO
0.0563,YES
0.01705,NO
0.19233805970149254,YES
0.0206,NO
0.12030149253731343,NO
0.04591268656716418,NO
0.06175,NO
0.055025373134328356,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.12807611940298508,NO
0.12548880597014925,NO
0.03291268656716418,NO
0.10935,NO
0.23616268656716416,YES
0.08015,NO
0.11567537313432837,YES
0.1025,NO
0.1457134328358209,NO
0.1814268656716418,NO
0.24520373134328355,NO
0.10650074626865672,NO
0.07086268656716418,NO
0.09735,NO
0.08775,NO
0.16980149253731341,NO
0.23817537313432835,YES
0.22752537313432836,YES
0.18265,YES
0.10347537313432836,YES
0.08295,NO
0.09635,YES
0.12225149253731342,NO
0.07261268656716419,YES
0.10562537313432836,YES
0.1678,NO
0.0831,NO
0.07535,NO
0.07951268656716418,NO
0.18667537313432836,YES
0.06215,YES
0.10147537313432836,NO
0.05506268656716418,NO
0.07566268656716418,NO
0.05181268656716418,NO
0.11445,NO
0.14917611940298509,NO
0.1336007462686567,NO
0.11853805970149253,YES
0.13590223880597013,NO
0.04105,YES
0.01555,NO
0.1839007462686567,YES
0.02776268656716418,NO
0.08493805970149253,NO
0.1126641791044776,NO
0.06646268656716418,NO
0.05265,NO
0.12497537313432835,NO
0.07501268656716417,NO
0.0664,NO
0.04366268656716418,NO
0.019662686567164182,NO
0.1000507462686567,YES
0.1674,YES
0.14685,YES
0.08642537313432837,YES
0.14577761194029848,NO
0.006500000000000001,NO
0.10515,YES
0.06975,NO
0.09610074626865672,YES
0.10200074626865671,NO
0.12317537313432836,NO
0.10416268656716418,NO
0.0967,NO
0.0286,NO
0.1159,YES
0.03526268656716418,NO
0.18045,YES
0.07085,NO
0.1275,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.03216268656716418,NO
0.1902276119402985,YES
0.09297611940298507,NO
0.08207537313432836,YES
0.19660298507462687,NO
0.5291373134328358,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.3387813432835821,NO
0.2633044776119403,NO
0.09110074626865672,NO
0.12513880597014926,NO
0.20886268656716417,YES
0.20571567164179105,NO
0.1452,YES
0.19636492537313432,NO
0.0878,NO
0.09191268656716417,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10841268656716418,NO
0.10942611940298508,NO
0.23962611940298506,YES
0.5089582089552238,YES
0.16193805970149255,YES
0.1820134328358209,YES
0.1411507462686567,NO
0.29660522388059696,YES
0.17581567164179104,NO
0.07163805970149253,NO
0.0387,NO
0.05345,YES
0.19727537313432836,YES
0.15640074626865672,YES
0.06655,YES
0.04425,NO
0.0302,NO
0.1034,YES
0.21945223880597015,NO
0.20971641791044773,YES
0.08787537313432836,NO
0.14245074626865672,NO
0.2628783582089552,NO
0.20083955223880595,NO
0.07265,NO
0.18687686567164177,YES
0.0705,NO
0.13115,YES
0.071,NO
0.12775,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.09543805970149254,YES
0.0558,NO
0.0663,YES
0.07821268656716418,NO
0.03725,NO
0.11905,NO
0.095,NO
0.09973805970149253,NO
0.16701417910447758,NO
0.08265,NO
0.09172537313432835,NO
0.09995,NO
0.10691268656716418,YES
0.10225,NO
0.12235,YES
0.1931141791044776,NO
0.11672537313432836,NO
0.10165,NO
0.02665,NO
0.28384328358208955,NO
0.03546268656716418,NO
0.05565,NO
0.12772537313432836,NO
0.06437537313432837,NO
0.10141268656716418,YES
0.11702611940298507,YES
0.10997537313432836,YES
0.1927134328358209,YES
0.1799514925373134,NO
0.12016343283582087,YES
0.11878880597014925,NO
0.04745,NO
0.06695,NO
0.11199999999999999,NO
0.1282007462686567,NO
0.12403880597014925,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.12482537313432836,NO
0.1714,YES
0.13212537313432837,NO
0.0868,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.08037537313432835,NO
0.15587537313432837,NO
0.2021,YES
0.17972537313432835,YES
0.24705,YES
0.10407537313432835,YES
0.2905298507462687,NO
0.1635007462686567,YES
0.0863,NO
0.57195,NO
0.12800223880597014,NO
0.10511268656716419,NO
0.1171,NO
0.10235,NO
0.13592611940298507,NO
0.24091641791044774,NO
0.0602,NO
0.12486343283582088,NO
0.17895,YES
0.10632537313432835,NO
0.1116126865671642,YES
0.1126,NO
0.1692141791044776,NO
0.10781268656716417,NO
0.0249,NO
0.533436567164179,NO
0.02575,NO
0.06035,NO
0.11052537313432836,NO
0.09238805970149254,NO
0.29891492537313435,YES
0.21947611940298506,YES
0.13995,YES
0.14867537313432838,YES
0.45358358208955224,NO
0.10015,YES
0.06586268656716418,NO
0.03635,NO
0.08047611940298507,NO
0.054000000000000006,NO
0.15176268656716418,NO
0.07135,NO
0.05021268656716418,NO
0.08248880597014925,NO
0.0266,NO
0.07105,NO
0.22731268656716416,YES
0.03035,NO
0.23675298507462683,YES
0.1059,NO
0.1024,NO
0.10971268656716418,NO
0.04245,NO
0.2233917910447761,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.08336268656716417,NO
0.17606268656716417,YES
0.2696276119402985,YES
0.157,YES
0.06285,YES
0.06875,NO
0.07878805970149254,YES
0.06442537313432836,NO
0.05345,NO
0.02255,NO
0.2622126865671642,YES
0.07901268656716418,YES
0.06135,YES
0.14981268656716418,YES
0.11185,NO
0.05325,NO
0.3349417910447761,YES
0.05616268656716418,NO
0.16445,YES
0.06787537313432836,NO
0.10655,NO
0.0748,NO
0.09608805970149253,NO
0.05256268656716418,NO
0.06457537313432836,YES
0.05867537313432836,NO
0.12591268656716417,YES
0.15122611940298508,NO
0.06605,YES
0.06355,NO
0.05492537313432836,NO
0.15125,NO
0.06,NO
0.16995,YES
0.1258,NO
0.10405,YES
0.17950223880597016,NO
0.07735,NO
0.26930223880597015,YES
0.1078,NO
0.07675,NO
0.20795,YES
0.13612611940298508,NO
0.12947686567164177,NO
0.2724,YES
0.11042537313432836,NO
0.21905,YES
0.12863880597014926,NO
0.1632,NO
0.16761268656716416,NO
0.1324,NO
0.0855,NO
0.12442537313432835,NO
0.07736268656716419,NO
0.18365,NO
0.08001268656716418,NO
0.13931268656716417,NO
0.09955,NO
0.0892,NO
0.24058880597014926,NO
0.11823805970149254,NO
0.21208805970149255,YES
0.17541268656716416,NO
0.15862537313432834,YES
0.0399,NO
0.2868567164179104,NO
0.13121268656716417,YES
0.1397,YES
0.11906268656716418,YES
0.1479634328358209,YES
0.06165,NO
0.04608805970149253,NO
0.13995,YES
0.12386268656716418,NO
0.13786268656716416,YES
0.06221268656716418,NO
0.12571268656716417,NO
0.3194679104477611,NO
0.1024,NO
0.0228,NO
0.09721268656716417,YES
0.02956268656716418,NO
0.135,YES
0.0612,NO
0.09565,YES
0.11985,NO
0.2697291044776119,NO
0.14675,NO
0.05775,NO
0.1588134328358209,YES
0.20989029850746266,NO
0.14377611940298507,YES
0.0818,NO
0.08976268656716418,NO
0.2985276119402985,YES
0.0881,NO
0.08245,NO
0.21731268656716418,YES
0.09151268656716419,NO
0.0765,NO
0.2369,YES
0.08696268656716419,NO
0.2465,YES
0.3787701492537313,NO
0.12712537313432837,NO
0.10695074626865672,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.09016268656716417,NO
0.17785,NO
0.05256268656716418,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.20251268656716417,NO
0.10800000000000001,NO
0.201,YES
0.22397611940298506,NO
0.16195,YES
