Random_MEDIAN.csv,Associated
0.5172071428571429,NO
0.3623619047619048,NO
0.1964857142857143,NO
0.5593904761904762,NO
0.33712142857142857,NO
0.4197047619047619,NO
0.14849761904761904,NO
0.34823571428571426,NO
0.13742619047619048,NO
0.21392619047619046,YES
0.1302047619047619,NO
0.5737619047619047,YES
0.34515952380952386,NO
0.24012142857142854,NO
0.49805476190476194,NO
0.37614761904761895,NO
0.10791904761904762,NO
0.3953309523809524,NO
0.5343738095238096,NO
0.27145,NO
0.16746904761904763,NO
0.22942619047619045,YES
0.3884142857142857,YES
0.0839952380952381,YES
0.46702380952380945,YES
0.20126904761904763,NO
0.2334190476190476,YES
0.37989285714285714,NO
0.12026666666666666,YES
0.48291428571428574,YES
0.6329809523809524,NO
0.5485928571428572,NO
0.07823333333333332,NO
0.30738571428571426,NO
0.63485,YES
0.491897619047619,YES
0.27355714285714283,NO
0.22065714285714283,NO
0.443097619047619,NO
0.4207571428571429,NO
0.5844928571428573,NO
0.5060619047619048,NO
0.5674309523809524,NO
0.34709761904761904,YES
0.27699047619047623,NO
0.23606190476190475,YES
0.17538333333333334,NO
0.6592357142857141,YES
0.2081,NO
0.11952857142857143,NO
0.21285476190476188,NO
0.2772261904761905,NO
0.17105238095238096,NO
0.14693571428571428,NO
0.11190238095238096,NO
0.15337619047619044,NO
0.43060952380952383,NO
0.18205714285714286,NO
0.20345476190476192,NO
0.21170238095238095,NO
0.14524285714285715,NO
0.22199047619047618,NO
0.5512261904761905,NO
0.06533095238095238,NO
0.42185,NO
0.4013190476190476,YES
0.3593166666666667,NO
0.5614642857142857,YES
0.5560714285714287,NO
0.5970904761904762,NO
0.3318,NO
0.37452142857142856,NO
0.17784047619047622,NO
0.1372095238095238,NO
0.5050880952380953,NO
0.31394047619047616,NO
0.2999809523809524,NO
0.5083690476190477,YES
0.42450476190476194,YES
0.19931666666666667,YES
0.2153357142857143,YES
0.3472357142857143,NO
0.14218333333333333,YES
0.48219285714285715,NO
0.2931261904761905,YES
0.3276047619047619,YES
0.5624428571428571,NO
0.3586952380952381,NO
0.25034999999999996,NO
0.33871666666666667,NO
0.6044880952380953,YES
0.3865547619047619,YES
0.4621452380952381,NO
0.34581428571428574,NO
0.5211761904761906,NO
0.44732619047619054,NO
0.2596880952380952,NO
0.22106666666666666,NO
0.14660714285714285,NO
0.4348404761904762,YES
0.04873095238095238,NO
0.44164523809523815,YES
0.2560261904761905,NO
0.6028595238095238,YES
0.4155380952380952,NO
0.36552619047619045,NO
0.5121666666666667,NO
0.49947619047619046,NO
0.4782452380952381,NO
0.5332642857142857,NO
0.15862142857142858,NO
0.4794952380952381,NO
0.22072380952380957,NO
0.12767619047619047,NO
0.3815095238095238,YES
0.18882857142857143,YES
0.640897619047619,YES
0.5536428571428572,YES
0.40558571428571427,NO
0.1195952380952381,NO
0.3212214285714286,YES
0.2614166666666667,NO
0.5394642857142857,YES
0.21560238095238093,NO
0.5308690476190476,NO
0.18241428571428572,NO
0.22705714285714285,NO
0.10062380952380953,NO
0.23554285714285716,YES
0.5135142857142857,NO
0.54295,YES
0.49585,NO
0.5519047619047619,YES
0.3796714285714286,NO
0.3814690476190476,NO
0.18683095238095238,NO
0.24374761904761905,NO
0.3601547619047619,YES
0.22736666666666663,NO
0.26119761904761907,YES
0.41886666666666666,NO
0.16040952380952384,NO
0.22613095238095238,NO
0.37314761904761906,NO
0.1952785714285714,NO
0.3969547619047619,NO
0.13122380952380952,NO
0.2124404761904762,NO
0.28004285714285715,NO
0.4912809523809524,YES
0.5389690476190476,NO
0.1690095238095238,YES
0.2106595238095238,NO
0.4610142857142857,NO
0.1326642857142857,NO
0.26985714285714285,NO
0.18952142857142856,NO
0.3856833333333333,NO
0.2654095238095238,NO
0.2777357142857143,NO
0.4467928571428571,NO
0.5442547619047619,YES
