NONETRACED_RFSMOTE_RAW_VSM_SUM.csv,Associated
0.05132530120481929,NO
0.04449799196787149,NO
0.12417670682730925,NO
0.19004016064257032,NO
0.2869879518072289,NO
0.08096385542168677,NO
0.03943775100401607,NO
0.046666666666666676,NO
0.12779116465863455,NO
0.6643373493975905,YES
0.04963855421686747,NO
0.29574297188755017,YES
0.22722891566265066,NO
0.21148594377510044,NO
0.1706827309236948,NO
0.09991967871485945,NO
0.09702811244979921,NO
0.43461847389558234,NO
0.11638554216867472,NO
0.18321285140562252,NO
0.1404819277108434,NO
0.2795983935742972,YES
0.2655421686746988,YES
0.1421686746987952,YES
0.27325301204819274,YES
0.15060240963855423,NO
0.04963855421686747,YES
0.10497991967871487,NO
0.22281124497991972,YES
0.3008835341365462,YES
0.2621686746987952,NO
0.18321285140562252,NO
0.20481927710843376,NO
0.1055421686746988,NO
0.33325301204819274,YES
0.06899598393574298,YES
0.10168674698795183,NO
0.11710843373493979,NO
0.23156626506024103,NO
0.07710843373493978,NO
0.1685943775100402,NO
0.12273092369477914,NO
0.11670682730923695,NO
0.22594377510040167,YES
0.07775100401606427,NO
0.1468273092369478,YES
0.027550200803212858,NO
0.29726907630522087,YES
0.09751004016064257,NO
0.22602409638554222,NO
0.10208835341365463,NO
0.2840963855421687,NO
0.056546184738955826,NO
0.2975903614457831,NO
0.11413654618473898,NO
0.32208835341365466,NO
0.07132530120481928,NO
0.11534136546184742,NO
0.18738955823293174,NO
0.5595983935742972,NO
0.12160642570281127,NO
0.8327710843373495,NO
0.15799196787148595,NO
0.04104417670682732,NO
0.183855421686747,NO
0.3836144578313253,YES
0.16907630522088354,NO
0.2583935742971888,YES
0.15678714859437753,NO
0.4393574297188755,NO
0.1636947791164659,NO
0.42738955823293173,NO
0.7417670682730925,NO
0.11807228915662651,NO
0.4376706827309237,NO
0.7595983935742974,NO
0.522409638554217,NO
0.4230522088353414,YES
0.3657831325301205,YES
0.3658634538152611,YES
0.5118875502008033,YES
0.4787951807228916,NO
0.17100401606425705,YES
0.19702811244979923,NO
0.16104417670682733,YES
0.13783132530120484,YES
0.26971887550200807,NO
0.5432931726907632,NO
0.1372690763052209,NO
0.10787148594377513,NO
0.2760642570281125,YES
0.09196787148594379,YES
0.17935742971887553,NO
0.0766265060240964,NO
0.14987951807228916,NO
0.06337349397590362,NO
0.2482730923694779,NO
0.24819277108433743,NO
0.1587951807228916,NO
0.14658634538152612,YES
0.0906827309236948,NO
0.22674698795180728,YES
0.08136546184738958,NO
0.512690763052209,YES
0.024738955823293173,NO
0.1327710843373494,NO
0.06522088353413656,NO
0.08690763052208837,NO
0.07670682730923696,NO
0.16891566265060243,NO
