NONETRACED_RFUNDER_RAW_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.09720000000000001,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.23345,YES
0.0308,NO
0.16899999999999998,YES
0.12135,NO
0.11655,NO
0.11115,NO
0.0571,NO
0.0853,NO
0.12045,NO
0.04735,NO
0.11395000000000001,NO
0.05735,NO
0.03895,YES
0.18020000000000003,YES
0.0984,YES
0.12,YES
0.07865,NO
0.0358,YES
0.06025,NO
0.0736,YES
0.1272,YES
0.1781,NO
0.17395,NO
0.0574,NO
0.060599999999999994,NO
0.29735,YES
0.04785,YES
0.0682,NO
0.0628,NO
0.09905,NO
0.0529,NO
0.08985,NO
0.08130000000000001,NO
0.07755,NO
0.15555000000000002,YES
0.0383,NO
0.0713,YES
0.01705,NO
0.17995,YES
0.0706,NO
0.0756,NO
0.03845,NO
0.08175,NO
0.0401,NO
0.12514999999999998,NO
0.06095,NO
0.1054,NO
0.0493,NO
0.0767,NO
0.07654999999999999,NO
0.21825,NO
0.0806,NO
0.1033,NO
0.11825,NO
0.02545,NO
0.11935,NO
0.2587,YES
0.09515,NO
0.22075,YES
0.1025,NO
0.1984,NO
0.1068,NO
0.10594999999999999,NO
0.27165,NO
0.1084,NO
0.11735000000000001,NO
0.12775,NO
0.2651,NO
0.32825,YES
0.2526,YES
0.20765,YES
0.09355000000000001,YES
0.10295,NO
0.29635,YES
0.06755,NO
0.06515,YES
0.0907,YES
0.2278,NO
0.18309999999999998,NO
0.09035,NO
0.07205,NO
0.17175,YES
0.06215,YES
0.10655,NO
0.0476,NO
0.0832,NO
0.05935,NO
0.11945,NO
0.12440000000000001,NO
0.10375,NO
0.09615,YES
0.04635,NO
0.05605,YES
0.03555,NO
0.18905,YES
0.0203,NO
0.06755,NO
0.0455,NO
0.064,NO
0.05265,NO
0.13505,NO
0.09255,NO
0.1014,NO
0.0412,NO
0.0122,NO
0.0852,YES
0.25739999999999996,YES
0.26185,YES
0.10650000000000001,YES
0.0413,NO
0.006500000000000001,NO
0.16015,YES
