UPPERTRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.12115000000000001,NO
0.07185,NO
0.1916,NO
0.24085,NO
0.10894999999999999,NO
0.19345,NO
0.1288,NO
0.0663,NO
0.19705,NO
0.34199999999999997,YES
0.14815,NO
0.3085,YES
0.19685,NO
0.20325,NO
0.14105,NO
0.1366,NO
0.1383,NO
0.13265,NO
0.1295,NO
0.15185,NO
0.1615,NO
0.23135,YES
0.27085,YES
0.27435,YES
0.2425,YES
0.19135,NO
0.21595,YES
0.13905,NO
0.275,YES
0.21965,YES
0.24465,NO
0.14255,NO
0.09620000000000001,NO
0.11495,NO
0.37335,YES
0.2185,YES
0.1028,NO
0.0948,NO
0.0834,NO
0.0859,NO
0.1396,NO
0.15875,NO
0.1002,NO
0.33225000000000005,YES
0.0952,NO
0.26535000000000003,YES
0.04585,NO
0.30694999999999995,YES
0.0624,NO
0.10605,NO
0.09935,NO
0.10164999999999999,NO
0.07064999999999999,NO
0.16094999999999998,NO
0.10980000000000001,NO
0.0891,NO
0.1286,NO
0.11595,NO
0.20095,NO
0.2759,NO
0.151,NO
0.23145,NO
0.17259999999999998,NO
0.0578,NO
0.22195,NO
0.44725,YES
0.1975,NO
0.24025,YES
0.178,NO
0.2001,NO
0.13670000000000002,NO
0.17545,NO
0.17965,NO
0.1406,NO
0.1895,NO
0.13065,NO
0.21425,NO
0.41564999999999996,YES
0.44325000000000003,YES
0.37360000000000004,YES
0.21105000000000002,YES
0.19565,NO
0.2765,YES
0.14134999999999998,NO
0.28655,YES
0.18814999999999998,YES
0.24435,NO
0.1467,NO
0.11415,NO
0.13140000000000002,NO
0.34775,YES
0.2328,YES
0.12115000000000001,NO
0.08960000000000001,NO
0.10255,NO
0.07735,NO
0.1642,NO
0.18685000000000002,NO
0.12639999999999998,NO
0.28785,YES
0.10325000000000001,NO
0.2501,YES
0.04435,NO
0.29105,YES
0.062099999999999995,NO
0.10799999999999998,NO
0.1064,NO
0.0989,NO
0.0832,NO
0.17585,NO
0.12140000000000001,NO
0.1051,NO
0.11449999999999999,NO
0.04395,NO
0.1891,YES
0.351,YES
0.30865,YES
0.22075,YES
0.12435,NO
0.041999999999999996,NO
0.2284,YES
0.16125,NO
0.17295,YES
0.1233,NO
0.18209999999999998,NO
0.19685,NO
0.142,NO
0.07314999999999999,NO
0.2552,YES
0.07100000000000001,NO
0.36519999999999997,YES
0.1449,NO
0.3104,YES
0.10754999999999999,NO
0.1598,NO
0.18685000000000002,NO
0.0805,NO
0.22235,YES
0.15385,NO
0.17105,YES
0.1615,NO
0.07585,NO
0.23315,NO
0.26175,NO
0.17425,NO
0.23320000000000002,NO
0.18355,NO
0.09359999999999999,NO
0.1855,NO
0.41995,YES
0.19619999999999999,NO
0.28469999999999995,YES
0.17485,NO
0.1795,NO
0.11435,NO
0.10650000000000001,NO
0.17645,NO
0.10455,NO
0.14625,NO
0.14385,NO
0.1688,NO
0.38725,YES
0.41125,YES
0.3305,YES
0.2672,YES
0.22399999999999998,NO
0.26780000000000004,YES
0.12775,NO
0.12755,NO
0.07045,NO
0.17235,YES
0.36595,YES
0.28835,YES
0.2158,YES
0.1273,NO
0.0657,NO
0.22665000000000002,YES
0.22139999999999999,NO
0.1597,YES
0.1241,NO
0.18645,NO
0.22870000000000001,NO
0.16405,NO
0.1172,NO
0.25155,YES
0.1137,NO
0.31589999999999996,YES
0.14505,NO
0.31065,YES
0.1839,NO
0.23625000000000002,NO
0.2263,NO
0.1074,NO
0.20965,YES
0.16144999999999998,NO
0.17020000000000002,YES
0.15505,NO
0.0765,NO
0.25345,NO
0.22765,NO
0.15275,NO
0.248,NO
0.182,NO
0.10915,NO
0.21255000000000002,NO
0.318,YES
0.2196,NO
0.26184999999999997,YES
0.20145000000000002,NO
0.1935,NO
0.13155,NO
0.10615,NO
0.1555,NO
0.1052,NO
0.1478,NO
0.1557,NO
0.15360000000000001,NO
0.28635,YES
0.3029,YES
0.28600000000000003,YES
0.27790000000000004,YES
0.23295,NO
0.263,YES
0.14534999999999998,NO
0.13175,NO
0.10619999999999999,NO
0.24639999999999998,NO
0.23099999999999998,NO
0.1472,NO
0.2521,NO
0.1663,NO
0.0807,NO
0.2225,NO
0.38995,YES
0.23454999999999998,NO
0.2263,YES
0.14205,NO
0.12845,NO
0.06225,NO
0.1815,NO
0.16935,NO
0.15995,NO
0.24714999999999998,NO
0.10835,NO
0.24509999999999998,NO
0.39449999999999996,YES
0.39544999999999997,YES
0.438,YES
0.21165,YES
0.2092,NO
0.31379999999999997,YES
0.1651,NO
0.15625,NO
0.07769999999999999,NO
0.23204999999999998,NO
0.24974999999999997,NO
0.17775,NO
0.2393,NO
0.18355,NO
0.09255,NO
0.20015,NO
0.39749999999999996,YES
0.20875,NO
0.24364999999999998,YES
0.1881,NO
0.19375,NO
0.13025,NO
0.10439999999999999,NO
0.17375000000000002,NO
0.10295,NO
0.1525,NO
0.1385,NO
0.17415000000000003,NO
0.3943,YES
0.40535,YES
0.33089999999999997,YES
0.25625,YES
0.22299999999999998,NO
0.2803,YES
0.1372,NO
0.12065000000000001,NO
0.07495,NO
0.1884,NO
0.27695000000000003,NO
0.14675,NO
0.19090000000000001,NO
0.1296,NO
0.058949999999999995,NO
0.18365,NO
0.4384,YES
0.1477,NO
0.25684999999999997,YES
0.1814,NO
0.1941,NO
0.13215,NO
0.12195,NO
0.15475,NO
0.1184,NO
0.1409,NO
0.128,NO
0.18005,NO
0.361,YES
0.3958,YES
0.34795,YES
0.18535000000000001,YES
0.18145,NO
0.23655,YES
0.1283,NO
0.1405,NO
0.06265,NO
0.43674999999999997,YES
0.22135,YES
0.19274999999999998,YES
0.33815,YES
0.2096,NO
0.08945,NO
0.3776,YES
0.12245,NO
0.321,YES
0.09715,NO
0.23235,NO
0.1871,NO
0.12795,NO
0.1131,NO
0.16649999999999998,YES
0.10975,NO
0.2599,YES
0.1814,NO
0.1739,YES
0.145,NO
0.1496,NO
0.29345,NO
0.1201,NO
0.3438,YES
0.26149999999999995,NO
