NONETRACED_MEDIAN_RAW_LSA_MAX.csv,Associated
0.6915645617342131,NO
0.7304429783223374,NO
0.5047125353440151,NO
0.3770028275212064,NO
0.5056550424128181,NO
0.7485862393967955,NO
0.7756833176248822,NO
0.3984448633364751,NO
0.4585296889726673,NO
0.4010367577756834,YES
0.7040527803958531,NO
0.4097549481621112,YES
0.4830348727615458,NO
0.7071159283694629,NO
0.425306314797361,NO
0.5101319509896324,NO
0.7879359095193215,NO
0.4222431668237512,NO
0.21182846371347785,NO
0.2179,NO
0.5334590009425071,NO
0.4983506126295948,YES
0.6206409048067861,YES
0.4533459000942508,YES
0.6517436380772856,YES
0.6336003770028276,NO
0.7737983034872762,YES
0.39467483506126294,NO
0.3998586239396796,YES
0.4008011310084826,YES
0.3362,NO
0.2153628652214892,NO
0.2862865221489161,NO
0.3932610744580585,NO
0.3947,YES
0.2789820923656928,YES
0.2565975494816211,NO
0.2111215834118756,NO
0.3727615457115929,NO
0.23680490103675775,NO
0.3030160226201697,NO
0.3567389255419416,NO
0.2306786050895382,NO
0.2874646559849199,YES
0.3836003770028275,NO
0.2813383600377003,YES
0.09307257304429782,NO
0.3399,YES
0.23868991517436386,NO
0.2907634307257305,NO
0.3678133836003771,NO
0.2229029217719133,NO
0.3331762488218661,NO
0.3713477851083883,NO
0.3786522148916117,NO
0.2332704995287465,NO
0.7139491046182846,NO
0.6899151743638078,NO
0.5179076343072574,NO
0.5146088595664468,NO
0.582469368520264,NO
0.7768614514608859,NO
0.7709707822808671,NO
0.3934967012252592,NO
0.4632422243166824,NO
0.4574,YES
0.6729500471253536,NO
0.4203581526861452,YES
0.508718190386428,NO
0.6698868991517436,NO
0.5103675777568332,NO
0.6093308199811499,NO
0.7789820923656928,NO
0.5318096135721019,NO
0.3107917059377946,NO
0.2617813383600377,NO
0.5586710650329878,NO
0.6050895381715363,YES
0.7742695570216777,YES
0.4526390197926485,YES
0.6211121583411876,YES
0.7066446748350613,NO
0.7653157398680491,YES
0.4003298774740811,NO
0.5042412818096136,YES
0.4806786050895382,YES
0.4161168708765316,NO
0.27803958529688977,NO
0.39373232799246,NO
0.5504241281809614,NO
0.5735155513666352,YES
0.35296889726672953,YES
